ticker,name,source_classification,supply_level,risk_keywords,baseline_status,shadow_status,baseline_missing_components,shadow_missing_components,baseline_score_total,shadow_score_total,shadow_supply_points
007540,샘표,COMPLETE_180D_NO_POSITIVE_BURDEN,없음,,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,73.0,10.0
029780,삼성카드,COMPLETE_180D_POSITIVE_BURDEN,주의,주요주주변동,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,62.5,7.0
084690,대상홀딩스,COMPLETE_180D_POSITIVE_BURDEN,주의,대량보유,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,67.0,7.0
114090,GKL,COMPLETE_180D_NO_POSITIVE_BURDEN,없음,,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,69.5,10.0
