code,name,sector,theme,sector_theme,source,source_url,asof_kst
101930,인화정공,선박 및 보트 건조업,선박엔진부품,선박 및 보트 건조업 / 선박엔진부품,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
101970,우양에이치씨,"구조용 금속제품, 탱크 및 증기발생기 제조업",화공 플랜트·에너지 플랜트,"구조용 금속제품, 탱크 및 증기발생기 제조업 / 화공 플랜트·에너지 플랜트",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102120,어보브반도체,반도체 제조업,반도체·전자제품·마이크로컨트롤라,반도체 제조업 / 반도체·전자제품·마이크로컨트롤라,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102260,동성케미컬,합성고무 및 플라스틱 물질 제조업,,합성고무 및 플라스틱 물질 제조업,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102370,케이옥션,상품 중개업,미술품 경매 및 판매,상품 중개업 / 미술품 경매 및 판매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102460,이연제약,의약품 제조업,항생제·순환기제,의약품 제조업 / 항생제·순환기제,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102710,이엔에프테크놀로지,기타 화학제품 제조업,LCD·반도체용 케미칼,기타 화학제품 제조업 / LCD·반도체용 케미칼,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102940,코오롱생명과학,기초 의약물질 제조업,항균제·수처리제·원료의약 등,기초 의약물질 제조업 / 항균제·수처리제·원료의약 등,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
102950,아하,전자부품 제조업,전자칠판·전자교탁 등,전자부품 제조업 / 전자칠판·전자교탁 등,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
103140,풍산,1차 비철금속 제조업,,1차 비철금속 제조업,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
