ticker,corp_code,corp_name,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,account_nm,fs_div,sj_div,bsns_year,reprt_code,target_period_key,fetched_at_kst
000680,01933981,비엔케이제3호스팩,-26693670,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:20+09:00
000700,00163691,유수홀딩스,22761908287,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:20+09:00
000720,01934935,KB제33호스팩,-21515700,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:20+09:00
000725,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000760,00145686,이화산업,1920340824,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:21+09:00
000810,00139214,삼성화재해상보험,1746459385358,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:21+09:00
000815,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000850,00166519,화천기공,8352380129,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:21+09:00
000860,00100939,강남제비스코,13230638172,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:21+09:00
000880,01958111,메리츠제1호스팩,-17232410,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:21+09:00
000890,00123541,보해양조,2327492603,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:22+09:00
000910,01945339,신영스팩11호,-26013458,KRW,True,2026 반기보고서,OK,영업이익(손실),OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:22+09:00
000950,00147222,전방,-1059596668,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:22+09:00
000970,00159573,한국주철관공업,9748770596,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:22+09:00
000990,01949584,IBKS제25호스팩,-37963850,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:22+09:00
001000,00135999,신라섬유,-228408988,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:23+09:00
001020,00134723,페이퍼코리아,6687986487,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:23+09:00
001040,00148540,CJ,992440137000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:23+09:00
001045,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001060,00149947,JW중외제약,66916424524,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:23+09:00
001065,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001067,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001070,00112970,대한방직,1522953026,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:23+09:00
001080,00120872,만호제강,-11976544318,KRW,True,2025 사업보고서,OK,영업이익,OFS,IS,2025,11011,2026_11012,2026-08-19T08:51:25+09:00
001120,00120076,LX인터내셔널,226725853197,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:24+09:00
001130,00113243,대한제분,14044406550,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:24+09:00
001200,00131054,유진증권,154167946370,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:24+09:00
001210,00106395,금호전기,-986018595,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:24+09:00
001230,00114792,동국홀딩스,26336413152,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:25+09:00
001250,00138190,GS글로벌,24569335000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:25+09:00
001260,01965324,삼성에피스홀딩스,149285285930,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:25+09:00
001270,00123772,부국증권,40075777550,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:26+09:00
001275,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001290,00112059,상상인증권,8452882482,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:26+09:00
001340,00122472,PKC,10444509361,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:26+09:00
001360,00126414,삼성제약,-7022666172,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:26+09:00
001380,00152039,SG글로벌,4786932251,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:26+09:00
001390,00101220,KG케미칼,155504445659,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001420,00154055,태원물산,-900635208,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001430,00106669,세아베스틸지주,90931588161,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001440,00113207,대한전선,121253493410,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001450,00164973,현대해상,853185296569,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001460,00122579,BYC,8580550468,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001465,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001470,00125974,삼부토건,-8094106692,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:27+09:00
001500,00137997,현대차증권,51431000000,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:28+09:00
001510,00131850,SK증권,51251000000,KRW,False,2026 반기보고서,OK,영업이익(손실),CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:28+09:00
001515,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001520,00117337,동양,-12322330630,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:28+09:00
001525,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001527,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001530,00118345,디아이동일,4018589795,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:28+09:00
001540,00139205,안국약품,24659065107,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:29+09:00
001550,00148948,조비,8572351677,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:29+09:00
001560,00148461,제일연마,3605196821,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:29+09:00
001570,00106119,금양,-7939945901,KRW,True,2026 1분기보고서,OK,영업이익,CFS,IS,2026,11013,2026_11012,2026-08-19T08:51:30+09:00
001620,00114765,케이비아이동국실업,-1180434741,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:30+09:00
001630,00149354,종근당홀딩스,25917042971,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:30+09:00
001680,00121941,대상,103461732421,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:30+09:00
001685,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001720,00136721,신영증권,121069203114,KRW,False,2026 1분기보고서,OK,영업이익(손실),CFS,IS,2026,11013,2026_11012,2026-08-19T08:51:31+09:00
001740,00131780,SK네트웍스,58143000000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:30+09:00
001750,00162416,한양증권,51472542624,KRW,False,2026 반기보고서,OK,영업이익(손실),OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:30+09:00
001755,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001770,00137809,SHD,-739139361,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:30+09:00
001780,00117027,알루코,15639024535,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:31+09:00
001790,00113234,대한제당,18873536000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:31+09:00
001795,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
001800,00117577,오리온홀딩스,300579211778,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:31+09:00
001810,00121507,무림SP,1577204529,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:32+09:00
001820,00129350,삼화콘덴서공업,13334863674,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:32+09:00
001840,00145668,이화공영,-1986503645,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:32+09:00
001940,00159740,KISCO홀딩스,-24127286402,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:32+09:00
002020,00152862,코오롱,198619422970,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:33+09:00
002025,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
002030,00138701,아세아,60116282000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:33+09:00
002070,00107677,비비안,-2186149114,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:33+09:00
002100,00101433,경농,45875875746,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:33+09:00
002140,00102751,고려산업,7271689688,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:33+09:00
002150,00114552,도화엔지니어링,2105773925,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002170,00127042,SYTS,3762245281,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002200,00158112,한국수출포장공업,-16897422956,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002210,00116268,동성제약,-1745601839,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002220,00163196,한일철강,3319312016,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002230,00155638,피에스텍,1864191151,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002240,00103006,고려제강,12383045800,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:34+09:00
002290,00127936,삼일기업공사,2664241305,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:35+09:00
002310,00138729,아세아제지,22482803322,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:35+09:00
002320,00163512,한진,49673690539,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:35+09:00
002350,00173874,넥센타이어,88544111015,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:35+09:00
002355,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
002360,00136457,SH에너지화학,-1139553713,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:35+09:00
002380,00105271,케이씨씨,222530878726,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:36+09:00
002390,00161046,한독,3527530910,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:36+09:00
002410,00122694,범양건영,60504627,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:36+09:00
002420,00133618,세기상사,-6778840,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:36+09:00
002450,00127857,삼익악기,11651120963,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:37+09:00
002460,00174527,HS화성,-5251894357,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:37+09:00
002600,00149345,조흥,9387243071,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:37+09:00
002620,00148443,제일파마홀딩스,-6380125739,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:37+09:00
002630,00141626,오리엔트바이오,50062912,KRW,False,2026 1분기보고서,OK,영업이익,OFS,IS,2026,11013,2026_11012,2026-08-19T08:51:38+09:00
002680,00140566,한탑,-2134654873,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:38+09:00
002690,00118451,동일제강,395102349,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:38+09:00
002700,00173698,신일전자,6728737112,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:38+09:00
002710,00117300,TCC스틸,-2810460763,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:38+09:00
002720,00104722,국제약품,4102452000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:38+09:00
002760,00123107,보락,1240530400,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:39+09:00
002780,00150828,진흥기업,11605004778,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:39+09:00
002785,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
