ticker,name,market,source_status,source_version,source_classification,single_blocker_ticker,corp_code,corp_name_dart,audit_start_date,audit_end_date,requested_lookback_days,chunk_count,dart_list_api_calls,dart_report_count,risk_report_count,supply_status,supply_level,risk_keywords,latest_risk_report_date,latest_risk_report_name,latest_risk_rcept_no,relief_report_match_count,evidence_reports_json,chunk_summaries_json,evidence_ref
000650,천일고속,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_NO_POSITIVE_BURDEN,FALSE,00151395,천일고속,2026-03-20,2026-09-15,180,2,2,6,0,OK,없음,,,,,0,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":5},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":1}]",V8100:DART_LIST_180D_EXACT_STOCK:000650
001020,페이퍼코리아,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_POSITIVE_BURDEN,FALSE,00134723,페이퍼코리아,2026-03-20,2026-09-15,180,2,2,23,2,OK,위험,"신주인수권,신주인수권행사,주요주주변동",20260508,임원ㆍ주요주주특정증권등소유상황보고서,20260508000043,0,"[{""rcept_dt"":""20260508"",""rcept_no"":""20260508000043"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""페이퍼코리아"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260504"",""rcept_no"":""20260504800527"",""report_nm"":""전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              "",""corp_name"":""페이퍼코리아"",""keywords"":[""신주인수권"",""신주인수권행사""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":16},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7}]",V8100:DART_LIST_180D_EXACT_STOCK:001020
001420,태원물산,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_NO_POSITIVE_BURDEN,FALSE,00154055,태원물산,2026-03-20,2026-09-15,180,2,2,11,0,OK,없음,,,,,2,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":4},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7}]",V8100:DART_LIST_180D_EXACT_STOCK:001420
001440,대한전선,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_POSITIVE_BURDEN,FALSE,00113207,대한전선,2026-03-20,2026-09-15,180,2,2,35,3,OK,위험,"교환청구,대량보유,신주인수권,전환청구",20260513,주식등의대량보유상황보고서(약식),20260513000551,0,"[{""rcept_dt"":""20260513"",""rcept_no"":""20260513000551"",""report_nm"":""주식등의대량보유상황보고서(약식)"",""corp_name"":""대한전선"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260421"",""rcept_no"":""20260421800611"",""report_nm"":""[기재정정]전환청구권ㆍ신주인수권ㆍ교환청구권행사              "",""corp_name"":""대한전선"",""keywords"":[""교환청구"",""신주인수권"",""전환청구""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260421"",""rcept_no"":""20260421800539"",""report_nm"":""전환청구권ㆍ신주인수권ㆍ교환청구권행사              "",""corp_name"":""대한전선"",""keywords"":[""교환청구"",""신주인수권"",""전환청구""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":21},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":14}]",V8100:DART_LIST_180D_EXACT_STOCK:001440
002210,동성제약,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_POSITIVE_BURDEN,FALSE,00116268,동성제약,2026-03-20,2026-09-15,180,2,2,75,27,OK,위험,"CB,CB발행,감자,대량보유,유상증자,주요주주변동,최대주주변경",20260514,[기재정정]주요사항보고서(감자결정),20260514001369,0,"[{""rcept_dt"":""20260514"",""rcept_no"":""20260514001369"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260513"",""rcept_no"":""20260513000482"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260429"",""rcept_no"":""20260429000976"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260424"",""rcept_no"":""20260424000499"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260422"",""rcept_no"":""20260422000352"",""report_nm"":""[기재정정]주요사항보고서(유상증자결정)"",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000283"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260416"",""rcept_no"":""20260415000699"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000150"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000146"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000145"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000133"",""report_nm"":""주식등의대량보유상황보고서(일반)"",""corp_name"":""동성제약"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260410"",""rcept_no"":""20260410003004"",""report_nm"":""주식등의대량보유상황보고서(약식)"",""corp_name"":""동성제약"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260409"",""rcept_no"":""20260409800917"",""report_nm"":""유상증자또는주식관련사채등의발행결과(자율공시)              "",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260409"",""rcept_no"":""20260409001531"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260409"",""rcept_no"":""20260409001294"",""report_nm"":""[기재정정]주요사항보고서(유상증자결정)"",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003134"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003088"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003057"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003017"",""report_nm"":""주식등의대량보유상황보고서(일반)"",""corp_name"":""동성제약"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260403"",""rcept_no"":""20260403003449"",""report_nm"":""[기재정정]주요사항보고서(전환사채권발행결정)"",""corp_name"":""동성제약"",""keywords"":[""CB"",""CB발행""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260402"",""rcept_no"":""20260402003144"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260401"",""rcept_no"":""20260401800868"",""report_nm"":""최대주주등소유주식변동신고서(최대주주변경시)              "",""corp_name"":""동성제약"",""keywords"":[""최대주주변경""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260401"",""rcept_no"":""20260401004789"",""report_nm"":""주요사항보고서(전환사채권발행결정)"",""corp_name"":""동성제약"",""keywords"":[""CB"",""CB발행""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260331"",""rcept_no"":""20260331800434"",""report_nm"":""최대주주변경              "",""corp_name"":""동성제약"",""keywords"":[""최대주주변경""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260331"",""rcept_no"":""20260331800372"",""report_nm"":""유상증자또는주식관련사채등의발행결과(자율공시)              "",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260331"",""rcept_no"":""20260330001841"",""report_nm"":""주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260327"",""rcept_no"":""20260327000731"",""report_nm"":""주요사항보고서(유상증자결정)"",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":63},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":12}]",V8100:DART_LIST_180D_EXACT_STOCK:002210
002990,금호건설,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_POSITIVE_BURDEN,FALSE,00106313,금호건설,2026-03-20,2026-09-15,180,2,2,77,29,OK,위험,"대량보유,유상증자,자사주처분,주요주주변동",20260417,[기재정정]주요사항보고서(유상증자결정),20260417000439,0,"[{""rcept_dt"":""20260417"",""rcept_no"":""20260417000439"",""report_nm"":""[기재정정]주요사항보고서(유상증자결정)"",""corp_name"":""금호건설"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000408"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000404"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000397"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000392"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000386"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000383"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000379"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000376"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000369"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000362"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000351"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000346"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000340"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000333"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000327"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000318"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000311"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000306"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000303"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000296"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000289"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000286"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000281"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000268"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000220"",""report_nm"":""주식등의대량보유상황보고서(일반)"",""corp_name"":""금호건설"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000107"",""report_nm"":""자기주식처분결과보고서"",""corp_name"":""금호건설"",""keywords"":[""자사주처분""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260326"",""rcept_no"":""20260326001370"",""report_nm"":""주요사항보고서(자기주식처분결정)"",""corp_name"":""금호건설"",""keywords"":[""자사주처분""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260326"",""rcept_no"":""20260326001295"",""report_nm"":""주요사항보고서(유상증자결정)"",""corp_name"":""금호건설"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":53},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":24}]",V8100:DART_LIST_180D_EXACT_STOCK:002990
003280,흥아해운,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,00167208,흥아해운,2026-03-20,2026-09-15,180,2,2,14,0,OK,없음,,,,,0,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7}]",V8100:DART_LIST_180D_EXACT_STOCK:003280
009200,무림페이퍼,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_NO_POSITIVE_BURDEN,FALSE,00136086,무림페이퍼,2026-03-20,2026-09-15,180,2,2,11,0,OK,없음,,,,,0,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":4}]",V8100:DART_LIST_180D_EXACT_STOCK:009200
011200,HMM,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_POSITIVE_BURDEN,FALSE,00164645,HMM,2026-03-20,2026-09-15,180,2,2,22,1,OK,주의,대량보유,20260401,주식등의대량보유상황보고서(약식),20260401001945,0,"[{""rcept_dt"":""20260401"",""rcept_no"":""20260401001945"",""report_nm"":""주식등의대량보유상황보고서(약식)"",""corp_name"":""HMM"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":13},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":9}]",V8100:DART_LIST_180D_EXACT_STOCK:011200
012690,모나리자,KOSPI,SOURCE_ONLY_READY,2026-09-15-v8.10.1-freeze-complete-supply-evidence-and-dry-run,COMPLETE_180D_NO_POSITIVE_BURDEN,FALSE,00173102,모나리자,2026-03-20,2026-09-15,180,2,2,8,0,OK,없음,,,,,0,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":1}]",V8100:DART_LIST_180D_EXACT_STOCK:012690
