name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
SK이노베이션,096770,KR,KRW,KOSPI,OK,2026-07-08,101200.0,93200.0,100200.0,100200.0,108200.0,91600.0,3195.0,2.8,2.1,87700.0,155400.0,89500.0,149800.0,77.19,19.94,30497.0,3086296400.0,42717005480.0,False,,,,,,,62,pykrx_adjusted,
SK하이닉스,000660,KR,KRW,KOSPI,OK,2026-07-08,2165000.0,1924000.0,2136000.0,2136000.0,2377000.0,1876000.0,96300.0,4.76,2.3,990000.0,2987000.0,998000.0,2919000.0,201.72,58.84,425444.0,921086260000.0,14155157471600.0,False,,,,,,,62,pykrx_adjusted,
대한전선,001440,KR,KRW,KOSPI,OK,2026-07-08,28950.0,27200.0,28650.0,28650.0,34000.0,27400.0,2295.0,5.06,2.6,28250.0,75900.0,28950.0,72300.0,168.67,1.47,179406.0,5193803700.0,130561524315.0,False,,,,,,,62,pykrx_adjusted,
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-07-08,10380.0,9760.0,10280.0,10280.0,12510.0,9890.0,969.0,4.96,2.3,10200.0,33000.0,10380.0,31250.0,223.53,0.79,2801.0,29074380.0,1380094638.0,True,,,,,,,62,pykrx_adjusted,
두산로보틱스,454910,KR,KRW,KOSPI,OK,2026-07-08,74700.0,70200.0,74000.0,74000.0,86600.0,72000.0,5390.0,4.95,2.2,74200.0,170000.0,74700.0,166700.0,129.11,0.52,55848.0,4171845600.0,67251409200.0,False,,,,,,,62,pykrx_adjusted,
두산에너빌리티,034020,KR,KRW,KOSPI,OK,2026-07-08,78100.0,73400.0,77300.0,77300.0,85300.0,74900.0,3275.0,3.18,2.0,77200.0,139200.0,78100.0,136400.0,80.31,1.45,227026.0,17730730600.0,270820145345.0,False,,,,,,,62,pykrx_adjusted,
미래에셋벤처투자,100790,KR,KRW,KOSDAQ,OK,2026-07-08,15860.0,14910.0,15700.0,15700.0,22350.0,15080.0,2955.0,7.03,1.9,15550.0,70700.0,15860.0,67400.0,354.66,0.56,43432.0,688831520.0,62894491895.0,False,,,,,,,62,pykrx_adjusted,
미래에셋증권,006800,KR,KRW,KOSPI,OK,2026-07-08,40950.0,39150.0,40300.0,40300.0,45600.0,37600.0,2100.0,3.56,1.8,38750.0,87800.0,40150.0,83800.0,126.58,4.49,132494.0,5425629300.0,152907203108.0,False,,,,,,,62,pykrx_adjusted,
산일전기,062040,KR,KRW,KOSPI,OK,2026-07-08,178100.0,149600.0,174700.0,174700.0,203000.0,143900.0,11390.0,4.89,2.6,139400.0,341000.0,142500.0,333500.0,144.62,19.2,34807.0,6199126700.0,73308317015.0,False,,,,,,,62,pykrx_adjusted,
삼성SDI,006400,KR,KRW,KOSPI,OK,2026-07-08,418500.0,393500.0,414500.0,414500.0,466000.0,403500.0,21600.0,3.84,1.7,416000.0,723000.0,418500.0,712000.0,73.8,0.81,44414.0,18587259000.0,251788951275.0,False,,,,,,,62,pykrx_adjusted,
