name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,return_anomaly_flag,return_anomaly_reason,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
SK하이닉스,000660,KR,KRW,KOSPI,OK,2026-06-01,2363000.0,1411000.0,2048000.0,2195000.0,56000.0,4.57,1.9,806000.0,2398000.0,807000.0,2363000.0,197.52,97.8,63.3,151.65,False,,5134915.0,12133804145000.0,11467903704550.0,False,,,,,,,62,pykrx_adjusted,
대한전선,001440,KR,KRW,KOSPI,OK,2026-06-01,47600.0,44500.0,52400.0,41100.0,2165.0,5.13,2.1,25250.0,75900.0,26050.0,72300.0,200.59,44.13,-21.58,48.52,False,,7241214.0,344681786400.0,644374986020.0,False,,,,,,,62,pykrx_adjusted,
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-06-01,16950.0,16440.0,19220.0,13860.0,1030.0,5.0,1.9,14100.0,33000.0,14330.0,31250.0,134.04,15.08,-32.47,-3.31,False,,335437.0,5685657150.0,9483523559.0,True,,,,,,,62,pykrx_adjusted,
두산로보틱스,454910,KR,KRW,KOSPI,OK,2026-06-01,138400.0,101200.0,125500.0,125600.0,4265.0,4.35,1.9,78200.0,138800.0,79500.0,138400.0,77.49,99.34,28.39,40.79,False,,3538477.0,489725216800.0,262494377670.0,False,,,,,,,62,pykrx_adjusted,
두산에너빌리티,034020,KR,KRW,KOSPI,OK,2026-06-01,106900.0,101900.0,114600.0,96400.0,3505.0,3.34,1.7,79000.0,139200.0,80600.0,136400.0,76.2,46.35,-15.96,10.32,False,,4321740.0,461994006000.0,490990550840.0,False,,,,,,,62,pykrx_adjusted,
미래에셋벤처투자,100790,KR,KRW,KOSDAQ,OK,2026-06-01,43850.0,37700.0,50000.0,35400.0,2815.0,7.3,1.8,17500.0,70700.0,17700.0,67400.0,304.0,49.53,-16.63,98.87,False,,2662863.0,116766542550.0,187451375968.0,False,,,,,,,62,pykrx_adjusted,
미래에셋증권,006800,KR,KRW,KOSPI,OK,2026-06-01,60900.0,59100.0,66800.0,54100.0,2665.0,4.0,1.6,55800.0,87800.0,56300.0,83800.0,57.47,16.05,-13.37,-8.16,False,,3532253.0,215114207700.0,343060129885.0,False,,,,,,,62,pykrx_adjusted,
산일전기,062040,KR,KRW,KOSPI,OK,2026-06-01,247500.0,207000.0,269000.0,218000.0,9860.0,5.0,2.1,125000.0,341000.0,128000.0,333500.0,172.8,56.71,-25.79,64.78,False,,494030.0,122272425000.0,185445772400.0,False,,,,,,,62,pykrx_adjusted,
삼성SDI,006400,KR,KRW,KOSPI,OK,2026-06-01,652000.0,491000.0,641000.0,600000.0,17360.0,3.37,2.0,348500.0,723000.0,351000.0,712000.0,107.46,81.04,-7.52,59.8,False,,854997.0,557458044000.0,552111586750.0,False,,,,,,,62,pykrx_adjusted,
삼성생명,032830,KR,KRW,KOSPI,OK,2026-06-01,410000.0,278000.0,370000.0,383000.0,9010.0,3.5,1.6,190500.0,420500.0,197500.0,410000.0,120.73,95.43,54.72,85.1,False,,663500.0,272035000000.0,186230104300.0,False,,,,,,,62,pykrx_adjusted,
삼성전기,009150,KR,KRW,KOSPI,OK,2026-06-01,2005000.0,1050000.0,1787000.0,1881000.0,41500.0,5.07,2.4,350500.0,2192000.0,362500.0,2127000.0,525.39,89.85,118.41,390.22,False,,1603108.0,3214231540000.0,1866774277450.0,False,,,,,,,62,pykrx_adjusted,
삼성전자,005930,KR,KRW,KOSPI,OK,2026-06-01,349000.0,238000.0,313000.0,323000.0,8670.0,3.9,1.6,167000.0,354500.0,167200.0,349000.0,112.28,97.07,50.11,78.88,False,,39372103.0,13740863947000.0,9732068536675.0,False,,,,,,,62,pykrx_adjusted,
삼성전자우,005935,KR,KRW,KOSPI,OK,2026-06-01,229000.0,159300.0,208500.0,211500.0,5760.0,3.85,1.7,112600.0,235500.0,114000.0,229000.0,109.15,94.71,35.02,77.24,False,,11149435.0,2553220615000.0,1205382748545.0,False,,,,,,,62,pykrx_adjusted,
삼성중공업,010140,KR,KRW,KOSPI,OK,2026-06-01,27550.0,26700.0,29650.0,24700.0,958.0,3.33,1.9,23000.0,35350.0,23500.0,34400.0,53.7,36.84,-14.57,-1.61,False,,5148142.0,141831312100.0,220823193160.0,False,,,,,,,62,pykrx_adjusted,
삼양식품,003230,KR,KRW,KOSPI,OK,2026-06-01,1166000.0,1131000.0,1243000.0,1061000.0,35100.0,2.87,1.8,981000.0,1484000.0,1022000.0,1444000.0,51.27,36.78,-11.4,-0.51,False,,88311.0,102970626000.0,100583345250.0,False,,,,,,,62,pykrx_adjusted,
삼화콘덴서,001820,KR,KRW,KOSPI,OK,2026-06-01,114000.0,90500.0,124000.0,100300.0,4565.0,6.12,1.7,40000.0,172800.0,40100.0,156200.0,332.0,55.72,66.67,130.07,False,,3068105.0,349763970000.0,178535822355.0,False,,,,,,,62,pykrx_adjusted,
셀트리온,068270,KR,KRW,KOSPI,OK,2026-06-01,191700.0,185900.0,202000.0,177800.0,4640.0,2.31,1.9,178000.0,235500.0,179400.0,225000.0,32.3,23.83,-3.08,-14.8,False,,858959.0,164662440300.0,148000164660.0,False,,,,,,,62,pykrx_adjusted,
신세계,004170,KR,KRW,KOSPI,OK,2026-06-01,516000.0,411000.0,532000.0,476000.0,13250.0,3.4,1.4,295500.0,599000.0,300500.0,578000.0,102.71,72.65,25.7,43.53,False,,68137.0,35158692000.0,47080478025.0,False,,,,,,,62,pykrx_adjusted,
주성엔지니어링,036930,KR,KRW,KOSDAQ,OK,2026-06-01,185500.0,128300.0,201000.0,164300.0,7070.0,6.74,1.9,53700.0,250000.0,53800.0,234500.0,365.55,67.14,46.52,214.41,False,,2575775.0,477806262500.0,495475784055.0,False,,,,,,,62,pykrx_adjusted,
차백신연구소,261780,KR,KRW,KOSDAQ,OK,2026-06-01,2900.0,2815.0,3450.0,2210.0,250.0,6.9,2.1,2280.0,6720.0,2500.0,5700.0,194.74,13.96,-13.56,12.19,False,,2059743.0,5973254700.0,31284057579.0,False,,,,,,,62,pykrx_adjusted,
코리아써키트,007810,KR,KRW,KOSPI,OK,2026-06-01,119600.0,74600.0,105900.0,107700.0,3975.0,5.27,1.9,44800.0,123100.0,45100.0,119600.0,174.78,95.53,30.85,125.66,False,,311500.0,37255400000.0,38579687530.0,False,,,,,,,62,pykrx_adjusted,
코스모로보틱스,439960,KR,KRW,KOSDAQ,OK,2026-06-01,34500.0,33450.0,48050.0,19500.0,6150.0,15.51,2.2,20100.0,68500.0,24000.0,56200.0,240.8,29.75,43.75,43.75,True,3개월 데이터 부족 15행,6759652.0,233207994000.0,631939108637.0,False,,,,,,,15,pykrx_adjusted,
파마리서치,214450,KR,KRW,KOSDAQ,OK,2026-06-01,298000.0,289000.0,318500.0,270000.0,9270.0,2.95,2.0,278500.0,360500.0,282500.0,351000.0,29.44,23.78,-12.09,-9.28,False,,84943.0,25313014000.0,41609480350.0,False,,,,,,,62,pykrx_adjusted,
한미반도체,042700,KR,KRW,KOSPI,OK,2026-06-01,293000.0,284000.0,323500.0,251500.0,13790.0,4.46,1.7,242500.0,426000.0,251000.0,409500.0,75.67,27.52,-22.49,3.9,False,,1166482.0,341779226000.0,475418448575.0,False,,,,,,,62,pykrx_adjusted,
한화오션,042660,KR,KRW,KOSPI,OK,2026-06-01,124900.0,121200.0,133500.0,113200.0,3915.0,3.13,2.1,107100.0,154800.0,108500.0,136900.0,44.54,37.32,-6.09,-7.75,False,,1900954.0,237429154600.0,240657683880.0,False,,,,,,,62,pykrx_adjusted,
현대모비스,012330,KR,KRW,KOSPI,OK,2026-06-01,761000.0,543000.0,723000.0,700000.0,20300.0,4.19,1.9,372000.0,822000.0,378000.0,768000.0,120.97,86.44,76.36,62.43,False,,1629896.0,1240350856000.0,688907616300.0,False,,,,,,,62,pykrx_adjusted,
현대오토에버,307950,KR,KRW,KOSPI,OK,2026-06-01,938000.0,626000.0,910000.0,862000.0,25200.0,4.99,1.9,357000.0,1066000.0,358500.0,938000.0,198.6,81.95,110.31,109.84,False,,748576.0,702164288000.0,309286873925.0,False,,,,,,,62,pykrx_adjusted,
현대차,005380,KR,KRW,KOSPI,OK,2026-06-01,750000.0,573000.0,709000.0,688000.0,20600.0,3.69,2.1,445000.0,783000.0,445500.0,750000.0,75.96,90.24,39.15,26.05,False,,2720257.0,2040192750000.0,1642723759600.0,False,,,,,,,62,pykrx_adjusted,
현대차2우B,005387,KR,KRW,KOSPI,OK,2026-06-01,295500.0,262000.0,295000.0,272000.0,7770.0,3.0,1.9,231000.0,313000.0,232500.0,295500.0,35.5,78.66,18.44,4.97,False,,589041.0,174061615500.0,86188462050.0,False,,,,,,,62,pykrx_adjusted,
현대차우,005385,KR,KRW,KOSPI,OK,2026-06-01,295000.0,260500.0,293500.0,270500.0,8250.0,3.19,1.9,229000.0,312000.0,229000.0,295000.0,36.24,79.52,18.47,4.61,False,,472160.0,139287200000.0,58050744150.0,False,,,,,,,62,pykrx_adjusted,
