ticker,name,market,single_blocker_ticker,baseline_blocker_reason,corp_code,corp_name_dart,corp_code_exact_stock_match_count,audit_start_date,audit_end_date,requested_lookback_days,chunk_days,chunk_count,dart_list_api_calls,dart_report_count,risk_report_count,risk_level,risk_keywords,latest_risk_report_date,latest_risk_report_name,latest_risk_rcept_no,relief_report_match_count,query_complete_180d,audit_classification,source_overlay_candidate,proposed_supply_status,proposed_supply_level,evidence_reports_json,chunk_summaries_json,api_errors_json,audit_note
004545,깨끗한나라우,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
005385,현대차우,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
005387,현대차2우B,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
005389,현대차3우B,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
009200,무림페이퍼,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00136086,무림페이퍼,1,2026-03-20,2026-09-15,180,90,2,2,11,0,없음,,,,,0,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":4}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
011200,HMM,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00164645,HMM,1,2026-03-20,2026-09-15,180,90,2,2,22,1,주의,대량보유,20260401,주식등의대량보유상황보고서(약식),20260401001945,0,TRUE,COMPLETE_180D_POSITIVE_BURDEN,TRUE,OK,주의,"[{""rcept_dt"":""20260401"",""rcept_no"":""20260401001945"",""report_nm"":""주식등의대량보유상황보고서(약식)"",""corp_name"":""HMM"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":13},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":9}]",[],종목별 180일 전 구간 조회 완료 + 기존 supply contract 키워드에 해당하는 양성 공시 확인
012690,모나리자,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00173102,모나리자,1,2026-03-20,2026-09-15,180,90,2,2,8,0,없음,,,,,0,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":1}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
013360,일성건설,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00146232,일성건설,1,2026-03-20,2026-09-15,180,90,2,2,25,0,없음,,,,,0,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":14},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":11}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
029780,삼성카드,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00126292,삼성카드,1,2026-03-20,2026-09-15,180,90,2,2,78,2,주의,주요주주변동,20260609,임원ㆍ주요주주특정증권등소유상황보고서,20260609000448,0,TRUE,COMPLETE_180D_POSITIVE_BURDEN,TRUE,OK,주의,"[{""rcept_dt"":""20260609"",""rcept_no"":""20260609000448"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""삼성카드"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260609"",""rcept_no"":""20260609000416"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""삼성카드"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":44},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":34}]",[],종목별 180일 전 구간 조회 완료 + 기존 supply contract 키워드에 해당하는 양성 공시 확인
051905,LG생활건강우,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
063160,종근당바이오,KOSPI,TRUE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00390055,종근당바이오,1,2026-03-20,2026-09-15,180,90,2,2,9,0,없음,,,,,0,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":5},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":4}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
