ticker,name,operating_cash_flow_annual,source_fs_div,baseline_status,staged_status,baseline_missing_components,staged_missing_components,baseline_score_total,staged_score_total
000100,유한양행,106227395422.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,57.0
005850,에스엘,508540930109.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,72.0
006110,삼아알미늄,-4973559699.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,36.5
013870,지엠비코리아,7097456491.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,67.0
014710,사조씨푸드,-34381798575.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,66.0
120110,코오롱인더,355039451553.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,70.5
271560,오리온,537328134910.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,73.0
