ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
028050,삼성E&A,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업 / 산업설비·건물·구축물",14.05,36.41,15.67,9.46,14.65,122.37,13.6,1.99,흑자지속,19.8,51.0,28.78,254433358974.0,4.1879,11.9649,60.7656,5.2756,73494432061.0,1.1585,2.8865,주의,BOTTOM_REBOUND
029530,신도리코,KOSPI,,4.11,-458.08,1236.74,-3.75,3.15,6.69,11.0,0.35,적자전환,0.03,-391.82,85.18,52078719058.0,-4.7561,-8.3333,28.2759,2.7795,222195955.0,0.255,1.052,주의,NEW_LOW
029780,삼성카드,KOSPI,,6.8,-6.01,-7.49,39.65,6.97,292.22,8.49,0.59,흑자지속,,4.06,1.99,-1575026000000.0,-3.7037,-3.4995,9.0909,2.2762,5264881918.0,0.5015,1.2536,없음,SIDEWAYS_OR_UNCONFIRMED
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업 / 기관·터어빈·선박용엔진,8.04,32.45,62.24,6.1,4.53,136.43,87.06,3.94,흑자지속,3.41,15.92,14.44,751801000000.0,16.5597,2.4831,64.6272,5.4297,265333043948.0,0.8035,3.4589,주의,BOTTOM_REBOUND
035420,NAVER,KOSPI,,16.27,3.43,8.06,16.02,6.42,43.92,17.11,1.1,흑자지속,16.25,-0.24,41.6,3095806604677.0,-3.5047,-7.8125,30.0948,4.5471,166306856725.0,0.8666,1.9189,위험,NEW_LOW
035720,카카오,KOSPI,,10.24,47.44,-34.22,12.09,3.25,83.59,31.21,1.01,흑자지속,3.46,48.99,-89.54,1404762595727.0,-15.2334,-12.2137,20.9302,4.213,80511378843.0,0.531,1.8625,경계,NEW_LOW
036570,NC,KOSPI,,78.8,1314.57,18152.71,21.62,15.84,30.23,7.81,1.24,흑자지속,101.49,1053.03,464.87,161967521188.0,-19.5695,-20.9615,3.1447,4.6324,17525051575.0,1.1902,1.7063,주의,NEW_LOW
044380,주연테크,KOSPI,,6.07,153.31,193.7,1.61,4.79,17.73,4.58,0.22,흑자전환,4.29,116.52,151.81,1988499258.0,-26.699,-57.968,,,377187207.0,2.2801,5.1769,위험,NEW_LOW
047050,포스코인터내셔널,KOSPI,상품 중개업 / 영업활동의 주요 품목으로 에너지 사업내 천연가스 발전·태양력·풍력,10.87,28.22,78.27,4.36,13.1,155.76,8.84,1.16,흑자지속,18.16,36.76,173.26,1941539030000.0,2.852,-0.6885,59.3533,4.5827,146875782141.0,0.2056,2.3265,경계,BOTTOM_REBOUND
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업 / 정부방산 및 완제기 수출(T-50계열·KUH계열·KT-1계열 등)",47.98,-12.45,-9.19,5.11,7.9,484.2,81.2,6.42,흑자지속,40.99,-43.15,-35.16,-903316343552.0,-3.69,-8.0338,36.4769,5.3413,40908042142.0,0.6252,2.2368,경계,EARLY_REBOUND_UNCONFIRMED
051905,LG생활건강우,KOSPI,,,,,,,,,,,,,,446433049589.0,-8.4071,2.4752,49.6622,3.3011,832090142.0,0.5632,1.297,없음,NEW_LOW
058730,다스코,KOSPI,,16.58,-413.37,-115.09,-6.98,-15.01,153.94,,0.51,적자지속,14.73,-627.26,-84.62,38096049971.0,-9.1781,29.4922,24.2378,10.4092,9780629969.0,0.1361,3.8731,위험,TOP_DECLINE
058860,KTis,KOSPI,,10.66,-12.41,5.27,3.98,8.67,85.49,4.21,0.36,흑자지속,22.26,-6.49,5.64,36209504065.0,-0.1953,-1.1605,56.0606,1.5249,109020233.0,0.2934,0.4215,경계,SIDEWAYS_OR_UNCONFIRMED
