ticker,name,market,missing_component_count,blocker_reason,blocker_category,source_group,single_blocker_ticker,recovery_status
000490,대동,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
000660,SK하이닉스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
001440,대한전선,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
001630,종근당홀딩스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
002350,넥센타이어,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
003230,삼양식품,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
004490,세방전지,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
005930,삼성전자,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
006260,LS,KOSPI,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT
006400,삼성SDI,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
007070,GS리테일,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
011210,현대위아,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
012450,한화에어로스페이스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
014830,유니드,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
018260,삼성에스디에스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
021240,코웨이,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
022100,포스코DX,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
034020,두산에너빌리티,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
034230,파라다이스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
066570,LG전자,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
071840,롯데하이마트,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS
072130,유엔젤,KOSPI,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT
