market,official_asof_date,official_index_name,official_index_close,official_daily_return_pct,official_return_1m_pct,official_return_3m_pct
KOSDAQ,2026-09-11,코스닥,820.64,-1.95,-4.34,-17.68
KOSPI,2026-09-11,코스피,6909.91,-1.76,8.89,-11.0
