name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
Cerebras Systems Inc,CBRS,US,USD,NASDAQ,OK,2026-06-04,214.44,207.52,209.27,209.27,252.36,199.3,17.24,6.62,2.2,205.47,386.34,213.28,311.07,88.03,4.96,2460739.0,527689476.0,2641619846.0,False,,,,,,,15,yfinance_close,
DB하이텍,000990,KR,KRW,KOSPI,OK,2026-06-04,176400.0,159200.0,174300.0,174300.0,191500.0,155800.0,6860.0,5.22,2.1,74800.0,230500.0,77300.0,220500.0,208.16,65.25,795465.0,140320026000.0,147216336910.0,False,,,,,,,63,pykrx_adjusted,
HD현대일렉트릭,267260,KR,KRW,KOSPI,OK,2026-06-04,999000.0,911000.0,988000.0,988000.0,1077000.0,893000.0,35300.0,3.34,2.1,830000.0,1430000.0,832000.0,1420000.0,72.29,28.17,256067.0,255810933000.0,233063703050.0,False,,,,,,,63,pykrx_adjusted,
HD현대중공업,329180,KR,KRW,KOSPI,OK,2026-06-04,651000.0,601000.0,644000.0,644000.0,691000.0,591000.0,20000.0,3.41,2.3,428000.0,765000.0,439000.0,745000.0,78.74,66.17,354983.0,231093933000.0,396447865250.0,False,,,,,,,63,pykrx_adjusted,
Intel,INTC,US,USD,NASDAQ,OK,2026-06-04,111.68,103.89,110.57,110.57,112.48,102.33,3.12,4.07,2.1,40.63,132.75,41.19,129.44,226.73,77.13,52135680.0,5822773294.0,15309691352.0,False,,,,,,,65,yfinance_close,
LG에너지솔루션,373220,KR,KRW,KOSPI,OK,2026-06-04,422000.0,391500.0,418000.0,418000.0,449000.0,385500.0,12220.0,2.99,1.8,346000.0,497500.0,347500.0,484500.0,43.79,50.17,708012.0,298781064000.0,277864306125.0,False,,,,,,,63,pykrx_adjusted,
LG이노텍,011070,KR,KRW,KOSPI,OK,2026-06-04,1173000.0,1086000.0,1161000.0,1161000.0,1249000.0,1069000.0,34700.0,5.46,1.8,240000.0,1788000.0,246000.0,1530000.0,645.0,60.27,517511.0,607040403000.0,616052070700.0,False,,,,,,,63,pykrx_adjusted,
LG전자,066570,KR,KRW,KOSPI,OK,2026-06-04,328000.0,303500.0,324500.0,324500.0,349500.0,298500.0,9850.0,5.22,2.1,103600.0,438000.0,105600.0,392500.0,322.78,67.11,4288588.0,1406656864000.0,1169464100505.0,False,,,,,,,63,pykrx_adjusted,
LG전자우,066575,KR,KRW,KOSPI,OK,2026-06-04,102100.0,94200.0,101100.0,101100.0,109000.0,92600.0,3155.0,4.48,1.9,47100.0,138400.0,47300.0,124400.0,193.84,60.24,612519.0,62538189900.0,83967927820.0,False,,,,,,,63,pykrx_adjusted,
LG화학,051910,KR,KRW,KOSPI,OK,2026-06-04,352000.0,325500.0,348500.0,348500.0,375500.0,320000.0,10630.0,3.11,2.0,288000.0,437500.0,290000.0,429500.0,51.91,42.81,360228.0,126800256000.0,166792665400.0,False,,,,,,,63,pykrx_adjusted,
