ticker,name,market,source_status,source_version,issuer_resolution,corp_code,issuer_name,issuer_stock_code,preferred_common_ticker,preferred_fs_div,blocker_count,blocker_reasons,raw_patch_required,financial_patch_required,financial_revenue_yoy_pct,annual_revenue_y0,annual_revenue_y1,annual_revenue_y2,annual_operating_profit_y0,annual_operating_profit_y1,annual_operating_profit_y2,q2_revenue_current,q2_revenue_previous,q2_revenue_yoy_pct,q2_operating_profit_current,q2_operating_profit_previous,q2_operating_profit_yoy_pct,evidence_ref
001530,DI동일,KOSPI,SOURCE_EXTENSION_ONLY_READY,2026-09-16-v8.10.9-freeze-v8106-source-against-frozen-v8102-validation-fix,DART_CORPCODE_EXACT_STOCK,00118345,디아이동일,001530,,CFS,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,TRUE,10.12,601351665454.0,651725598894.0,682872127202.0,-1544756113.0,7810548526.0,6304538045.0,180226705067.0,155325169552.0,16.03,3346400675.0,325815956.0,927.08,V8106:OFFICIAL_SOURCE_FIELDS_RECOVERABLE:001530
066575,LG전자우,KOSPI,SOURCE_EXTENSION_ONLY_READY,2026-09-16-v8.10.9-freeze-v8106-source-against-frozen-v8102-validation-fix,V883_APPROVED_PREFERRED_COMMON_PLUS_DART_EXACT_COMMON,00401731,LG전자,066570,066570,CFS,1,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,FALSE,TRUE,9.38,89200882000000.0,87728182000000.0,82262664000000.0,2478392000000.0,3419675000000.0,3653294000000.0,23826468000000.0,20735142000000.0,14.91,1579082000000.0,639404000000.0,146.96,V8106:OFFICIAL_SOURCE_FIELDS_RECOVERABLE:066575#PREFERRED_COMMON:066570
