ticker,name,current_activation,baseline_source_cache_status,baseline_source_cache_reason,candidate_statement,candidate_account_id,changed_field_count,changed_fields,non_revenue_field_change_count
000810,삼성화재,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",CIS,ifrs-full_RevenueFromInterest,6,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct,0
005830,DB손해보험,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",CIS,ifrs-full_RevenueFromInterest,6,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct,0
029780,삼성카드,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",CIS,ifrs-full_RevenueFromInterest,6,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct,0
105560,KB금융,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",CIS,ifrs-full_RevenueFromInterest,6,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct,0
138930,BNK금융지주,NOT_CURRENTLY_ACTIVE_TARGET,,,CIS,ifrs-full_RevenueFromInterest,0,,0
