name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-06-02,15900.0,15420.0,18170.0,13680.0,1031.0,5.02,1.9,14100.0,33000.0,14330.0,31250.0,134.04,9.52,111769.0,1777127100.0,9234824714.0,True,,,,,,,63,pykrx_adjusted,
두산로보틱스,454910,KR,KRW,KOSPI,OK,2026-06-02,156900.0,113100.0,149800.0,143400.0,4495.0,4.5,1.9,78200.0,170000.0,79500.0,156900.0,117.39,85.73,5213312.0,817968652800.0,293254702340.0,False,,,,,,,63,pykrx_adjusted,
두산에너빌리티,034020,KR,KRW,KOSPI,OK,2026-06-02,100100.0,97100.0,107900.0,89400.0,3560.0,3.39,1.7,79000.0,139200.0,80600.0,136400.0,76.2,35.05,2486044.0,248853004400.0,483562012985.0,False,,,,,,,63,pykrx_adjusted,
미래에셋벤처투자,100790,KR,KRW,KOSDAQ,OK,2026-06-02,38650.0,37500.0,44950.0,30100.0,2855.0,7.37,1.8,17500.0,70700.0,17700.0,67400.0,304.0,39.76,1984240.0,76690876000.0,186925337620.0,False,,,,,,,63,pykrx_adjusted,
미래에셋증권,006800,KR,KRW,KOSPI,OK,2026-06-02,57200.0,55500.0,63100.0,54100.0,2680.0,4.03,1.6,55800.0,87800.0,56300.0,83800.0,57.47,4.5,1695533.0,96984487600.0,340018639710.0,False,,,,,,,63,pykrx_adjusted,
산일전기,062040,KR,KRW,KOSPI,OK,2026-06-02,221500.0,207000.0,244000.0,191100.0,10120.0,5.09,2.1,125000.0,341000.0,128000.0,333500.0,172.8,44.68,192025.0,42533537500.0,153781006275.0,False,,,,,,,63,pykrx_adjusted,
삼성SDI,006400,KR,KRW,KOSPI,OK,2026-06-02,616000.0,491000.0,641000.0,563000.0,17660.0,3.41,2.0,348500.0,723000.0,351000.0,712000.0,107.46,71.43,560193.0,345078888000.0,539695147150.0,False,,,,,,,63,pykrx_adjusted,
삼성생명,032830,KR,KRW,KOSPI,OK,2026-06-02,433500.0,286500.0,388000.0,406000.0,9240.0,3.53,1.6,190500.0,443500.0,197500.0,433500.0,132.81,96.05,294889.0,127834381500.0,173117257600.0,False,,,,,,,63,pykrx_adjusted,
삼성전기,009150,KR,KRW,KOSPI,OK,2026-06-02,1716000.0,1050000.0,1787000.0,1580000.0,45500.0,5.22,2.4,350500.0,2192000.0,362500.0,2127000.0,525.39,74.15,1033410.0,1773331560000.0,1921414486000.0,False,,,,,,,63,pykrx_adjusted,
삼성전자,005930,KR,KRW,KOSPI,OK,2026-06-02,351000.0,244000.0,325500.0,325500.0,8560.0,3.85,1.6,167000.0,370000.0,167200.0,351000.0,121.56,90.64,23397969.0,8212687119000.0,9997489836500.0,False,,,,,,,63,pykrx_adjusted,
삼성전자우,005935,KR,KRW,KOSPI,OK,2026-06-02,228500.0,162300.0,214500.0,211500.0,5670.0,3.79,1.7,112600.0,243500.0,114000.0,229000.0,116.25,88.54,4924740.0,1125303090000.0,1268204521090.0,False,,,,,,,63,pykrx_adjusted,
삼성중공업,010140,KR,KRW,KOSPI,OK,2026-06-02,26150.0,25350.0,28250.0,23250.0,965.0,3.36,1.9,23000.0,35350.0,23500.0,34400.0,53.7,25.51,2817284.0,73671976600.0,217359889402.0,False,,,,,,,63,pykrx_adjusted,
삼양식품,003230,KR,KRW,KOSPI,OK,2026-06-02,1145000.0,1111000.0,1222000.0,1040000.0,34900.0,2.85,1.8,981000.0,1484000.0,1022000.0,1444000.0,51.27,32.6,24620.0,28189900000.0,97643105600.0,False,,,,,,,63,pykrx_adjusted,
삼화콘덴서,001820,KR,KRW,KOSPI,OK,2026-06-02,100800.0,90500.0,111100.0,86700.0,4705.0,6.21,1.7,40000.0,172800.0,40100.0,156200.0,332.0,45.78,1107663.0,111652430400.0,183320409675.0,False,,,,,,,63,pykrx_adjusted,
셀트리온,068270,KR,KRW,KOSPI,OK,2026-06-02,186700.0,181100.0,196900.0,172800.0,4645.0,2.32,1.9,178000.0,235500.0,179400.0,225000.0,32.3,15.13,345279.0,64463589300.0,146523433650.0,False,,,,,,,63,pykrx_adjusted,
신세계,004170,KR,KRW,KOSPI,OK,2026-06-02,544000.0,411000.0,532000.0,504000.0,13490.0,3.43,1.4,295500.0,599000.0,300500.0,578000.0,102.71,81.88,56875.0,30940000000.0,47266775275.0,False,,,,,,,63,pykrx_adjusted,
주성엔지니어링,036930,KR,KRW,KOSDAQ,OK,2026-06-02,188700.0,128300.0,204000.0,167700.0,7010.0,6.66,2.0,53700.0,250000.0,53800.0,234500.0,365.55,68.77,2311324.0,436146838800.0,512420333970.0,False,,,,,,,63,pykrx_adjusted,
차백신연구소,261780,KR,KRW,KOSDAQ,OK,2026-06-02,2690.0,2610.0,3240.0,2210.0,249.0,6.91,2.1,2280.0,6720.0,2500.0,5700.0,194.74,9.23,756355.0,2034594950.0,28270622676.0,False,,,,,,,63,pykrx_adjusted,
코리아써키트,007810,KR,KRW,KOSPI,OK,2026-06-02,100200.0,74600.0,105900.0,87500.0,4225.0,5.45,2.1,44800.0,123100.0,45100.0,119600.0,174.78,70.75,192790.0,19317558000.0,38652214555.0,False,,,,,,,63,pykrx_adjusted,
코스모로보틱스,439960,KR,KRW,KOSDAQ,OK,2026-06-02,30400.0,29500.0,43650.0,19500.0,6010.0,15.27,2.2,20100.0,68500.0,24000.0,56200.0,240.8,21.28,1698537.0,51635524800.0,595765076491.0,False,,,,,,,16,pykrx_adjusted,
파마리서치,214450,KR,KRW,KOSDAQ,OK,2026-06-02,290500.0,282000.0,311000.0,270000.0,9240.0,2.94,1.9,278500.0,360500.0,282500.0,351000.0,29.44,14.63,38337.0,11136898500.0,40804512625.0,False,,,,,,,63,pykrx_adjusted,
한미반도체,042700,KR,KRW,KOSPI,OK,2026-06-02,273500.0,265500.0,304000.0,235000.0,13880.0,4.49,1.7,242500.0,426000.0,251000.0,409500.0,75.67,16.89,449056.0,122816816000.0,435037716475.0,False,,,,,,,63,pykrx_adjusted,
한화오션,042660,KR,KRW,KOSPI,OK,2026-06-02,116700.0,113200.0,125500.0,104800.0,3980.0,3.19,2.1,107100.0,154800.0,108500.0,136900.0,44.54,20.13,855099.0,99790053300.0,237948970400.0,False,,,,,,,63,pykrx_adjusted,
현대모비스,012330,KR,KRW,KOSPI,OK,2026-06-02,715000.0,543000.0,723000.0,653000.0,20700.0,4.22,1.9,372000.0,822000.0,378000.0,768000.0,120.97,76.22,695168.0,497045120000.0,714336876400.0,False,,,,,,,63,pykrx_adjusted,
현대오토에버,307950,KR,KRW,KOSPI,OK,2026-06-02,852000.0,626000.0,910000.0,773000.0,26200.0,5.06,1.9,357000.0,1066000.0,358500.0,938000.0,198.6,69.82,187201.0,159495252000.0,314562555875.0,False,,,,,,,63,pykrx_adjusted,
현대차,005380,KR,KRW,KOSPI,OK,2026-06-02,708000.0,573000.0,709000.0,645000.0,20950.0,3.72,2.1,445000.0,783000.0,445500.0,750000.0,75.96,77.81,1457282.0,1031755656000.0,1663772643850.0,False,,,,,,,63,pykrx_adjusted,
현대차2우B,005387,KR,KRW,KOSPI,OK,2026-06-02,282000.0,262000.0,295000.0,258500.0,7860.0,3.03,1.9,231000.0,313000.0,232500.0,295500.0,35.5,62.2,228602.0,64465764000.0,87047900050.0,False,,,,,,,63,pykrx_adjusted,
현대차우,005385,KR,KRW,KOSPI,OK,2026-06-02,280500.0,260500.0,293500.0,255500.0,8350.0,3.22,1.9,229000.0,312000.0,229000.0,295000.0,36.24,62.05,187068.0,52472574000.0,59401063500.0,False,,,,,,,63,pykrx_adjusted,
