basis_date,market,ticker,name,status,benchmark_ticker,benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,missing_reason
2026-09-11,KOSPI,006360,GS건설,READY,1018,건설,-2.6652,37.0154,
2026-09-11,KOSPI,006370,대구백화점,READY,1016,유통,-33.0417,-22.5159,
2026-09-11,KOSPI,006380,카프로,READY,1008,화학,-98.9891,-98.4226,
2026-09-11,KOSPI,006400,삼성SDI,READY,1013,전기전자,3.6484,23.1188,
2026-09-11,KOSPI,006490,프리티,READY,1020,통신,164.229,713.8617,
2026-09-11,KOSPI,006650,대한유화,READY,1008,화학,11.4141,-17.1686,
2026-09-11,KOSPI,006800,미래에셋증권,READY,1024,증권,-0.5239,-11.0705,
2026-09-11,KOSDAQ,007390,네이처셀,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,007660,이수페타시스,READY,1013,전기전자,10.212,2.9953,
2026-09-11,KOSPI,007810,코리아써키트,READY,1013,전기전자,-28.2016,-49.4994,
2026-09-11,KOSPI,008060,대덕,READY,1021,금융,-11.1666,-24.3959,
2026-09-11,KOSPI,008770,호텔신라,READY,1016,유통,-9.7064,-13.0493,
2026-09-11,KOSPI,008930,한미사이언스,READY,1021,금융,2.923,70.2879,
2026-09-11,KOSPI,009150,삼성전기,READY,1013,전기전자,-4.0238,-8.6469,
2026-09-11,KOSPI,009200,무림페이퍼,READY,1007,종이·목재,-6.7506,-1.5333,
2026-09-11,KOSPI,009420,한올바이오파마,READY,1009,제약,-0.8028,-12.5217,
2026-09-11,KOSPI,009540,HD한국조선해양,READY,1021,금융,-14.1173,-1.1671,
2026-09-11,KOSPI,010120,LS ELECTRIC,READY,1013,전기전자,-14.2199,2.8976,
2026-09-11,KOSPI,010130,고려아연,READY,1011,금속,-2.3368,5.2091,
2026-09-11,KOSPI,010140,삼성중공업,READY,1015,운송장비·부품,4.0467,7.0552,
2026-09-11,KOSDAQ,010170,대한광통신,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,010580,에스엠벡셀,READY,1015,운송장비·부품,69.0428,44.9582,
