stock_code,corp_code,corp_name,modify_date,source,stock_code_candidate_count
000660,00164779,SK하이닉스,20240328,OPENDART_OFFICIAL_DOWNLOAD,1
000670,00141307,영풍,20250331,OPENDART_OFFICIAL_DOWNLOAD,1
000680,00104698,LS네트웍스,20260327,OPENDART_OFFICIAL_DOWNLOAD,2
000680,01933981,비엔케이제3호스팩,20251121,OPENDART_OFFICIAL_DOWNLOAD,2
000700,01921199,에스테크엠,20260427,OPENDART_OFFICIAL_DOWNLOAD,2
000700,00163691,유수홀딩스,20260311,OPENDART_OFFICIAL_DOWNLOAD,2
000710,01935183,삼성스팩11호,20260304,OPENDART_OFFICIAL_DOWNLOAD,1
000720,00164478,현대건설,20260309,OPENDART_OFFICIAL_DOWNLOAD,2
000720,01934935,KB제33호스팩,20251022,OPENDART_OFFICIAL_DOWNLOAD,2
000760,00145686,이화산업,20260319,OPENDART_OFFICIAL_DOWNLOAD,1
000790,00134060,씨앤상선,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
000800,00101257,경남기업,20260322,OPENDART_OFFICIAL_DOWNLOAD,1
000810,00139214,삼성화재해상보험,20240321,OPENDART_OFFICIAL_DOWNLOAD,1
000820,01782183,카나프테라퓨틱스,20260319,OPENDART_OFFICIAL_DOWNLOAD,1
000830,00126229,삼성물산,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
000850,00166519,화천기공,20240322,OPENDART_OFFICIAL_DOWNLOAD,1
000860,00100939,강남제비스코,20260102,OPENDART_OFFICIAL_DOWNLOAD,1
000880,01780608,메쥬,20260326,OPENDART_OFFICIAL_DOWNLOAD,3
000880,00160588,한화,20251217,OPENDART_OFFICIAL_DOWNLOAD,3
000880,01958111,메리츠제1호스팩,20251215,OPENDART_OFFICIAL_DOWNLOAD,3
000890,00123541,보해양조,20260223,OPENDART_OFFICIAL_DOWNLOAD,1
000910,00144252,유니온,20260304,OPENDART_OFFICIAL_DOWNLOAD,2
000910,01945339,신영스팩11호,20251124,OPENDART_OFFICIAL_DOWNLOAD,2
000930,01947072,미래에셋비전스팩8호,20251127,OPENDART_OFFICIAL_DOWNLOAD,1
000950,00147222,전방,20221207,OPENDART_OFFICIAL_DOWNLOAD,1
000960,01946596,미래에셋비전스팩9호,20251201,OPENDART_OFFICIAL_DOWNLOAD,2
000960,01946532,삼성스팩12호,20251128,OPENDART_OFFICIAL_DOWNLOAD,2
000970,01949469,미래에셋비전스팩10호,20251223,OPENDART_OFFICIAL_DOWNLOAD,2
000970,00159573,한국주철관공업,20240401,OPENDART_OFFICIAL_DOWNLOAD,2
000980,01949140,교보19호스팩,20251212,OPENDART_OFFICIAL_DOWNLOAD,1
000990,00160843,DB하이텍,20260304,OPENDART_OFFICIAL_DOWNLOAD,3
000990,01948220,미래에셋비전스팩11호,20251222,OPENDART_OFFICIAL_DOWNLOAD,3
000990,01949584,IBKS제25호스팩,20251219,OPENDART_OFFICIAL_DOWNLOAD,3
001000,00135999,신라섬유,20240502,OPENDART_OFFICIAL_DOWNLOAD,1
001010,01949195,하나36호스팩,20251222,OPENDART_OFFICIAL_DOWNLOAD,1
001020,00134723,페이퍼코리아,20251001,OPENDART_OFFICIAL_DOWNLOAD,1
001040,00148540,CJ,20250806,OPENDART_OFFICIAL_DOWNLOAD,1
001050,01954832,유진스팩12호,20251211,OPENDART_OFFICIAL_DOWNLOAD,1
001060,00149947,JW중외제약,20251202,OPENDART_OFFICIAL_DOWNLOAD,1
001070,00112970,대한방직,20260615,OPENDART_OFFICIAL_DOWNLOAD,1
001080,00120872,만호제강,20260701,OPENDART_OFFICIAL_DOWNLOAD,1
001120,00120076,LX인터내셔널,20260330,OPENDART_OFFICIAL_DOWNLOAD,1
001130,00113243,대한제분,20260330,OPENDART_OFFICIAL_DOWNLOAD,1
001140,00104519,국보,20260127,OPENDART_OFFICIAL_DOWNLOAD,1
001150,01957909,삼성스팩13호,20260121,OPENDART_OFFICIAL_DOWNLOAD,2
001150,00131434,서통,20170630,OPENDART_OFFICIAL_DOWNLOAD,2
001170,01755259,피스피스스튜디오,20260608,OPENDART_OFFICIAL_DOWNLOAD,1
001190,00112068,마이크로닉스,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001200,01965333,삼양바이오팜,20251124,OPENDART_OFFICIAL_DOWNLOAD,2
001200,00131054,유진증권,20230110,OPENDART_OFFICIAL_DOWNLOAD,2
001210,00106395,금호전기,20260306,OPENDART_OFFICIAL_DOWNLOAD,1
001230,00114792,동국홀딩스,20240502,OPENDART_OFFICIAL_DOWNLOAD,1
001250,00138190,GS글로벌,20260327,OPENDART_OFFICIAL_DOWNLOAD,1
001260,00107066,남광토건,20260814,OPENDART_OFFICIAL_DOWNLOAD,2
001260,01965324,삼성에피스홀딩스,20260108,OPENDART_OFFICIAL_DOWNLOAD,2
001270,00123772,부국증권,20260306,OPENDART_OFFICIAL_DOWNLOAD,1
001280,00163178,우리증권,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001290,01963140,신한제18호스팩,20260506,OPENDART_OFFICIAL_DOWNLOAD,2
001290,00112059,상상인증권,20260327,OPENDART_OFFICIAL_DOWNLOAD,2
001300,01963520,신한제17호스팩,20260401,OPENDART_OFFICIAL_DOWNLOAD,3
001300,01965698,엔에이치스팩33호,20260327,OPENDART_OFFICIAL_DOWNLOAD,3
001300,00148328,제일모직,20170630,OPENDART_OFFICIAL_DOWNLOAD,3
001310,01964246,키움히어로제2호스팩,20260423,OPENDART_OFFICIAL_DOWNLOAD,2
001310,00155498,풍림산업,20230221,OPENDART_OFFICIAL_DOWNLOAD,2
001320,01985203,교보20호스팩,20260409,OPENDART_OFFICIAL_DOWNLOAD,1
001340,01976418,대신밸런스제20호스팩,20260605,OPENDART_OFFICIAL_DOWNLOAD,2
001340,00122472,PKC,20260318,OPENDART_OFFICIAL_DOWNLOAD,2
001360,00126414,삼성제약,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
001370,00152914,FnC코오롱,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001380,00152039,SG글로벌,20221128,OPENDART_OFFICIAL_DOWNLOAD,1
001390,00101220,KG케미칼,20230220,OPENDART_OFFICIAL_DOWNLOAD,1
001420,00154055,태원물산,20221209,OPENDART_OFFICIAL_DOWNLOAD,1
001430,00106669,세아베스틸지주,20230330,OPENDART_OFFICIAL_DOWNLOAD,1
001440,00113207,대한전선,20250926,OPENDART_OFFICIAL_DOWNLOAD,1
001450,00164973,현대해상,20250324,OPENDART_OFFICIAL_DOWNLOAD,1
001460,00122579,BYC,20260902,OPENDART_OFFICIAL_DOWNLOAD,1
001470,00125974,삼부토건,20250701,OPENDART_OFFICIAL_DOWNLOAD,1
001490,00151447,천지산업,20260317,OPENDART_OFFICIAL_DOWNLOAD,1
001500,00137997,현대차증권,20240322,OPENDART_OFFICIAL_DOWNLOAD,1
001510,00131850,SK증권,20240326,OPENDART_OFFICIAL_DOWNLOAD,1
001520,00117337,동양,20260331,OPENDART_OFFICIAL_DOWNLOAD,1
001530,00118345,디아이동일,20260327,OPENDART_OFFICIAL_DOWNLOAD,1
001540,00139205,안국약품,20250103,OPENDART_OFFICIAL_DOWNLOAD,1
001550,01947443,해치텍,20260825,OPENDART_OFFICIAL_DOWNLOAD,2
001550,00148948,조비,20221229,OPENDART_OFFICIAL_DOWNLOAD,2
001560,00624244,에이치엘지노믹스,20260724,OPENDART_OFFICIAL_DOWNLOAD,2
001560,00148461,제일연마,20260311,OPENDART_OFFICIAL_DOWNLOAD,2
001570,00106119,금양,20230621,OPENDART_OFFICIAL_DOWNLOAD,1
001580,00135670,신광기업,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001590,00146719,일화모직공업,20210618,OPENDART_OFFICIAL_DOWNLOAD,1
001600,00173397,서광건설산업,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001620,00114765,케이비아이동국실업,20240402,OPENDART_OFFICIAL_DOWNLOAD,1
001630,00149354,종근당홀딩스,20240329,OPENDART_OFFICIAL_DOWNLOAD,1
001640,01987779,한국제16호스팩,20260630,OPENDART_OFFICIAL_DOWNLOAD,1
001650,01989041,메리츠제2호스팩,20260619,OPENDART_OFFICIAL_DOWNLOAD,1
001670,00101275,경남모직,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001680,00121941,대상,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
001720,00136721,신영증권,20260622,OPENDART_OFFICIAL_DOWNLOAD,1
001740,00131780,SK네트웍스,20260312,OPENDART_OFFICIAL_DOWNLOAD,1
001750,00162416,한양증권,20250619,OPENDART_OFFICIAL_DOWNLOAD,1
001770,00137809,SHD,20230130,OPENDART_OFFICIAL_DOWNLOAD,1
001780,00117027,알루코,20240923,OPENDART_OFFICIAL_DOWNLOAD,1
001790,00113234,대한제당,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
001800,00117577,오리온홀딩스,20260609,OPENDART_OFFICIAL_DOWNLOAD,1
001810,00121507,무림SP,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
001820,00129350,삼화콘덴서공업,20211117,OPENDART_OFFICIAL_DOWNLOAD,1
001830,00138491,동부일렉트로닉스,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
001840,00145668,이화공영,20260715,OPENDART_OFFICIAL_DOWNLOAD,1
001880,00128971,디엘건설,20260324,OPENDART_OFFICIAL_DOWNLOAD,1
001890,00141282,아이파크영창,20260417,OPENDART_OFFICIAL_DOWNLOAD,1
001940,00159740,KISCO홀딩스,20260331,OPENDART_OFFICIAL_DOWNLOAD,1
001950,00107923,남한제지,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
001970,00173661,에스지신성건설,20230330,OPENDART_OFFICIAL_DOWNLOAD,1
001980,00113696,대호,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
002000,00159005,생고뱅코리아홀딩스,20250217,OPENDART_OFFICIAL_DOWNLOAD,1
002020,00152862,코오롱,20240329,OPENDART_OFFICIAL_DOWNLOAD,1
002030,01831708,송우인포텍,20260721,OPENDART_OFFICIAL_DOWNLOAD,2
002030,00138701,아세아,20221209,OPENDART_OFFICIAL_DOWNLOAD,2
002070,00107677,비비안,20221207,OPENDART_OFFICIAL_DOWNLOAD,1
002100,00101433,경농,20260311,OPENDART_OFFICIAL_DOWNLOAD,1
002140,00102751,고려산업,20260304,OPENDART_OFFICIAL_DOWNLOAD,1
002150,00114552,도화엔지니어링,20230327,OPENDART_OFFICIAL_DOWNLOAD,1
002170,00127042,SYTS,20260421,OPENDART_OFFICIAL_DOWNLOAD,1
002180,02038566,네오뷰,20260728,OPENDART_OFFICIAL_DOWNLOAD,1
002200,02042949,한화머시너리앤서비스홀딩스,20260831,OPENDART_OFFICIAL_DOWNLOAD,2
002200,00158112,한국수출포장공업,20230210,OPENDART_OFFICIAL_DOWNLOAD,2
002210,00116268,동성제약,20260416,OPENDART_OFFICIAL_DOWNLOAD,1
002220,00163196,한일철강,20221202,OPENDART_OFFICIAL_DOWNLOAD,1
002230,00155638,피에스텍,20240828,OPENDART_OFFICIAL_DOWNLOAD,1
002240,00103006,고려제강,20240401,OPENDART_OFFICIAL_DOWNLOAD,1
002250,00105244,알보젠코리아,20250909,OPENDART_OFFICIAL_DOWNLOAD,1
002270,00120508,롯데푸드,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
002290,00127936,삼일기업공사,20221208,OPENDART_OFFICIAL_DOWNLOAD,1
002300,00159412,한국제지,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
002310,00138729,아세아제지,20221221,OPENDART_OFFICIAL_DOWNLOAD,1
002320,00163512,한진,20250901,OPENDART_OFFICIAL_DOWNLOAD,1
002350,00173874,넥센타이어,20260327,OPENDART_OFFICIAL_DOWNLOAD,1
002360,00136457,SH에너지화학,20260618,OPENDART_OFFICIAL_DOWNLOAD,1
002380,00105271,케이씨씨,20240703,OPENDART_OFFICIAL_DOWNLOAD,1
002390,00161046,한독,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
002410,00122694,범양건영,20230328,OPENDART_OFFICIAL_DOWNLOAD,1
002420,00133618,우양피앤엘,20260901,OPENDART_OFFICIAL_DOWNLOAD,1
002450,00127857,삼익악기,20260129,OPENDART_OFFICIAL_DOWNLOAD,1
002460,00174527,HS화성,20260227,OPENDART_OFFICIAL_DOWNLOAD,1
002480,00122728,범양사,20260330,OPENDART_OFFICIAL_DOWNLOAD,1
002530,00122922,벽산건설,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
002540,00103325,고제,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
002550,00120216,KB손해보험,20240221,OPENDART_OFFICIAL_DOWNLOAD,1
002600,00149345,조흥,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
002620,00148443,제일파마홀딩스,20220222,OPENDART_OFFICIAL_DOWNLOAD,1
002630,00141626,오리엔트바이오,20260330,OPENDART_OFFICIAL_DOWNLOAD,1
002670,00115472,미주제강,20260326,OPENDART_OFFICIAL_DOWNLOAD,1
002680,00140566,한탑,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
002690,00118451,동일제강,20260331,OPENDART_OFFICIAL_DOWNLOAD,1
002700,00173698,신일전자,20240904,OPENDART_OFFICIAL_DOWNLOAD,1
002710,00117300,TCC스틸,20260327,OPENDART_OFFICIAL_DOWNLOAD,1
002720,00104722,국제약품,20260325,OPENDART_OFFICIAL_DOWNLOAD,1
002760,00123107,보락,20221130,OPENDART_OFFICIAL_DOWNLOAD,1
002780,00150828,진흥기업,20240328,OPENDART_OFFICIAL_DOWNLOAD,1
002790,00154462,아모레퍼시픽홀딩스,20250425,OPENDART_OFFICIAL_DOWNLOAD,1
002800,00136448,신신제약,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
002810,00127167,삼영무역,20240531,OPENDART_OFFICIAL_DOWNLOAD,1
002820,00132211,SUN&L,20260504,OPENDART_OFFICIAL_DOWNLOAD,1
002840,00121932,미원상사,20260706,OPENDART_OFFICIAL_DOWNLOAD,1
002850,00141334,영풍산업,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
002860,00130897,하나은행,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
002870,00137368,신풍,20241008,OPENDART_OFFICIAL_DOWNLOAD,1
002880,00149804,디와이에이,20260818,OPENDART_OFFICIAL_DOWNLOAD,1
002900,00117230,TYM,20260402,OPENDART_OFFICIAL_DOWNLOAD,1
002920,00174004,유성기업,20230215,OPENDART_OFFICIAL_DOWNLOAD,1
002930,00125406,삼도물산,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
002950,00115852,두산건설,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
002960,00158149,한국쉘석유,20241125,OPENDART_OFFICIAL_DOWNLOAD,1
002990,00106313,금호건설,20231219,OPENDART_OFFICIAL_DOWNLOAD,1
003000,00123718,부광약품,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
003010,00165343,혜인,20230221,OPENDART_OFFICIAL_DOWNLOAD,1
003020,00107446,남양,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003030,00124197,세아제강지주,20240327,OPENDART_OFFICIAL_DOWNLOAD,1
003040,00163044,한일약품공업,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
003050,00110547,링세오코리아,20250224,OPENDART_OFFICIAL_DOWNLOAD,1
003060,00101044,에이프로젠바이오로직스,20250901,OPENDART_OFFICIAL_DOWNLOAD,1
003070,00152880,코오롱글로벌,20260401,OPENDART_OFFICIAL_DOWNLOAD,1
003080,00132725,SB성보,20250422,OPENDART_OFFICIAL_DOWNLOAD,1
003090,00111810,대웅,20241025,OPENDART_OFFICIAL_DOWNLOAD,1
003100,00131896,선광,20260327,OPENDART_OFFICIAL_DOWNLOAD,1
