name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
Cerebras Systems Inc,CBRS,US,USD,NASDAQ,OK,2026-08-26,182.15,162.42,178.05,178.05,212.22,155.99,13.67,6.5,1.8,160.81,269.39,168.52,266.9,67.52,19.65,6620400.0,1205905820.0,1696527134.0,False,,,,,,,64,yfinance_close,
DB하이텍,000990,KR,KRW,KOSPI,OK,2026-08-27,95300.0,79100.0,93400.0,93400.0,109600.0,75900.0,6480.0,5.22,1.8,68900.0,230500.0,71200.0,202000.0,234.54,16.34,163109.0,15544287700.0,35857371400.0,False,,,,,,,64,pykrx_adjusted,
HD현대일렉트릭,267260,KR,KRW,KOSPI,OK,2026-08-27,800000.0,708000.0,789000.0,789000.0,881000.0,689000.0,36900.0,4.28,2.1,538000.0,1213000.0,583000.0,1194000.0,125.46,38.81,138968.0,111174400000.0,102011401400.0,False,,,,,,,64,pykrx_adjusted,
HD현대중공업,329180,KR,KRW,KOSPI,OK,2026-08-27,467000.0,425000.0,462000.0,462000.0,504000.0,416500.0,16790.0,3.01,2.1,411500.0,765000.0,434000.0,744000.0,85.91,15.7,106434.0,49704678000.0,110112823275.0,False,,,,,,,64,pykrx_adjusted,
Intel,INTC,US,USD,NASDAQ,OK,2026-08-26,88.24,82.61,86.91,86.91,98.02,79.34,4.45,4.06,1.9,81.79,142.35,81.88,140.94,74.04,10.65,74649300.0,6587054073.0,10101080880.0,False,,,,,,,64,yfinance_close,
LG에너지솔루션,373220,KR,KRW,KOSPI,OK,2026-08-27,369000.0,335500.0,365000.0,365000.0,398500.0,328500.0,13470.0,3.73,1.8,290500.0,497500.0,300500.0,458000.0,71.26,37.92,256149.0,94518981000.0,103312458750.0,False,,,,,,,64,pykrx_adjusted,
LG이노텍,011070,KR,KRW,KOSPI,OK,2026-08-27,595000.0,472500.0,580000.0,580000.0,703000.0,448500.0,48900.0,5.78,2.6,416000.0,1788000.0,424000.0,1530000.0,329.81,13.05,86852.0,51676940000.0,140999018950.0,False,,,,,,,64,pykrx_adjusted,
LG전자,066570,KR,KRW,KOSPI,OK,2026-08-27,198700.0,169300.0,195200.0,195200.0,224500.0,163400.0,11770.0,5.19,1.7,141900.0,438000.0,148000.0,392500.0,208.67,19.18,328443.0,65261624100.0,210694688690.0,False,,,,,,,64,pykrx_adjusted,
LG전자우,066575,KR,KRW,KOSPI,OK,2026-08-27,72300.0,63100.0,71200.0,71200.0,80400.0,61200.0,3685.0,4.75,2.1,50000.0,138400.0,53000.0,124400.0,176.8,25.23,37020.0,2676546000.0,5811305460.0,True,,,,,,,64,pykrx_adjusted,
LG화학,051910,KR,KRW,KOSPI,OK,2026-08-27,273000.0,248500.0,270000.0,270000.0,294500.0,244000.0,9750.0,3.37,2.0,224000.0,381000.0,232500.0,367500.0,70.09,31.21,101972.0,27838356000.0,44869131300.0,False,,,,,,,64,pykrx_adjusted,
LS,006260,KR,KRW,KOSPI,OK,2026-08-27,314000.0,270500.0,309000.0,309000.0,352000.0,262000.0,17300.0,5.12,2.1,221000.0,560000.0,223500.0,508000.0,153.39,27.43,124264.0,39018896000.0,56713329575.0,False,,,,,,,64,pykrx_adjusted,
LS ELECTRIC,010120,KR,KRW,KOSPI,OK,2026-08-27,217000.0,186800.0,213500.0,213500.0,243500.0,180700.0,12100.0,5.73,2.4,148000.0,282500.0,150300.0,267000.0,90.88,51.3,783606.0,170042502000.0,139355264640.0,False,,,,,,,64,pykrx_adjusted,
LS마린솔루션,060370,KR,KRW,KOSDAQ,OK,2026-08-27,33900.0,30750.0,33500.0,33500.0,33400.0,30100.0,1266.0,4.47,2.6,22450.0,36500.0,23050.0,34850.0,62.58,81.49,62936.0,2133530400.0,3450753548.0,True,,,,,,,64,pykrx_adjusted,
NVIDIA,NVDA,US,USD,NASDAQ,OK,2026-08-26,209.66,199.17,207.56,207.56,218.89,197.07,4.2,2.02,2.0,189.8,232.28,190.01,225.3,22.38,46.75,175233600.0,36739477218.0,24983245543.0,False,,,,,,,64,yfinance_close,
SK,034730,KR,KRW,KOSPI,OK,2026-08-27,558000.0,484000.0,549000.0,549000.0,623000.0,469000.0,29700.0,4.75,1.9,450000.0,883000.0,468500.0,858000.0,96.22,24.94,55380.0,30902040000.0,93890502200.0,False,,,,,,,64,pykrx_adjusted,
SK스퀘어,402340,KR,KRW,KOSPI,OK,2026-08-27,1067000.0,863000.0,1043000.0,1043000.0,1246000.0,822000.0,81500.0,6.38,2.1,768000.0,2189000.0,799000.0,1970000.0,185.03,21.04,280425.0,299213475000.0,718457660650.0,False,,,,,,,64,pykrx_adjusted,
SK이노베이션,096770,KR,KRW,KOSPI,OK,2026-08-27,111200.0,101000.0,110000.0,110000.0,120200.0,99000.0,4080.0,3.69,1.9,87700.0,135800.0,89500.0,132200.0,54.85,48.96,959180.0,106708775000.0,108180312820.0,False,,,,,,,64,pykrx_adjusted,
SK하이닉스,000660,KR,KRW,KOSPI,OK,2026-08-27,1738000.0,1439000.0,1702000.0,1702000.0,2001000.0,1379000.0,119700.0,5.96,2.0,1246000.0,2987000.0,1322000.0,2919000.0,139.73,28.26,2308014.0,4011328332000.0,7766985707550.0,False,,,,,,,64,pykrx_adjusted,
대한전선,001440,KR,KRW,KOSPI,OK,2026-08-27,29800.0,25900.0,29350.0,29350.0,33200.0,25150.0,1556.0,4.92,2.2,20550.0,54500.0,20800.0,49550.0,165.21,27.25,1723625.0,51364025000.0,52380483868.0,False,,,,,,,64,pykrx_adjusted,
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-08-27,10860.0,9540.0,10700.0,10700.0,12020.0,9280.0,527.0,4.35,2.1,7850.0,22050.0,8610.0,19860.0,180.89,21.2,52355.0,568575300.0,681808260.0,True,,,,,,,64,pykrx_adjusted,
두산로보틱스,454910,KR,KRW,KOSPI,OK,2026-08-27,72900.0,61100.0,71500.0,71500.0,83300.0,58800.0,4715.0,5.09,2.3,54200.0,170000.0,55400.0,166700.0,213.65,16.15,280920.0,20479068000.0,35214912165.0,False,,,,,,,64,pykrx_adjusted,
두산에너빌리티,034020,KR,KRW,KOSPI,OK,2026-08-27,86800.0,79000.0,85900.0,85900.0,93600.0,77500.0,3105.0,3.83,2.2,57000.0,114800.0,60200.0,108500.0,101.4,51.56,2889693.0,250825352400.0,194649032640.0,False,,,,,,,64,pykrx_adjusted,
미래에셋벤처투자,100790,KR,KRW,KOSDAQ,OK,2026-08-27,16210.0,12410.0,15750.0,15750.0,19560.0,11640.0,1522.0,6.38,1.9,10000.0,62100.0,10530.0,56200.0,521.0,11.92,693701.0,11244893210.0,19479815271.0,False,,,,,,,64,pykrx_adjusted,
미래에셋증권,006800,KR,KRW,KOSPI,OK,2026-08-27,35850.0,31850.0,35350.0,35350.0,39350.0,31050.0,1599.0,3.84,1.7,28900.0,69100.0,30200.0,64500.0,139.1,17.29,764856.0,27420087600.0,54888178810.0,False,,,,,,,64,pykrx_adjusted,
산일전기,062040,KR,KRW,KOSPI,OK,2026-08-27,197200.0,173200.0,194300.0,194300.0,218500.0,168400.0,9600.0,5.03,2.6,115800.0,279000.0,120800.0,270000.0,140.93,49.88,686126.0,135304047200.0,46493298495.0,False,,,,,,,64,pykrx_adjusted,
삼성SDI,006400,KR,KRW,KOSPI,OK,2026-08-27,567000.0,511000.0,560000.0,560000.0,616000.0,500000.0,22400.0,4.63,1.6,341500.0,707000.0,358500.0,688000.0,107.03,61.7,743163.0,421373421000.0,213117251775.0,False,,,,,,,64,pykrx_adjusted,
삼성생명,032830,KR,KRW,KOSPI,OK,2026-08-27,304500.0,257500.0,299000.0,299000.0,346000.0,248000.0,18870.0,5.32,2.2,246000.0,516000.0,264000.0,497000.0,109.96,21.63,193380.0,58884210000.0,154686840900.0,False,,,,,,,64,pykrx_adjusted,
삼성전기,009150,KR,KRW,KOSPI,OK,2026-08-27,1379000.0,1125000.0,1348000.0,1348000.0,1603000.0,1074000.0,101800.0,6.53,1.9,865000.0,2417000.0,879000.0,2270000.0,179.42,33.12,411414.0,567339906000.0,1062286165000.0,False,,,,,,,64,pykrx_adjusted,
삼성전자,005930,KR,KRW,KOSPI,OK,2026-08-27,266000.0,228000.0,261500.0,261500.0,299000.0,220500.0,15110.0,5.29,2.0,189200.0,374500.0,207000.0,362500.0,97.94,41.45,11655760.0,3100432160000.0,6799522397600.0,False,,,,,,,64,pykrx_adjusted,
삼성전자우,005935,KR,KRW,KOSPI,OK,2026-08-27,194300.0,169700.0,191400.0,191400.0,216000.0,164800.0,9820.0,5.1,2.0,139600.0,243500.0,151000.0,235000.0,74.43,52.65,2893812.0,562267671600.0,833578566175.0,False,,,,,,,64,pykrx_adjusted,
삼성중공업,010140,KR,KRW,KOSPI,OK,2026-08-27,21000.0,19180.0,20800.0,20800.0,22600.0,18820.0,728.0,3.08,1.8,18440.0,30250.0,19400.0,29450.0,64.05,21.68,1006131.0,21128751000.0,60420444830.0,False,,,,,,,64,pykrx_adjusted,
삼양식품,003230,KR,KRW,KOSPI,OK,2026-08-27,1480000.0,1394000.0,1465000.0,1465000.0,1420000.0,1377000.0,34450.0,2.91,1.8,1011000.0,1536000.0,1053000.0,1507000.0,51.93,89.33,30294.0,44835120000.0,84342869400.0,False,,,,,,,64,pykrx_adjusted,
삼화콘덴서,001820,KR,KRW,KOSPI,OK,2026-08-27,108300.0,87400.0,105800.0,105800.0,126700.0,83200.0,8360.0,7.44,2.3,56500.0,196800.0,57800.0,190100.0,248.32,36.92,500871.0,54244329300.0,78485650370.0,False,,,,,,,64,pykrx_adjusted,
셀트리온,068270,KR,KRW,KOSPI,OK,2026-08-27,191200.0,181800.0,189300.0,189300.0,199400.0,180000.0,3745.0,2.1,2.1,158500.0,212000.0,159400.0,210500.0,33.75,61.12,174873.0,33435717600.0,120767484915.0,False,,,,,,,64,pykrx_adjusted,
신세계,004170,KR,KRW,KOSPI,OK,2026-08-27,417000.0,390000.0,409500.0,409500.0,471500.0,374500.0,24700.0,4.32,1.9,386000.0,792000.0,395000.0,776000.0,105.18,7.64,43267.0,18042339000.0,39198942800.0,False,,,,,,,64,pykrx_adjusted,
주성엔지니어링,036930,KR,KRW,KOSDAQ,OK,2026-08-27,177200.0,143300.0,173100.0,173100.0,207000.0,136500.0,13560.0,7.62,2.0,96800.0,283000.0,98300.0,250500.0,192.36,43.18,651772.0,115493998400.0,224525171205.0,False,,,,,,,64,pykrx_adjusted,
차백신연구소,261780,KR,KRW,KOSDAQ,OK,2026-08-27,2440.0,2145.0,2405.0,2405.0,2700.0,2090.0,117.0,4.55,2.9,1824.0,4375.0,1857.0,3960.0,139.86,24.15,68835.0,167957400.0,662895465.0,True,,,,,,,64,pykrx_adjusted,
코리아써키트,007810,KR,KRW,KOSPI,OK,2026-08-27,61500.0,48550.0,59900.0,59900.0,72900.0,45950.0,5180.0,6.26,1.8,37600.0,148300.0,38500.0,141900.0,294.41,21.59,264802.0,16285323000.0,22515228355.0,False,,,,,,,64,pykrx_adjusted,
