ticker,name,market,basis_date,score_status,score_total,score_band,score_financial,score_valuation,score_growth_value,score_price_position,score_liquidity_elasticity,score_supply_disclosure,missing_component_count,missing_components,warning_reasons,raw_source_mode,financial_sector,component_points_json
013360,일성건설,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":0.0,""영업이익 성장과 흑자 여부"":3.0,""순이익 흐름"":2.0,""영업이익률"":1.0,""ROE"":1.0,""부채비율"":0.5,""영업현금흐름"":1.5,""PER"":2.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.0,""최근 3년 영업이익 성장률"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":5.0,""과열·급락 위험"":0.5,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
013570,디와이,KOSPI,2026-09-11,LIMITED,,,,,,,,,1,수급·공시부담:SUPPLY_STATUS_LIMITED,SECTOR_STRUCTURAL_NONCOMPARABILITY,DIRECT,true,"{""매출 성장과 안정성"":4.0,""영업이익 성장과 흑자 여부"":4.0,""순이익 흐름"":3.0,""영업이익률"":2.0,""ROE"":2.0,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":8.0,""PBR"":5.0,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":2.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":4.0}"
014160,대영포장,KOSPI,2026-09-11,LIMITED,,,,,,,,,5,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":2.0,""순이익 흐름"":1.5,""영업이익률"":1.0,""ROE"":0.0,""부채비율"":3.0,""영업현금흐름"":1.5,""PBR"":3.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":4.0}"
017670,SK텔레콤,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":5.0,""순이익 흐름"":3.0,""영업이익률"":3.0,""ROE"":3.0,""부채비율"":2.0,""영업현금흐름"":4.0,""PER"":6.5,""PBR"":3.5,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":2.0,""20일 평균 거래대금과 거래량"":5.5,""하루평균 절대등락률"":4.0}"
018260,삼성에스디에스,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":3.0,""영업이익 성장과 흑자 여부"":2.0,""순이익 흐름"":2.0,""영업이익률"":2.0,""ROE"":2.0,""부채비율"":3.0,""영업현금흐름"":2.5,""PER"":2.0,""PBR"":3.5,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":2.0,""최근 분기 실적 가속·둔화"":1.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":1.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":0.5,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0}"
020000,한섬,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.0,""영업이익 성장과 흑자 여부"":7.0,""순이익 흐름"":3.0,""영업이익률"":2.0,""ROE"":1.0,""부채비율"":3.0,""영업현금흐름"":2.5,""PER"":8.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.0,""기간 저가·고가 대비 현재위치"":3.5,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":2.5,""하루평균 절대등락률"":2.5}"
020560,아시아나항공,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":1.0,""영업이익 성장과 흑자 여부"":0.5,""순이익 흐름"":0.5,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":0.0,""영업현금흐름"":1.5,""PBR"":1.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.0,""최근 분기 실적 가속·둔화"":0.0,""흑자 지속성과 이익 안정성"":0.5,""순현금·기업가치 상태"":2.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":1.5,""하루평균 절대등락률"":4.0}"
021240,코웨이,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":5.0,""순이익 흐름"":3.0,""영업이익률"":3.5,""ROE"":4.0,""부채비율"":2.0,""영업현금흐름"":1.5,""PER"":7.5,""PBR"":3.5,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":2.0,""최근 분기 실적 가속·둔화"":1.5,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.5,""1개월 가격흐름"":2.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":4.5,""하루평균 절대등락률"":4.0}"
022100,포스코DX,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":0.0,""영업이익 성장과 흑자 여부"":2.0,""순이익 흐름"":1.5,""영업이익률"":1.0,""ROE"":2.0,""부채비율"":3.0,""영업현금흐름"":3.5,""PER"":1.0,""PBR"":1.0,""PSR 또는 대체 가치지표"":0.5,""최근 3년 매출 성장률"":0.0,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":2.5,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":3.0,""3개월 가격흐름"":0.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":4.5,""하루평균 절대등락률"":4.0}"
023960,에쓰씨엔지니어링,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":0.0,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":2.0,""영업현금흐름"":1.5,""PBR"":3.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":0.0,""최근 분기 실적 가속·둔화"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":2.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
