rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,low_1m,high_1m,range_1m_pct,position_in_1m_range_pct,current_position_period,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,data_rows_1m,one_month_market_score,one_month_market_reason,score,reason,legacy_market_score,legacy_market_reason
1,✅,278470,에이피알,KOSPI,2026-07-21,365000,"346,000원~361,500원","392,500원~414,500원","약 ±13,800원 내외 (±3.46%)",1.5,342500,433500,26.57,24.73,1개월,-2.14,-10.98,131440,104807939252,False,False,21,98.0,1개월 반등초입 24.7%; 1개월 흐름 양호 -2.1%; 거래 매우활발; 탄력 높음 3.46%; 1개월 변동폭 적정 26.6%; 대형주 안정성,98.0,1개월 반등초입 24.7%; 1개월 흐름 양호 -2.1%; 거래 매우활발; 탄력 높음 3.46%; 1개월 변동폭 적정 26.6%; 대형주 안정성,98.0,1개월 반등초입 24.7%; 1개월 흐름 양호 -2.1%; 거래 매우활발; 탄력 높음 3.46%; 1개월 변동폭 적정 26.6%; 대형주 안정성
2,✅,105560,KB금융,KOSPI,2026-07-21,174000,"166,300원~172,300원","181,000원~186,700원","약 ±3,515원 내외 (±2.16%)",2.2,145000,194500,34.14,58.59,1개월,10.83,8.48,1022673,282954506702,False,False,21,96.0,1개월 중간권 58.6%; 1개월 흐름 양호 10.8%; 거래 매우활발; 탄력 보통 2.16%; 1개월 변동폭 적정 34.1%; 대형주 안정성,96.0,1개월 중간권 58.6%; 1개월 흐름 양호 10.8%; 거래 매우활발; 탄력 보통 2.16%; 1개월 변동폭 적정 34.1%; 대형주 안정성,96.0,1개월 중간권 58.6%; 1개월 흐름 양호 10.8%; 거래 매우활발; 탄력 보통 2.16%; 1개월 변동폭 적정 34.1%; 대형주 안정성
3,✅,055550,신한지주,KOSPI,2026-07-21,104700,"100,000원~103,700원","108,000원~111,400원","약 ±2,120원 내외 (±2.12%)",1.9,89400,113300,26.73,64.02,1개월,7.38,4.91,1095045,152511985415,False,False,21,96.0,1개월 중간권 64.0%; 1개월 흐름 양호 7.4%; 거래 매우활발; 탄력 보통 2.12%; 1개월 변동폭 적정 26.7%; 대형주 안정성,96.0,1개월 중간권 64.0%; 1개월 흐름 양호 7.4%; 거래 매우활발; 탄력 보통 2.12%; 1개월 변동폭 적정 26.7%; 대형주 안정성,96.0,1개월 중간권 64.0%; 1개월 흐름 양호 7.4%; 거래 매우활발; 탄력 보통 2.12%; 1개월 변동폭 적정 26.7%; 대형주 안정성
4,✅,068270,셀트리온,KOSPI,2026-07-21,171600,"162,500원~169,900원","179,900원~185,700원","약 ±4,145원 내외 (±2.29%)",1.8,159200,188000,18.09,43.06,1개월,1.84,-15.47,456723,107346417540,False,False,21,96.0,1개월 중간권 43.1%; 1개월 흐름 양호 1.8%; 거래 매우활발; 탄력 보통 2.29%; 1개월 변동폭 적정 18.1%; 대형주 안정성,96.0,1개월 중간권 43.1%; 1개월 흐름 양호 1.8%; 거래 매우활발; 탄력 보통 2.29%; 1개월 변동폭 적정 18.1%; 대형주 안정성,96.0,1개월 중간권 43.1%; 1개월 흐름 양호 1.8%; 거래 매우활발; 탄력 보통 2.29%; 1개월 변동폭 적정 18.1%; 대형주 안정성
5,✅,316140,우리금융지주,KOSPI,2026-07-21,30500,"29,200원~30,200원","31,650원~32,600원",약 ±585원 내외 (±1.88%),2.4,27500,32900,19.64,55.56,1개월,2.18,-14.8,1955199,68605686731,False,False,21,93.0,1개월 중간권 55.6%; 1개월 흐름 양호 2.2%; 거래 활발; 탄력 보통 1.88%; 1개월 변동폭 적정 19.6%; 대형주 안정성,93.0,1개월 중간권 55.6%; 1개월 흐름 양호 2.2%; 거래 활발; 탄력 보통 1.88%; 1개월 변동폭 적정 19.6%; 대형주 안정성,93.0,1개월 중간권 55.6%; 1개월 흐름 양호 2.2%; 거래 활발; 탄력 보통 1.88%; 1개월 변동폭 적정 19.6%; 대형주 안정성
6,✅,003230,삼양식품,KOSPI,2026-07-21,1117000,"1,045,000원~1,106,000원","1,182,000원~1,227,000원","약 ±32,600원 내외 (±2.71%)",2.1,1011000,1246000,23.24,45.11,1개월,4.39,-17.81,68449,59595764075,False,False,21,93.0,1개월 중간권 45.1%; 1개월 흐름 양호 4.4%; 거래 활발; 탄력 보통 2.71%; 1개월 변동폭 적정 23.2%; 대형주 안정성,93.0,1개월 중간권 45.1%; 1개월 흐름 양호 4.4%; 거래 활발; 탄력 보통 2.71%; 1개월 변동폭 적정 23.2%; 대형주 안정성,93.0,1개월 중간권 45.1%; 1개월 흐름 양호 4.4%; 거래 활발; 탄력 보통 2.71%; 1개월 변동폭 적정 23.2%; 대형주 안정성
7,✅,033780,KT&G,KOSPI,2026-07-21,178200,"171,200원~176,400원","183,500원~189,100원","약 ±3,190원 내외 (±1.79%)",1.8,164000,187000,14.02,61.74,1개월,1.89,3.01,174618,48272498722,False,False,21,93.0,1개월 중간권 61.7%; 1개월 흐름 양호 1.9%; 거래 활발; 탄력 보통 1.79%; 1개월 변동폭 적정 14.0%; 대형주 안정성,93.0,1개월 중간권 61.7%; 1개월 흐름 양호 1.9%; 거래 활발; 탄력 보통 1.79%; 1개월 변동폭 적정 14.0%; 대형주 안정성,93.0,1개월 중간권 61.7%; 1개월 흐름 양호 1.9%; 거래 활발; 탄력 보통 1.79%; 1개월 변동폭 적정 14.0%; 대형주 안정성
8,🟡,030200,KT,KOSPI,2026-07-21,52700,"51,200원~52,200원","54,700원~56,300원",약 ±990원 내외 (±1.75%),2.1,50700,58000,14.4,27.4,1개월,0.76,-15.95,277271,20782812942,False,False,21,92.0,1개월 반등초입 27.4%; 1개월 흐름 양호 0.8%; 거래 보통; 탄력 보통 1.75%; 1개월 변동폭 적정 14.4%; 대형주 안정성,92.0,1개월 반등초입 27.4%; 1개월 흐름 양호 0.8%; 거래 보통; 탄력 보통 1.75%; 1개월 변동폭 적정 14.4%; 대형주 안정성,92.0,1개월 반등초입 27.4%; 1개월 흐름 양호 0.8%; 거래 보통; 탄력 보통 1.75%; 1개월 변동폭 적정 14.4%; 대형주 안정성
9,🟡,271560,오리온,KOSPI,2026-07-21,128000,"122,400원~126,700원","133,000원~137,100원","약 ±2,525원 내외 (±1.87%)",1.8,120300,145300,20.78,30.8,1개월,-1.61,-5.47,100046,16289117415,False,False,21,92.0,1개월 반등초입 30.8%; 1개월 흐름 양호 -1.6%; 거래 보통; 탄력 보통 1.87%; 1개월 변동폭 적정 20.8%; 대형주 안정성,92.0,1개월 반등초입 30.8%; 1개월 흐름 양호 -1.6%; 거래 보통; 탄력 보통 1.87%; 1개월 변동폭 적정 20.8%; 대형주 안정성,92.0,1개월 반등초입 30.8%; 1개월 흐름 양호 -1.6%; 거래 보통; 탄력 보통 1.87%; 1개월 변동폭 적정 20.8%; 대형주 안정성
10,🟡,006280,녹십자,KOSPI,2026-07-21,118600,"117,100원~117,400원","124,600원~128,400원","약 ±3,015원 내외 (±2.32%)",2.1,115900,128800,11.13,20.93,1개월,-2.39,-17.64,66366,5628512122,False,False,21,91.0,1개월 반등초입 20.9%; 1개월 흐름 양호 -2.4%; 거래 보통; 탄력 보통 2.32%; 1개월 변동폭 적정 11.1%,91.0,1개월 반등초입 20.9%; 1개월 흐름 양호 -2.4%; 거래 보통; 탄력 보통 2.32%; 1개월 변동폭 적정 11.1%,91.0,1개월 반등초입 20.9%; 1개월 흐름 양호 -2.4%; 거래 보통; 탄력 보통 2.32%; 1개월 변동폭 적정 11.1%
