ticker,name,source_mode,source_ticker,source_corp_code,source_fs_div,account_id,account_nm,operating_cash_flow_annual,source_status,inheritance_evidence,note
003220,대원제약,CURRENT_FINANCIAL_CORP_IDENTITY,003220,00111999,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,42313124261.0,READY,,V8.13.2 current-universe official exact OCF
003230,삼양식품,DIRECT_EXACT_IFRS,003230,00126955,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,309287213625.0,READY,,
003470,유안타증권,CURRENT_FINANCIAL_CORP_IDENTITY,003470,00117601,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,Ⅰ. 영업활동순현금흐름,-915381873000.0,READY,,V8.13.2 current-universe official exact OCF
003490,대한항공,DIRECT_EXACT_IFRS,003490,00113526,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,4075191178550.0,READY,,
003540,대신증권,CURRENT_FINANCIAL_CORP_IDENTITY,003540,00110893,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,-3223886096000.0,READY,,V8.13.2 current-universe official exact OCF
003550,LG,DIRECT_EXACT_IFRS,003550,00120021,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,1015114000000.0,READY,,
003620,KG모빌리티,CURRENT_FINANCIAL_CORP_IDENTITY,003620,00138242,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,117292411520.0,READY,,V8.13.2 current-universe official exact OCF
004000,롯데정밀화학,CURRENT_FINANCIAL_CORP_IDENTITY,004000,00157681,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,300890349404.0,READY,,V8.13.2 current-universe official exact OCF
004090,한국석유,CURRENT_FINANCIAL_CORP_IDENTITY,004090,00157991,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,6570319290.0,READY,,V8.13.2 current-universe official exact OCF
004370,농심,DIRECT_EXACT_IFRS,004370,00108241,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,268700833743.0,READY,,
004490,세방전지,CURRENT_FINANCIAL_CORP_IDENTITY,004490,00133858,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,157270980611.0,READY,,V8.13.2 current-universe official exact OCF
005300,롯데칠성,CURRENT_FINANCIAL_CORP_IDENTITY,005300,00120571,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,353618655562.0,READY,,V8.13.2 current-universe official exact OCF
005440,현대지에프홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,005440,00105280,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,404603485000.0,READY,,V8.13.2 current-universe official exact OCF
005490,POSCO홀딩스,DIRECT_EXACT_IFRS,005490,00155319,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,4571910292218.0,READY,,
005850,에스엘,DIRECT_EXACT_IFRS_V8190A,005850,00125521,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,508540930109.0,READY,,V8.19.0A audited exact annual OCF
005930,삼성전자,DIRECT_EXACT_IFRS,005930,00126380,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,85315148000000.0,READY,,
006110,삼아알미늄,DIRECT_EXACT_IFRS_V8190A,006110,00126779,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-4973559699.0,READY,,V8.19.0A audited exact annual OCF
006125,SK디스커버리우,PREFERRED_INHERIT_EXACT_COMMON,006120,00131832,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동 현금흐름,660830683509.0,READY,PREFERRED_INHERIT_DIRECT_NARROW:EXACT_COMMON_NAME,V8.13.2 current-universe official exact OCF
006370,대구백화점,DIRECT_EXACT_IFRS,006370,00108977,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-26778767022.0,READY,,
006400,삼성SDI,CURRENT_FINANCIAL_CORP_IDENTITY,006400,00126362,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,792385760879.0,READY,,V8.13.2 current-universe official exact OCF
006840,AK홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,006840,00125080,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,46396810566.0,READY,,V8.13.2 current-universe official exact OCF
006880,신송홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,006880,00136402,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-8942057420.0,READY,,V8.13.2 current-universe official exact OCF
007070,GS리테일,CURRENT_FINANCIAL_CORP_IDENTITY,007070,00140177,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,938584394003.0,READY,,V8.13.2 current-universe official exact OCF
007120,미래아이앤지,CURRENT_DART_STOCK_CODE_EXACT_NAME,007120,00104786,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동 현금흐름,7263225072.0,READY,,V8.13.2 current-universe official exact OCF
007310,오뚜기,CURRENT_FINANCIAL_CORP_IDENTITY,007310,00141529,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,218874761016.0,READY,,V8.13.2 current-universe official exact OCF
007540,샘표,CURRENT_FINANCIAL_CORP_IDENTITY,007540,00130091,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,61795520420.0,READY,,V8.13.2 current-universe official exact OCF
007690,국도화학,DIRECT_EXACT_IFRS_V8130,007690,00104388,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,9036624024.0,READY,,V8.13.0 audited exact annual OCF
008930,한미사이언스,DIRECT_EXACT_IFRS,008930,00161426,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,47658093135.0,READY,,
009770,삼정펄프,CURRENT_DART_STOCK_CODE_EXACT_NAME,009770,00128227,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,5813567291.0,READY,,V8.13.2 current-universe official exact OCF
010130,고려아연,DIRECT_EXACT_IFRS,010130,00102858,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-628210721953.0,READY,,
010660,화천기계,CURRENT_FINANCIAL_CORP_IDENTITY,010660,00166500,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-1839510342.0,READY,,V8.13.2 current-universe official exact OCF
011155,CJ씨푸드1우,PREFERRED_INHERIT_EXACT_COMMON,011150,00129013,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,1957670478.0,READY,PREFERRED_INHERIT_DIRECT_NARROW:EXACT_COMMON_NAME,V8.13.2 current-universe official exact OCF
011210,현대위아,CURRENT_FINANCIAL_CORP_IDENTITY,011210,00106623,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,404129000000.0,READY,,V8.13.2 current-universe official exact OCF
011280,태림포장,CURRENT_FINANCIAL_CORP_IDENTITY,011280,00153524,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-33133149000.0,READY,,V8.13.2 current-universe official exact OCF
011300,우성머티리얼스,CURRENT_DART_STOCK_CODE_EXACT_NAME,011300,00132868,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,1133586098.0,READY,,V8.13.2 current-universe official exact OCF
012330,현대모비스,CURRENT_FINANCIAL_CORP_IDENTITY,012330,00164788,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,4472515000000.0,READY,,V8.13.2 current-universe official exact OCF
012450,한화에어로스페이스,DIRECT_EXACT_IFRS,012450,00126566,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,4049804576000.0,READY,,
013870,지엠비코리아,DIRECT_EXACT_IFRS_V8190A,013870,00156354,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,7097456491.0,READY,,V8.19.0A audited exact annual OCF
014710,사조씨푸드,DIRECT_EXACT_IFRS_V8190A,014710,00124780,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-34381798575.0,READY,,V8.19.0A audited exact annual OCF
014830,유니드,CURRENT_FINANCIAL_CORP_IDENTITY,014830,00159786,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,89480595289.0,READY,,V8.13.2 current-universe official exact OCF
