rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,low_1m,high_1m,range_1m_pct,position_in_1m_range_pct,current_position_period,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,data_rows_1m,one_month_market_score,one_month_market_reason,score,reason,legacy_market_score,legacy_market_reason
1,✅,257720,실리콘투,KOSDAQ,2026-09-14,44850,"41,650원~44,400원","47,750원~50,100원","약 ±1,445원 내외 (±2.98%)",2.2,40950,55900,36.51,26.09,1개월,4.67,25.28,1532202,83325856000,False,False,21,93.0,1개월 반등초입 26.1%; 1개월 흐름 양호 4.7%; 거래 활발; 탄력 보통 2.98%; 1개월 변동폭 큼 36.5%; 코스닥 대형주 안정성,93.0,1개월 반등초입 26.1%; 1개월 흐름 양호 4.7%; 거래 활발; 탄력 보통 2.98%; 1개월 변동폭 큼 36.5%; 코스닥 대형주 안정성,93.0,1개월 반등초입 26.1%; 1개월 흐름 양호 4.7%; 거래 활발; 탄력 보통 2.98%; 1개월 변동폭 큼 36.5%; 코스닥 대형주 안정성
2,✅,039030,이오테크닉스,KOSDAQ,2026-09-14,428000,"404,000원~423,500원","450,000원~467,500원","약 ±10,950원 내외 (±2.59%)",1.5,374000,489500,30.88,46.75,1개월,5.94,-19.4,104060,57320704237,False,False,21,93.0,1개월 중간권 46.8%; 1개월 흐름 양호 5.9%; 거래 활발; 탄력 보통 2.59%; 1개월 변동폭 적정 30.9%; 코스닥 대형주 안정성,93.0,1개월 중간권 46.8%; 1개월 흐름 양호 5.9%; 거래 활발; 탄력 보통 2.59%; 1개월 변동폭 적정 30.9%; 코스닥 대형주 안정성,93.0,1개월 중간권 46.8%; 1개월 흐름 양호 5.9%; 거래 활발; 탄력 보통 2.59%; 1개월 변동폭 적정 30.9%; 코스닥 대형주 안정성
3,✅,084370,유진테크,KOSDAQ,2026-09-14,132200,"123,300원~130,900원","140,300원~146,800원","약 ±4,065원 내외 (±3.00%)",1.8,121000,156300,29.17,31.73,1개월,0.84,-29.68,80567,19576508705,False,False,21,90.0,1개월 반등초입 31.7%; 1개월 흐름 양호 0.8%; 거래 보통; 탄력 높음 3.00%; 1개월 변동폭 적정 29.2%; 코스닥 대형주 안정성,90.0,1개월 반등초입 31.7%; 1개월 흐름 양호 0.8%; 거래 보통; 탄력 높음 3.00%; 1개월 변동폭 적정 29.2%; 코스닥 대형주 안정성,90.0,1개월 반등초입 31.7%; 1개월 흐름 양호 0.8%; 거래 보통; 탄력 높음 3.00%; 1개월 변동폭 적정 29.2%; 코스닥 대형주 안정성
4,✅,064260,다날,KOSDAQ,2026-09-14,4975,"4,650원~4,925원","5,280원~5,520원",약 ±152원 내외 (±3.00%),1.8,4605,5880,27.69,29.02,1개월,-1.68,-7.7,872512,20589172058,False,False,21,89.0,1개월 반등초입 29.0%; 1개월 흐름 양호 -1.7%; 거래 보통; 탄력 높음 3.00%; 1개월 변동폭 적정 27.7%,89.0,1개월 반등초입 29.0%; 1개월 흐름 양호 -1.7%; 거래 보통; 탄력 높음 3.00%; 1개월 변동폭 적정 27.7%,89.0,1개월 반등초입 29.0%; 1개월 흐름 양호 -1.7%; 거래 보통; 탄력 높음 3.00%; 1개월 변동폭 적정 27.7%
5,✅,240810,원익IPS,KOSDAQ,2026-09-14,110100,"102,500원~109,000원","117,000원~122,500원","약 ±3,445원 내외 (±3.08%)",1.6,100900,127900,26.76,34.07,1개월,-5.57,-36.91,590488,83274398967,False,False,21,88.0,1개월 반등초입 34.1%; 1개월 조정 -5.6%; 거래 활발; 탄력 높음 3.08%; 1개월 변동폭 적정 26.8%; 코스닥 대형주 안정성,88.0,1개월 반등초입 34.1%; 1개월 조정 -5.6%; 거래 활발; 탄력 높음 3.08%; 1개월 변동폭 적정 26.8%; 코스닥 대형주 안정성,88.0,1개월 반등초입 34.1%; 1개월 조정 -5.6%; 거래 활발; 탄력 높음 3.08%; 1개월 변동폭 적정 26.8%; 코스닥 대형주 안정성
