name,ticker,market,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,target1_ref,target2_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_1m_intraday,high_1m_intraday,low_1m_close,high_1m_close,range_1m_pct,position_in_1m_range_pct,data_rows_1m,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,market_cap,listed_shares,data_rows,source_used,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
CJ씨푸드,011150,KOSPI,OK,2026-08-19,1975,1882,1955,2055,2125,1864,37.0,1.82,2.1,1710.0,2100.0,1860,2075,22.81,67.95,22,1710.0,2485.0,1818,2425,45.32,34.19,-1.1,-18.56,47139,93977524,117537390,True,70963276675,35930773,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-2049558784,KRW,TRUE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
CJ씨푸드1우,011155,KOSPI,OK,2026-08-19,6490,5380,6360,7470,8270,5150,446.0,6.55,2.0,,8750.0,4020,8040,,74.17,22,,13310.0,4020,13010,,48.76,1.25,-49.92,9127,60474540,100172008,True,1298000000,200000,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
CJ우,001045,KOSPI,OK,2026-08-19,70600,66800,69900,73900,76700,66100,1513.0,2.1,2.0,63500.0,77000.0,64300,76600,21.26,52.59,22,63300.0,84800.0,64300,83900,33.97,33.95,9.8,-13.9,4756,329569500,282765567,True,159571743800,2260223,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
CJ제일제당,097950,KOSPI,OK,2026-08-19,180100,174300,178300,187300,193200,170200,3285.0,1.7,1.9,178600.0,207000.0,180100,205500,15.9,5.28,22,172600.0,223000.0,177500,216000,29.2,14.88,-2.23,-16.62,58838,10607671900,14275844245,False,2711258898600,15054186,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,495706931000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260623,주식등의대량보유상황보고서(약식),1,2026-08-20T09:00:17+09:00
CJ제일제당 우,097955,KOSPI,OK,2026-08-19,123200,119700,122000,126900,130700,119000,1390.0,1.13,1.9,116700.0,128400.0,118100,127300,10.03,55.56,22,115600.0,132900.0,117200,131600,14.97,43.93,4.32,-6.38,5040,620170500,682804272,True,163539745600,1327433,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
CR홀딩스,000480,KOSPI,OK,2026-08-19,4650,4545,4605,4790,4935,4525,41.0,0.87,2.4,4485.0,4965.0,4560,4910,10.7,34.38,22,4485.0,5070.0,4555,4985,13.04,28.21,-5.3,-2.52,37556,173182433,113742794,True,218040778500,46890490,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,10259122000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
CS홀딩스,000590,KOSPI,OK,2026-08-19,66500,63900,65800,68800,70900,63400,1044.0,1.5,2.4,60300.0,69300.0,61000,68900,14.93,68.89,22,60300.0,79000.0,61000,78200,31.01,33.16,0.0,-14.96,665,43750100,82838482,True,76773053000,1154482,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,12083581445,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
DB,012030,KOSPI,OK,2026-08-19,1451,1296,1432,1588,1700,1265,62.0,3.56,2.0,1257.0,1620.0,1311,1566,28.88,53.44,22,1257.0,2545.0,1311,2400,102.47,15.06,0.69,-26.98,372837,542492818,787841515,True,291903376783,201173933,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,31644698101,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260522,주식등의대량보유상황보고서(일반),1,2026-08-20T09:00:17+09:00
DB손해보험,005830,KOSPI,OK,2026-08-19,187500,178300,185600,193100,198900,176500,3670.0,2.42,2.2,150400.0,191100.0,154700,187500,27.06,91.15,22,126900.0,191100.0,131500,187500,50.59,94.39,17.92,14.26,335169,62577927950,34683736825,False,12281315437500,65500349,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,1586912000000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260804,주식등의대량보유상황보고서(약식),2,2026-08-20T09:00:17+09:00
DB증권,016610,KOSPI,OK,2026-08-19,9140,8450,9050,9750,10250,8310,278.0,2.84,1.9,7550.0,9970.0,7920,9920,32.05,65.7,22,7550.0,12500.0,7920,12190,65.56,32.12,3.63,-23.77,62240,569769520,632688827,True,387959995460,42446389,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,77765113000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260812,임원ㆍ주요주주특정증권등소유상황보고서,11,2026-08-20T09:00:17+09:00
