rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,current_position,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_trading_value,market_cap,fx_benefit_structure,fx_proxy_score,import_cost_risk,liquidity_flag,overheat_flag,operating_loss_flag,final_score,reason
1,✅,329180,HD현대중공업,KOSPI,2026-06-08,621000,"571,000원~615,000원","665,000원~701,000원","약 ±20,000원 내외 (±3.37%)",2.4,561000.0,중간권,428000.0,765000.0,78.74,57.27,-5.62,7.81,372693780625,65180920725000,조선 달러수주 수혜 / 중공업·수출 수혜,48,낮음 또는 확인 제한,False,False,False,138.0,조선 달러수주 수혜 / 중공업·수출 수혜; 3개월 추세 양호 7.8%; 현재 위치 양호 57.3%; 거래대금 우수; 변동성 적정 3.37%; 대형주 안정성
2,✅,005930,삼성전자,KOSPI,2026-06-08,295500,"273,000원~292,500원","315,000원~331,000원","약 ±8,930원 내외 (±3.74%)",1.6,268500.0,중간권,167000.0,370000.0,121.56,63.3,10.06,70.32,10466571906500,1727575328664000,반도체·IT 수출 수혜 / IT·전자 수출 노출,42,낮음 또는 확인 제한,False,False,False,132.0,반도체·IT 수출 수혜 / IT·전자 수출 노출; 1개월 흐름 양호 10.1%; 3개월 상승부담 70.3%; 현재 위치 양호 63.3%; 거래대금 우수; 변동성 적정 3.74%; 대형주 안정성
3,✅,005380,현대차,KOSPI,2026-06-08,639000,"591,000원~633,000원","681,000원~716,000원","약 ±19,260원 내외 (±3.38%)",2.1,581000.0,중간권,445000.0,783000.0,75.96,57.4,4.24,26.04,1699863099851,130840212474000,자동차 수출·달러매출 수혜,28,낮음 또는 확인 제한,False,False,False,130.0,자동차 수출·달러매출 수혜; 1개월 흐름 양호 4.2%; 3개월 추세 양호 26.0%; 현재 위치 양호 57.4%; 거래대금 우수; 변동성 적정 3.38%; 대형주 안정성
4,✅,034220,LG디스플레이,KOSPI,2026-06-08,14020,"12,680원~13,860원","15,200원~16,160원",약 ±535원 내외 (±4.02%),2.2,12410.0,중간권,10740.0,17950.0,67.13,45.49,13.71,23.74,337964808510,7010000000000,디스플레이 수출 노출,14,낮음 또는 확인 제한,False,False,False,116.0,디스플레이 수출 노출; 1개월 흐름 양호 13.7%; 3개월 추세 양호 23.7%; 현재 위치 양호 45.5%; 거래대금 우수; 변동성 적정 4.02%; 대형주 안정성
5,✅,009540,HD한국조선해양,KOSPI,2026-06-08,358500,"344,000원~355,000원","384,500원~405,500원","약 ±11,710원 내외 (±2.85%)",1.9,330500.0,저점권,340500.0,488000.0,43.32,12.2,-20.69,-10.38,121769615400,25372162086000,조선 달러수주 수혜,54,낮음 또는 확인 제한,False,False,False,113.0,조선 달러수주 수혜; 1개월 약세 -20.7%; 저점권 추세확인 필요 12.2%; 거래대금 우수; 변동성 적정 2.85%; 대형주 안정성
6,✅,010140,삼성중공업,KOSPI,2026-06-08,26100,"24,450원~25,850원","28,000원~29,500원",약 ±853원 내외 (±2.92%),2.0,23550.0,저점권,24200.0,35350.0,46.07,17.04,-18.31,-8.58,217399616703,22968000000000,조선 달러수주 수혜 / 중공업·수출 수혜,48,낮음 또는 확인 제한,False,False,False,112.0,조선 달러수주 수혜 / 중공업·수출 수혜; 1개월 약세 -18.3%; 거래대금 우수; 변동성 적정 2.92%; 대형주 안정성
7,✅,161390,한국타이어앤테크놀로지,KOSPI,2026-06-08,67000,"62,900원~66,300원","69,000원~71,100원","약 ±1,652원 내외 (±2.78%)",2.2,62000.0,상단권,51900.0,72000.0,38.73,75.12,7.89,17.54,36994924895,8299629623000,타이어 수출 수혜,18,낮음 또는 확인 제한,False,False,False,109.0,타이어 수출 수혜; 1개월 흐름 양호 7.9%; 3개월 추세 양호 17.5%; 상단권 추세 75.1%; 거래대금 양호; 변동성 적정 2.78%; 대형주 안정성
