recommend_display,current_price_display,value_buy_range,target1_range,three_month_range,return_1m_display,liquidity_display,current_position,avg_daily_range_display,earnings_guidance_event,valuation_growth,score_recommendation_reason,market_ticker,sector_theme,recommend_flag,symbol,name,market,sector,industry,data_date,current_price,value_buy_low,value_buy_high,target1_low,target1_high,low_3m,high_3m,return_1m_pct,return_3m_pct,avg_volume_20d,avg_trading_value_20d,liquidity_label,position_in_3m_range_pct,position_label,avg_daily_range_amount,avg_daily_range_pct,earnings_event_risk,next_earnings_date,fundamentals_status,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,revenue_growth,earnings_growth,profit_margin,return_on_equity,debt_to_equity,analyst_target_mean,analyst_target_upside_pct,beta,short_percent_float,rsi14,sma20,sma60,score,hard_red_flag,warning_count,recommendation_reason
🟡 Boston Scientific,$49.30,$45.46~$48.40,$55.00~$59.68,$42.20~$58.51,+10.02%,$918.4M/일 · 활발,중간권 (43.5%),약±$0.84(±1.70%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 14.3배 · 매출성장 +7.5% · 이익성장 +15.1% · 평균목표가 여력 +27.2%,72.0점 · 3개월 가치구간 · 1개월 상승폭 안정적 · 이익 성장 양호 / 주의: RSI 과열권,USA · BSX,Health Care / Health Care Equipment,🟡,BSX,Boston Scientific,USA,Health Care,Health Care Equipment,2026-08-06,49.29999923706055,45.46,48.4,55.0,59.68,42.20000076293945,58.5099983215332,10.020079728106834,-11.964287076677593,20168225.8,918411652.369172,활발,43.53,중간권,1.6730136788609937,3.393536926473886,False,,READY,71447019520.0,19.959513,14.337689,2.8609562,0.7,0.075,0.151,0.17499,0.15338999,50.151,62.68966,27.15955572038624,0.566,0.019,75.80804554025815,45.32000026702881,47.52116661071777,72.0,False,1,3개월 가치구간 · 1개월 상승폭 안정적 · 이익 성장 양호 / 주의: RSI 과열권
🟡 AbbVie,$243.87,$213.51~$225.65,$258.50~$275.57,$200.02~$267.47,-3.51%,$1.44B/일 · 매우활발,중상단권 (65.0%),약±$2.92(±1.20%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 14.9배 · 매출성장 +10.2% · 이익성장 +290.4% · 평균목표가 여력 +11.6%,71.5점 · 매출 성장 양호 · 이익 성장 양호 · 선행 밸류 부담 제한 / 뚜렷한 단기 경고 제한,USA · ABBV,Health Care / Biotechnology,🟡,ABBV,AbbVie,USA,Health Care,Biotechnology,2026-08-06,243.8699951171875,213.51,225.65,258.5,275.57,200.0200042724609,267.4700012207031,-3.509539520136029,18.943567560423038,5728668.25,1443830654.0962677,매우활발,65.01,중상단권,5.843530108467097,2.396166082530608,False,,READY,430946877440.0,68.69578,14.92986,-72.60197,0.4,0.102,2.904,0.098000005,,,272.17856,11.60805570574983,0.28,0.014199999,38.39595081300854,252.18200149536133,235.7223335266113,71.5,False,0,매출 성장 양호 · 이익 성장 양호 · 선행 밸류 부담 제한 / 뚜렷한 단기 경고 제한
🟡 BNY Mellon,$158.82,$136.88~$142.93,$168.35~$179.47,$130.16~$163.77,+5.78%,$578.9M/일 · 활발,상단권부담 (85.3%),약±$1.62(±1.02%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 15.5배 · 매출성장 +13.1% · 이익성장 +26.9% · 평균목표가 여력 +5.4%,71.5점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담,USA · BNY,Financials / Asset Management & Custody Banks,🟡,BNY,BNY Mellon,USA,Financials,Asset Management & Custody Banks,2026-08-06,158.82000732421875,136.88,142.93,168.35,179.47,130.16000366210938,163.77000427246094,5.781276122190238,18.84167019572789,3669661.95,578864138.7679993,활발,85.27,상단권부담,3.236415491501138,2.0377882774518743,False,,READY,107760033792.0,18.532091,15.500972,2.7000563,1.29,0.131,0.269,0.29413998,0.14124,,167.33333,5.3603590751648555,1.049,0.0,54.66078086469108,157.15050201416017,147.37266743977864,71.5,False,1,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담
🟡 Bristol Myers Squibb,$64.15,$56.37~$59.01,$68.00~$72.49,$53.44~$68.10,+11.49%,$828.2M/일 · 활발,중상단권 (73.1%),약±$0.96(±1.50%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 9.8배 · 매출성장 +5.7% · 이익성장 +153.1% · 평균목표가 여력 +3.2%,71.0점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · BMY,Health Care / Pharmaceuticals,🟡,BMY,Bristol Myers Squibb,USA,Health Care,Pharmaceuticals,2026-08-06,64.1500015258789,56.37,59.01,68.0,72.49,53.43999862670898,68.0999984741211,11.487661635694968,13.359253141732474,13256131.1,828249902.1653244,활발,73.06,중상단권,1.922038132946129,2.996162256006736,False,,READY,131040149504.0,14.129956,9.815352,5.8718534,2.51,0.057,1.531,0.18871,0.46598998,201.859,66.20833,3.2086179659570835,0.225,0.022,66.34706855443513,61.89300003051758,58.45733337402344,71.0,False,0,중기 상승추세 유지 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 AutoZone,"$3,070","$3,034~$3,034","$3,347~$3,632","$2,902~$3,561",-0.02%,$466.2M/일 · 활발,저점권반등초입 (25.4%),약±$43.99(±1.43%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 17.5배 · 매출성장 +8.4% · 이익성장 +7.7% · 평균목표가 여력 +28.7%,70.5점 · 3개월 가치구간 · 선행 밸류 부담 제한 · 거래유동성 우수 / 뚜렷한 단기 경고 제한,USA · AZO,Consumer Discretionary / Automotive Retail,🟡,AZO,AutoZone,USA,Consumer Discretionary,Automotive Retail,2026-08-06,3069.6201171875,3033.99,3033.99,3347.49,3632.38,2902.199951171875,3561.159912109375,-0.0179079562855011,-13.33139222448042,153810.35,466211044.8736328,활발,25.41,저점권반등초입,87.97840137773424,2.866100625452746,False,,READY,,21.121723,17.50572,-18.044807,1.35,0.084,0.077,0.12399,,,3950.5217,28.697413659759775,0.344,0.034,51.83963803233559,3031.8204956054688,3107.6536661783853,70.5,False,0,3개월 가치구간 · 선행 밸류 부담 제한 · 거래유동성 우수 / 뚜렷한 단기 경고 제한
🟡 BlackRock,"$1,129","$987.83~$1,024","$1,197~$1,276","$947.21~$1,150",+14.03%,$851.3M/일 · 활발,상단권부담 (89.7%),약±$13.64(±1.21%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 17.6배 · 매출성장 +30.6% · 이익성장 +19.7% · 평균목표가 여력 +16.3%,70.5점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담,USA · BLK,Financials / Asset Management & Custody Banks,🟡,BLK,BlackRock,USA,Financials,Asset Management & Custody Banks,2026-08-06,1129.300048828125,987.83,1024.38,1197.06,1276.11,947.2100219726562,1150.300048828125,14.031546560213526,5.191101216245952,790698.3,851342939.6833252,활발,89.66,상단권부담,27.28453887778501,2.416057531043073,False,,READY,,27.172762,17.614422,3.0950751,1.21,0.306,0.197,0.24089001,,23.635,1313.5,16.310984079299317,1.425,0.0138,62.67764432432549,1076.7925048828124,1044.7011678059896,70.5,False,1,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담
🟡 Blackstone Inc.,$133.45,$113.60~$119.51,$141.46~$150.80,$107.03~$139.87,+12.50%,$646.7M/일 · 활발,상단권부담 (80.5%),약±$2.23(±1.67%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 17.8배 · 매출성장 +28.6% · 이익성장 +57.3% · 평균목표가 여력 +6.4%,70.5점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담,USA · BX,Financials / Asset Management & Custody Banks,🟡,BX,Blackstone Inc.,USA,Financials,Asset Management & Custody Banks,2026-08-06,133.4499969482422,113.6,119.51,141.46,150.8,107.02999877929688,139.8699951171875,12.50210239274967,7.025418506148795,5019441.5,646677199.7466049,활발,80.45,상단권부담,4.461985213762339,3.343563368902057,False,,READY,166092849152.0,29.787945,17.821777,11.842221,1.59,0.286,0.573,0.22728,0.31374002,62.529,141.95238,6.371212623598188,1.546,0.031600002,59.18538619104952,128.53899955749512,122.12950032552084,70.5,False,1,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담
🟡 Citizens Financial Group,$72.43,$62.74~$65.43,$76.78~$81.85,$59.74~$74.70,+5.64%,$315.5M/일 · 활발,상단권부담 (84.8%),약±$0.80(±1.11%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 11.1배 · 매출성장 +14.7% · 이익성장 +41.3% · 평균목표가 여력 +11.3%,70.5점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담,USA · CFG,Financials / Regional Banks,🟡,CFG,Citizens Financial Group,USA,Financials,Regional Banks,2026-08-06,72.43000030517578,62.74,65.43,76.78,81.85,59.744998931884766,74.69999694824219,5.644694988903098,10.37792940194362,4376788.25,315515437.598505,활발,84.82,상단권부담,1.6073478824319372,2.2191742035890583,False,,READY,30505836544.0,15.779956,11.11865,1.271795,1.65,0.147,0.413,0.26051,0.08270001,,80.58824,11.263619578144946,1.006,0.0001,50.189040074476665,71.98450012207032,67.81716677347819,70.5,False,1,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 3개월 상단권 부담
🟡 Arista Networks,$192.32,$151.08~$165.44,$203.86~$219.19,$135.13~$214.89,+6.22%,$1.43B/일 · 매우활발,중상단권 (71.7%),약±$5.30(±2.75%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 37.7배 · 매출성장 +37.7% · 이익성장 +35.7% · 평균목표가 여력 +1.1%,70.0점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 일간 변동성 큼,USA · ANET,Information Technology / Communications Equipment,🟡,ANET,Arista Networks,USA,Information Technology,Communications Equipment,2026-08-06,192.32000732421875,151.08,165.44,203.86,219.19,135.1300048828125,214.88999938964844,6.224802033965782,30.77656093907648,7954544.4,1426702048.4934173,매우활발,71.7,중상단권,10.593989156117466,5.508521606001088,False,,READY,242163466240.0,60.86076,37.662174,16.377417,2.36,0.377,0.357,0.38371,0.31476,,194.49551,1.1311889522309215,1.615,0.0191,66.70424926291454,177.20050125122071,165.8403335571289,70.0,False,1,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: 일간 변동성 큼
🟡 Chipotle Mexican Grill,$33.71,$30.25~$32.24,$36.74~$39.87,$28.04~$39.09,+0.84%,$683.9M/일 · 활발,중간권 (51.3%),약±$0.67(±2.00%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 24.6배 · 매출성장 +9.3% · 이익성장 -1.3% · 평균목표가 여력 +30.7%,70.0점 · 3개월 중간권 · 1개월 상승폭 안정적 · 선행 밸류 부담 제한 / 주의: 이익 성장률 둔화,USA · CMG,Consumer Discretionary / Restaurants,🟡,CMG,Chipotle Mexican Grill,USA,Consumer Discretionary,Restaurants,2026-08-06,33.709999084472656,30.25,32.24,36.74,39.87,28.040000915527344,39.09000015258789,0.8375673848065368,2.962728638599388,19733741.25,683934925.1782131,활발,51.31,중간권,1.3490901121533465,4.0020473117567015,False,,READY,42657239040.0,31.212961,24.63497,19.429394,2.02,0.093,-0.013,0.114250004,0.49560001,246.35,44.04839,30.66861820322435,0.937,0.045300003,47.775746836019785,34.5105001449585,32.92966667811076,70.0,False,1,3개월 중간권 · 1개월 상승폭 안정적 · 선행 밸류 부담 제한 / 주의: 이익 성장률 둔화
