recommend_display,current_price_display,value_buy_range,target1_range,three_month_range,return_1m_display,liquidity_display,current_position,avg_daily_range_display,earnings_guidance_event,valuation_growth,score_recommendation_reason,market_ticker,sector_theme,recommend_flag,symbol,name,market,sector,industry,data_date,current_price,value_buy_low,value_buy_high,target1_low,target1_high,low_3m,high_3m,return_1m_pct,return_3m_pct,avg_volume_20d,avg_trading_value_20d,liquidity_label,position_in_3m_range_pct,position_label,avg_daily_range_amount,avg_daily_range_pct,earnings_event_risk,next_earnings_date,fundamentals_status,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,revenue_growth,earnings_growth,profit_margin,return_on_equity,debt_to_equity,analyst_target_mean,analyst_target_upside_pct,beta,short_percent_float,rsi14,sma20,sma60,score,hard_red_flag,warning_count,recommendation_reason
🟡 Cigna,$275.25,$271.58~$271.58,$291.76~$311.55,$263.11~$305.44,-5.00%,$553.3M/일 · 활발,저점권반등초입 (28.7%),약±$3.99(±1.45%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 8.2배 · 매출성장 +6.7% · 이익성장 +10.2% · 평균목표가 여력 +24.0%,77.0점 · 3개월 가치구간 · 이익 성장 양호 · 선행 밸류 부담 제한 / 뚜렷한 단기 경고 제한,USA · CI,Health Care / Health Care Services,🟡,CI,Cigna,USA,Health Care,Health Care Services,2026-08-06,275.25,271.58,271.58,291.76,311.55,263.1099853515625,305.44000244140625,-4.997760134351914,-2.386697894927892,1943070.5,553346551.140625,활발,28.68,저점권반등초입,7.98939414408662,2.9025955110214783,False,,READY,72732188672.0,11.184478,8.223186,1.7254456,0.84,0.067,0.102,0.022720002,0.16758,74.29,341.41666,24.038750227066295,0.321,0.026099999,45.70755004005909,287.8324996948242,286.3914972941081,77.0,False,0,3개월 가치구간 · 이익 성장 양호 · 선행 밸류 부담 제한 / 뚜렷한 단기 경고 제한
🟡 Apple Inc.,$312.41,$287.91~$300.66,$331.15~$353.02,$273.75~$344.57,-0.31%,$18.16B/일 · 매우활발,중간권 (54.6%),약±$3.61(±1.15%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 32.8배 · 매출성장 +16.4% · 이익성장 +28.7% · 평균목표가 여력 +2.7%,76.5점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · AAPL,"Information Technology / Technology Hardware, Storage & Peripherals",🟡,AAPL,Apple Inc.,USA,Information Technology,"Technology Hardware, Storage & Peripherals",2026-08-06,312.4100036621094,287.91,300.66,331.15,353.02,273.75,344.57000732421875,-0.3127128946426416,8.660565911003438,56285026.3,18159564722.10209,매우활발,54.59,중간권,7.211160506803643,2.308236107126376,False,,READY,4559367831552.0,35.86797,32.84008,42.44701,2.41,0.164,0.287,0.27618998,1.4875101,78.445,320.889,2.7140604457279727,1.086,0.01,36.405348536769154,323.5309997558594,308.33500010172526,76.5,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Apollo Global Management,$127.99,$119.57~$124.56,$135.67~$144.63,$114.03~$141.73,+8.34%,$493.9M/일 · 활발,중간권 (50.4%),약±$2.19(±1.71%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 12.0배 · 매출성장 +63.8% · 이익성장 +117.2% · 평균목표가 여력 +16.6%,75.5점 · 3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · APO,Financials / Asset Management & Custody Banks,🟡,APO,Apollo Global Management,USA,Financials,Asset Management & Custody Banks,2026-08-06,127.98999786376952,119.57,124.56,135.67,144.63,114.02999877929688,141.72999572753906,8.337564351624804,-1.188914483162562,4016564.15,493891724.7035656,활발,50.4,중간권,4.378000562343384,3.4205802292482708,False,,READY,73718628352.0,45.386524,11.97304,3.759657,0.59,0.638,1.172,0.052670002,0.11412,33.091,149.26315,16.620948895454536,,0.0552,61.63365279047573,122.84599952697754,126.50800031026203,75.5,False,0,3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Broadcom,$420.57,$384.14~$409.09,$465.30~$504.90,$356.43~$495.00,+8.20%,$7.41B/일 · 매우활발,중간권 (46.3%),약±$7.61(±1.81%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 21.6배 · 매출성장 +47.9% · 이익성장 +85.4% · 평균목표가 여력 +25.5%,75.5점 · 3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: RSI 과열권,USA · AVGO,Information Technology / Semiconductors,🟡,AVGO,Broadcom,USA,Information Technology,Semiconductors,2026-08-06,420.5650024414063,384.14,409.09,465.3,504.9,356.42999267578125,495.0,8.200622552622772,-1.1458725018861915,18992899.95,7407341371.956675,매우활발,46.28,중간권,15.212992415462145,3.617274934231276,False,,READY,2000871751680.0,69.8613,21.576332,22.819588,0.44,0.479,0.854,0.38848,0.37280998,74.018,527.88446,25.517923967899712,1.473,0.0147,73.6125096748413,390.4677505493164,399.12425130208334,75.5,False,1,3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 주의: RSI 과열권
🟡 American Express,$342.60,$312.65~$324.01,$363.16~$387.14,$300.03~$363.14,+1.85%,$1.03B/일 · 매우활발,중상단권 (67.5%),약±$3.21(±0.94%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 17.0배 · 매출성장 +12.8% · 이익성장 +11.0% · 평균목표가 여력 +9.3%,75.0점 · 1개월 상승폭 안정적 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · AXP,Financials / Consumer Finance,🟡,AXP,American Express,USA,Financials,Consumer Finance,2026-08-06,342.6000061035156,312.65,324.01,363.16,387.14,300.0299987792969,363.1400146484375,1.8460689035517897,6.430572413644686,2986906.5,1027125223.1746064,매우활발,67.45,중상단권,6.424771051288831,1.8752979967395575,False,,READY,231361150976.0,20.801458,17.032497,6.7460866,1.61,0.128,0.11,0.16141,0.34377,172.38,374.4628,9.300289938365358,1.055,0.022,41.04508323216528,345.7104995727539,332.1999994913737,75.0,False,0,1개월 상승폭 안정적 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 CF Industries,$116.73,$106.65~$112.00,$123.73~$133.04,$100.70~$130.43,-0.25%,$263.4M/일 · 보통,중간권 (53.9%),약±$1.85(±1.58%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 10.4배 · 매출성장 +19.4% · 이익성장 +115.1% · 평균목표가 여력 +7.3%,75.0점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · CF,Materials / Fertilizers & Agricultural Chemicals,🟡,CF,CF Industries,USA,Materials,Fertilizers & Agricultural Chemicals,2026-08-06,116.7300033569336,106.65,112.0,123.73,133.04,100.6999969482422,130.42999267578125,-0.2478151550605045,-2.5300590558191227,2169689.95,263381668.26838112,보통,53.92,중간권,3.6950010386553047,3.165425282612936,False,,READY,17933146112.0,8.659496,10.448705,3.3566253,3.54,0.194,1.151,0.23733999,0.273,43.847,125.24842,7.297538249030144,0.398,0.0719,42.88316515865549,121.5724998474121,116.17083307902018,75.0,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Advanced Micro Devices,$489.28,$431.63~$466.08,$549.65~$596.42,$393.36~$584.73,-5.44%,$14.96B/일 · 매우활발,중간권 (50.1%),약±$15.74(±3.22%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 35.2배 · 매출성장 +50.1% · 이익성장 +159.5% · 평균목표가 여력 +18.4%,74.5점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 주의: 일간 변동성 큼,USA · AMD,Information Technology / Semiconductors,🟡,AMD,Advanced Micro Devices,USA,Information Technology,Semiconductors,2026-08-06,489.2799987792969,431.63,466.08,549.65,596.42,393.3599853515625,584.72998046875,-5.436689632067971,16.110961762465937,29693973.7,14955702206.58508,매우활발,50.12,중간권,31.48066472906206,6.434079628761255,False,,READY,,125.456406,35.15564,11.878323,1.14,0.501,1.595,0.15577,0.10196,6.361,579.1064,18.358894997713126,2.489,0.024500001,49.0199624207464,507.172006225586,503.1260009765625,74.5,False,1,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 주의: 일간 변동성 큼
🟡 Coca-Cola Company (The),$86.85,$79.63~$82.17,$92.06~$98.14,$76.81~$90.92,+4.14%,$1.47B/일 · 매우활발,중상단권 (71.2%),약±$0.85(±0.98%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 24.6배 · 매출성장 +6.7% · 이익성장 +16.9% · 평균목표가 여력 +9.0%,73.0점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · KO,Consumer Staples / Soft Drinks & Non-alcoholic Beverages,🟡,KO,Coca-Cola Company (The),USA,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2026-08-06,86.8499984741211,79.63,82.17,92.06,98.14,76.80999755859375,90.91999816894533,4.136686912615528,9.61756253228867,17262190.9,1466571745.9951224,매우활발,71.16,중상단권,1.6992532676966539,1.956538051296552,False,,READY,373676376064.0,26.081081,24.628376,10.338055,4.18,0.067,0.169,0.28558,0.42054,115.519,94.69565,9.033565531053744,0.342,0.0112,70.84317067525198,84.70299911499023,82.20933303833007,73.0,False,0,중기 상승추세 유지 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 American International Group,$79.97,$74.21~$76.06,$84.77~$90.37,$72.15~$82.45,+0.44%,$253.6M/일 · 보통,중상단권 (75.9%),약±$0.78(±0.98%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 9.0배 · 매출성장 +1.4% · 이익성장 +21.6% · 평균목표가 여력 +10.7%,72.0점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · AIG,Financials / Multi-line Insurance,🟡,AIG,American International Group,USA,Financials,Multi-line Insurance,2026-08-06,79.97000122070312,74.21,76.06,84.77,90.37,72.1500015258789,82.44999694824219,0.4395861115894295,2.934738972387652,3200658.75,253605037.72426605,보통,75.92,중상단권,1.5599956716960255,1.950726082135115,False,,READY,,14.079226,9.049072,1.054735,0.65,0.014,0.216,0.118389994,0.07723,22.647,88.55,10.729021693544283,0.517,0.020399999,47.30417343197489,79.23750038146973,77.1115000406901,72.0,False,0,중기 상승추세 유지 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Atmos Energy,$171.98,$171.10~$171.10,$182.30~$194.34,$166.33~$190.19,-2.89%,$172.6M/일 · 보통,저점권반등초입 (23.7%),약±$1.47(±0.85%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 19.1배 · 매출성장 +0.6% · 이익성장 +14.5% · 평균목표가 여력 +9.8%,72.0점 · 3개월 가치구간 · 이익 성장 양호 · 선행 밸류 부담 제한 / 뚜렷한 단기 경고 제한,USA · ATO,Utilities / Gas Utilities,🟡,ATO,Atmos Energy,USA,Utilities,Gas Utilities,2026-08-06,171.97999572753906,171.1,171.1,182.3,194.34,166.3300018310547,190.19000244140625,-2.885538831115897,-6.917081164355643,979648.35,172550269.72681198,보통,23.68,저점권반등초입,2.9317750560430818,1.7047186468638913,False,,READY,28706871296.0,20.49821,19.067322,1.9255012,2.08,0.006,0.145,0.27579,0.096,64.588,188.91667,9.848049013382365,0.602,0.0238,33.65828221556691,176.24949798583984,174.24266611735027,72.0,False,0,3개월 가치구간 · 이익 성장 양호 · 선행 밸류 부담 제한 / 뚜렷한 단기 경고 제한
