rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,low_1m,high_1m,range_1m_pct,position_in_1m_range_pct,current_position_period,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,data_rows_1m,one_month_market_score,one_month_market_reason,score,reason,legacy_market_score,legacy_market_reason
1,✅,329180,HD현대중공업,KOSPI,2026-08-13,496000,"452,000원~491,000원","513,000원~532,000원","약 ±19,890원 내외 (±3.40%)",2.4,411500,542000,31.71,64.75,1개월,1.74,-32.33,401809,127418460875,False,False,23,94.0,1개월 중간권 64.8%; 1개월 흐름 양호 1.7%; 거래 매우활발; 탄력 높음 3.40%; 1개월 변동폭 적정 31.7%; 대형주 안정성,94.0,1개월 중간권 64.8%; 1개월 흐름 양호 1.7%; 거래 매우활발; 탄력 높음 3.40%; 1개월 변동폭 적정 31.7%; 대형주 안정성,94.0,1개월 중간권 64.8%; 1개월 흐름 양호 1.7%; 거래 매우활발; 탄력 높음 3.40%; 1개월 변동폭 적정 31.7%; 대형주 안정성
2,✅,259960,크래프톤,KOSPI,2026-08-13,234500,"223,500원~232,000원","247,500원~258,000원","약 ±6,520원 내외 (±2.68%)",2.0,221500,265000,19.64,29.89,1개월,-1.47,-16.55,165400,27337168200,False,False,23,92.0,1개월 반등초입 29.9%; 1개월 흐름 양호 -1.5%; 거래 보통; 탄력 보통 2.68%; 1개월 변동폭 적정 19.6%; 대형주 안정성,92.0,1개월 반등초입 29.9%; 1개월 흐름 양호 -1.5%; 거래 보통; 탄력 보통 2.68%; 1개월 변동폭 적정 19.6%; 대형주 안정성,92.0,1개월 반등초입 29.9%; 1개월 흐름 양호 -1.5%; 거래 보통; 탄력 보통 2.68%; 1개월 변동폭 적정 19.6%; 대형주 안정성
3,✅,279570,케이뱅크,KOSPI,2026-08-13,5710,"5,400원~5,650원","6,010원~6,240원",약 ±148원 내외 (±2.48%),2.0,5350,6850,28.04,24.0,1개월,1.06,2.15,1252342,10466424866,False,False,23,91.0,1개월 반등초입 24.0%; 1개월 흐름 양호 1.1%; 거래 보통; 탄력 보통 2.48%; 1개월 변동폭 적정 28.0%,91.0,1개월 반등초입 24.0%; 1개월 흐름 양호 1.1%; 거래 보통; 탄력 보통 2.48%; 1개월 변동폭 적정 28.0%,91.0,1개월 반등초입 24.0%; 1개월 흐름 양호 1.1%; 거래 보통; 탄력 보통 2.48%; 1개월 변동폭 적정 28.0%
4,✅,207940,삼성바이오로직스,KOSPI,2026-08-13,1564000,"1,487,000원~1,548,000원","1,611,000원~1,659,000원","약 ±35,150원 내외 (±2.52%)",2.1,1339000,1628000,21.58,77.85,1개월,11.71,10.92,55792,105676509350,False,False,23,88.0,1개월 중상단 77.8%; 1개월 흐름 양호 11.7%; 거래 매우활발; 탄력 보통 2.52%; 1개월 변동폭 적정 21.6%; 대형주 안정성,88.0,1개월 중상단 77.8%; 1개월 흐름 양호 11.7%; 거래 매우활발; 탄력 보통 2.52%; 1개월 변동폭 적정 21.6%; 대형주 안정성,88.0,1개월 중상단 77.8%; 1개월 흐름 양호 11.7%; 거래 매우활발; 탄력 보통 2.52%; 1개월 변동폭 적정 21.6%; 대형주 안정성
5,✅,161390,한국타이어앤테크놀로지,KOSPI,2026-08-13,71500,"67,100원~70,800원","74,500원~76,800원","약 ±1,987원 내외 (±2.94%)",2.4,63600,77600,22.01,56.43,1개월,2.58,20.98,461925,24064710522,False,False,23,88.0,1개월 중간권 56.4%; 1개월 흐름 양호 2.6%; 거래 보통; 탄력 보통 2.94%; 1개월 변동폭 적정 22.0%; 대형주 안정성,88.0,1개월 중간권 56.4%; 1개월 흐름 양호 2.6%; 거래 보통; 탄력 보통 2.94%; 1개월 변동폭 적정 22.0%; 대형주 안정성,88.0,1개월 중간권 56.4%; 1개월 흐름 양호 2.6%; 거래 보통; 탄력 보통 2.94%; 1개월 변동폭 적정 22.0%; 대형주 안정성
6,✅,271560,오리온,KOSPI,2026-08-13,131800,"126,600원~130,500원","136,600원~140,700원","약 ±2,385원 내외 (±1.79%)",1.8,123900,143900,16.14,39.5,1개월,-1.42,-4.35,136340,14913366662,False,False,23,88.0,1개월 중간권 39.5%; 1개월 흐름 양호 -1.4%; 거래 보통; 탄력 보통 1.79%; 1개월 변동폭 적정 16.1%; 대형주 안정성,88.0,1개월 중간권 39.5%; 1개월 흐름 양호 -1.4%; 거래 보통; 탄력 보통 1.79%; 1개월 변동폭 적정 16.1%; 대형주 안정성,88.0,1개월 중간권 39.5%; 1개월 흐름 양호 -1.4%; 거래 보통; 탄력 보통 1.79%; 1개월 변동폭 적정 16.1%; 대형주 안정성
7,✅,443060,HD현대마린솔루션,KOSPI,2026-08-13,200500,"184,900원~198,500원","210,000원~216,500원","약 ±7,070원 내외 (±3.28%)",2.5,175000,220000,25.71,56.67,1개월,3.56,-13.58,91171,17981714110,False,False,23,86.0,1개월 중간권 56.7%; 1개월 흐름 양호 3.6%; 거래 보통; 탄력 높음 3.28%; 1개월 변동폭 적정 25.7%; 대형주 안정성,86.0,1개월 중간권 56.7%; 1개월 흐름 양호 3.6%; 거래 보통; 탄력 높음 3.28%; 1개월 변동폭 적정 25.7%; 대형주 안정성,86.0,1개월 중간권 56.7%; 1개월 흐름 양호 3.6%; 거래 보통; 탄력 높음 3.28%; 1개월 변동폭 적정 25.7%; 대형주 안정성
