rank,recommend_flag,code,name,market,asof_date,close,return_1m_pct,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
11,⚠️,006370,대구백화점,KOSPI,2026-07-28,5050,37.6,"4,485원~4,980원","5,550원~5,960원",약 ±226원 내외 (±4.79%),2.0,4370.0,3430.0,6720.0,95.92,42341,1044038834,True,True,66.0,1개월 상승 과열 37.6%; 매수위치 중립 49.2%; 저유동성; 소형주,-4262350528,KRW,TRUE,2026 1분기보고서,OK,00108977,대구백화점,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,OFS,KRW,11185310945.0,-6273405211.0,368636493454.0,180613148566.0,188023344888.0,12677231506.0,-4270414426.0,-6393558357.0,-11.77,0.19,1.88,-38.11,96.06,-13.35,적자지속,63522856570.0,10821611.0,2026-07-16,-2318.84,17374.8,,0.34,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분",20260720,주식등의대량보유상황보고서(일반),5,2026-07-29T09:25:11+09:00
12,⚠️,089860,롯데렌탈,KOSPI,2026-07-28,38950,36.91,"37,350원~38,550원","40,100원~41,300원",약 ±638원 내외 (±2.01%),2.5,37050.0,26650.0,41400.0,55.35,58952,3260177451,True,True,62.0,1개월 상승 과열 36.9%; 상단권 83.4%; 저유동성; 변동성 적정 2.01%; 3개월 변동폭 유효 55.4%,83626439520,KRW,FALSE,2026 1분기보고서,OK,00545716,롯데렌탈,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,730924604457.0,30312460271.0,7600545672707.0,6053495848100.0,1547049824607.0,685640430602.0,66991361519.0,29829089856.0,6.6,24.83,1.62,11.44,391.29,7.84,흑자지속,1332554539600.0,36309388.0,2026-07-20,3339.35,42607.43,10.99,0.86,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자",20260526,주식등의대량보유상황보고서(일반),4,2026-07-29T09:25:11+09:00
13,⚠️,002870,신풍,KOSPI,2026-07-28,1003,35.72,907원~991원,"1,088원~1,157원",약 ±38원 내외 (±3.94%),2.0,888.0,664.0,1338.0,101.51,135769,199875122,True,True,66.0,1개월 상승 과열 35.7%; 매수위치 중립 50.3%; 저유동성; 소형주,-564447054,KRW,TRUE,2026 1분기보고서,OK,00137368,신풍,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,6025425135.0,845276699.0,77127837589.0,2653782140.0,74474055449.0,5785436328.0,-881996040.0,701212800.0,4.15,36.0,20.54,-9.37,3.56,4.54,적자지속,35727791400.0,34958700.0,2026-07-27,96.72,2130.34,10.57,0.48,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260706,주식등의대량보유상황보고서(일반),1,2026-07-29T09:25:11+09:00
14,⚠️,011090,에넥스,KOSPI,2026-07-28,1430,34.27,"1,149원~1,396원","1,677원~1,880원",약 ±112원 내외 (±11.07%),4.0,1093.0,,2800.0,,356767,2038398263,True,True,56.0,1개월 상승 과열 34.3%; 매수위치 중립 51.1%; 저유동성; 고변동 11.07%; 소형주,-2873293709,KRW,TRUE,2026 1분기보고서,OK,00139764,에넥스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,46687987948.0,-3181213594.0,118630130856.0,80478348255.0,38151782601.0,60314356402.0,1619665986.0,1519841986.0,-22.59,-277.4,-309.31,-6.15,210.94,-33.35,적자전환,16493162114.0,11857054.0,2026-07-27,-1073.19,3217.64,,0.43,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260721,주요사항보고서(유상증자결정),14,2026-07-29T09:25:11+09:00
15,✅,005360,모나미,KOSPI,2026-07-28,1590,32.5,"1,341원~1,560원","1,809원~1,988원",약 ±100원 내외 (±4.87%),2.3,1291.0,,4475.0,,2598444,12923086649,False,True,83.0,1개월 상승 과열 32.5%; 매수위치 중립 35.5%; 변동성 큼 4.87%; 소형주,-2718613882,KRW,TRUE,2026 1분기보고서,OK,00121288,모나미,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,32839648678.0,-2814621589.0,185956131891.0,108218345334.0,77737786557.0,33487420643.0,-728982314.0,-2428201686.0,-1.93,-272.93,-15.91,-8.28,139.21,-14.48,적자지속,37359975939.0,18897307.0,2026-07-23,-595.77,4113.7,,0.48,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260515,주식등의대량보유상황보고서(일반),1,2026-07-29T09:25:11+09:00
16,⚠️,465770,STX그린로지스,KOSPI,2026-07-28,2450,30.67,"1,816원~2,375원","3,010원~3,465원",약 ±254원 내외 (±8.19%),1.9,1689.0,1669.0,5750.0,244.52,2171697,10850175289,False,True,60.0,1개월 상승 과열 30.7%; 고변동 8.19%; 3개월 변동폭 과대 244.5%; 소형주,-1375208163,KRW,TRUE,2026 1분기보고서,OK,01784394,STX그린로지스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,15933737972.0,-2115100867.0,99397057127.0,61845518252.0,37551538875.0,47873324244.0,-469938707.0,-909959357.0,-66.72,-192.64,-132.44,-8.63,164.7,-22.53,적자지속,23664405600.0,7171032.0,2026-07-14,-1179.8,5236.56,,0.63,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-29T09:25:11+09:00
17,✅,078930,GS,KOSPI,2026-07-28,87500,30.01,"81,400원~86,600원","91,200원~95,900원","약 ±2,420원 내외 (±3.21%)",1.9,80200.0,60800.0,99800.0,64.14,362822,40098008385,False,True,110.0,1개월 상승 과열 30.0%; 매수위치 중립 68.5%; 거래대금 양호; 변동성 적정 3.21%; 3개월 변동폭 유효 64.1%,1258574000000,KRW,FALSE,2026 1분기보고서,OK,00500254,GS,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,6842343000000.0,826693000000.0,36809107000000.0,16995386000000.0,19813721000000.0,6227279000000.0,803306000000.0,291451000000.0,9.88,56.67,183.65,18.39,85.78,16.69,흑자지속,8695018332000.0,92895495.0,2026-07-23,35596.69,213290.44,2.63,0.44,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260709,주식등의대량보유상황보고서(일반),4,2026-07-29T09:25:11+09:00
18,✅,298000,효성화학,KOSPI,2026-07-28,60000,26.98,"53,900원~59,300원","65,400원~69,800원","약 ±2,445원 내외 (±4.44%)",2.3,52700.0,,87500.0,,57475,6272381486,False,False,95.0,1개월 상승 27.0%; 매수위치 중립 68.6%; 소형주,276703922,KRW,FALSE,2026 1분기보고서,OK,01316236,효성화학,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,587029760929.0,-17530918143.0,2646689685876.0,2003463353283.0,643226332593.0,572933688979.0,-52102524485.0,374151216077.0,2.46,100.53,-104.69,0.05,311.47,-10.9,흑자전환,247605258300.0,3791811.0,2026-07-27,-18493.45,169635.65,,0.38,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260521,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-07-29T09:25:11+09:00
19,⚠️,014710,사조씨푸드,KOSPI,2026-07-28,9540,25.03,"9,080원~9,440원","9,830원~10,120원",약 ±182원 내외 (±2.31%),2.0,8990.0,6480.0,9620.0,48.46,9568,228420816,True,True,55.0,1개월 상승 25.0%; 3개월 고점권 97.5%; 저유동성; 변동성 적정 2.31%; 3개월 변동폭 유효 48.5%,2589603214,KRW,FALSE,2026 1분기보고서,OK,00124780,사조씨푸드,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,67662833927.0,2181487011.0,436648957299.0,235194473698.0,201454483601.0,47395258910.0,4066738341.0,4061285261.0,42.76,-36.32,-46.29,3.83,116.75,4.33,흑자지속,164264900220.0,17218543.0,2026-07-28,506.78,11699.86,18.82,0.82,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260625,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-29T09:25:11+09:00
20,✅,010950,S-Oil,KOSPI,2026-07-28,129500,24.88,"119,800원~128,200원","138,100원~145,000원","약 ±3,885원 내외 (±3.28%)",1.9,117800.0,90400.0,156500.0,73.12,346010,67137045307,False,False,117.0,1개월 상승 24.9%; 매수위치 중립 59.1%; 거래대금 양호; 변동성 적정 3.28%; 3개월 변동폭 유효 73.1%,1231078000000,KRW,FALSE,2026 1분기보고서,OK,00138279,S-Oil,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,8942689000000.0,720991000000.0,28862781000000.0,19294578000000.0,9568203000000.0,8990533000000.0,-21541000000.0,-44558000000.0,-0.53,5815.05,1718.1,13.77,201.65,30.14,흑자전환,15705299484000.0,112582792.0,2026-07-13,25616.38,84988.15,5.45,1.64,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260703,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-29T09:25:11+09:00
