ticker,name,market,financial_blocker_occurrences,financial_blocker_reasons,recovery_lane,recovery_note,financial_cache_row_present,source_cache_row_present,corp_code,corp_name,corp_identity_status,corp_identity_reason,financial_source_status,financial_data_status,valuation_data_status,financial_basis,net_income,per_annualized
078930,GS,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
078935,GS우,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
088260,이리츠코크렙,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
090080,평화산업,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
093370,후성,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
095720,웅진씽크빅,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
097230,HJ중공업,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
100250,진양홀딩스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
102260,동성케미컬,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
102460,이연제약,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
