ticker,name,source_file,aux_name,aux_current_price,aux_compare_to_previous_close,aux_fluctuations_ratio,aux_accumulated_trading_volume,aux_accumulated_trading_value,aux_market_status,aux_local_traded_at,aux_source,aux_fetch_status,aux_run_at_kst,aux_data_type,aux_display_label
051900,LG생활건강,kospi_candidates_30_latest.csv,LG생활건강,248000,4000,1.64,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
055550,신한지주,kospi_candidates_30_latest.csv,신한지주,103800,-700,-0.67,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
068270,셀트리온,kospi_candidates_30_latest.csv,셀트리온,172200,2100,1.23,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
081660,미스토홀딩스,kospi_candidates_30_latest.csv,미스토홀딩스,45350,350,0.78,,,CLOSE,2026-07-23T16:10:22+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
086790,하나금융지주,kospi_candidates_30_latest.csv,하나금융지주,130500,-1100,-0.84,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
090430,아모레퍼시픽,kospi_candidates_30_latest.csv,아모레퍼시픽,119000,2100,1.8,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
096770,SK이노베이션,kospi_candidates_30_latest.csv,SK이노베이션,132200,13800,11.66,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
105560,KB금융,kospi_candidates_30_latest.csv,KB금융,176300,1200,0.69,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
111770,영원무역,kospi_candidates_30_latest.csv,영원무역,87600,2300,2.7,,,CLOSE,2026-07-23T16:10:15+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
138930,BNK금융지주,kospi_candidates_30_latest.csv,BNK금융지주,17770,-10,-0.06,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
139130,iM금융지주,kospi_candidates_30_latest.csv,iM금융지주,17940,430,2.46,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
161390,한국타이어앤테크놀로지,kospi_candidates_30_latest.csv,한국타이어앤테크놀로지,76700,4300,5.94,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
161890,한국콜마,kospi_candidates_30_latest.csv,한국콜마,102400,4100,4.17,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
175330,JB금융지주,kospi_candidates_30_latest.csv,JB금융지주,25550,-1050,-3.95,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
207940,삼성바이오로직스,kospi_candidates_30_latest.csv,삼성바이오로직스,1379000,7000,0.51,,,CLOSE,2026-07-23T16:10:22+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
278470,에이피알,kospi_candidates_30_latest.csv,에이피알,370000,12500,3.5,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
316140,우리금융지주,kospi_candidates_30_latest.csv,우리금융지주,30900,250,0.82,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
323410,카카오뱅크,kospi_candidates_30_latest.csv,카카오뱅크,22100,550,2.55,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
483650,달바글로벌,kospi_candidates_30_latest.csv,달바글로벌,240000,18000,8.11,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
000400,롯데손해보험,kospi_gainers_1m_latest.csv,롯데손해보험,2210,-100,-4.33,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
001520,동양,kospi_gainers_1m_latest.csv,동양,1134,129,12.84,,,CLOSE,2026-07-23T16:10:22+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
002990,금호건설,kospi_gainers_1m_latest.csv,금호건설,11300,880,8.45,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
003680,한성기업,kospi_gainers_1m_latest.csv,한성기업,8200,-130,-1.56,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
005360,모나미,kospi_gainers_1m_latest.csv,모나미,1977,-113,-5.41,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
006370,대구백화점,kospi_gainers_1m_latest.csv,대구백화점,5470,-210,-3.7,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
006490,프리티,kospi_gainers_1m_latest.csv,프리티,1007,5,0.5,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
006660,삼성공조,kospi_gainers_1m_latest.csv,삼성공조,12600,-400,-3.08,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
010400,우진아이엔에스,kospi_gainers_1m_latest.csv,우진아이엔에스,4720,25,0.53,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
010950,S-Oil,kospi_gainers_1m_latest.csv,S-Oil,149800,8100,5.72,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
011300,우성머티리얼스,kospi_gainers_1m_latest.csv,우성머티리얼스,2755,-10,-0.36,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
014990,인디에프,kospi_gainers_1m_latest.csv,인디에프,1900,-11,-0.58,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
058730,다스코,kospi_gainers_1m_latest.csv,다스코,4170,160,3.99,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
073240,금호타이어,kospi_gainers_1m_latest.csv,금호타이어,6440,330,5.4,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
078930,GS,kospi_gainers_1m_latest.csv,GS,93600,9400,11.16,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
089860,롯데렌탈,kospi_gainers_1m_latest.csv,롯데렌탈,39950,1300,3.36,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
214330,금호에이치티,kospi_gainers_1m_latest.csv,금호에이치티,4950,-10,-0.2,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
317400,자이에스앤디,kospi_gainers_1m_latest.csv,자이에스앤디,8250,1780,27.51,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
465770,STX그린로지스,kospi_gainers_1m_latest.csv,STX그린로지스,4550,-405,-8.17,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
475150,SK이터닉스,kospi_gainers_1m_latest.csv,SK이터닉스,80600,18600,30.0,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
000660,SK하이닉스,watchlist_summary_latest.csv,SK하이닉스,1919000,89000,4.86,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
000990,DB하이텍,watchlist_summary_latest.csv,DB하이텍,110100,4200,3.97,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
001440,대한전선,watchlist_summary_latest.csv,대한전선,31000,3550,12.93,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
001820,삼화콘덴서,watchlist_summary_latest.csv,삼화콘덴서,90200,3800,4.4,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
004170,신세계,watchlist_summary_latest.csv,신세계,544000,-3000,-0.55,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
005380,현대차,watchlist_summary_latest.csv,현대차,432000,14000,3.35,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
005385,현대차우,watchlist_summary_latest.csv,현대차우,205000,11600,6.0,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
005387,현대차2우B,watchlist_summary_latest.csv,현대차2우B,205500,10200,5.22,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
005930,삼성전자,watchlist_summary_latest.csv,삼성전자,270000,9500,3.65,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
005935,삼성전자우,watchlist_summary_latest.csv,삼성전자우,191100,6000,3.24,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
006260,LS,watchlist_summary_latest.csv,LS,321500,37000,13.01,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
006400,삼성SDI,watchlist_summary_latest.csv,삼성SDI,467000,48000,11.46,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
006800,미래에셋증권,watchlist_summary_latest.csv,미래에셋증권,39200,1600,4.26,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
007810,코리아써키트,watchlist_summary_latest.csv,코리아써키트,64100,200,0.31,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
009150,삼성전기,watchlist_summary_latest.csv,삼성전기,1448000,103000,7.66,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
010120,LS ELECTRIC,watchlist_summary_latest.csv,LS ELECTRIC,223500,32900,17.26,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
010140,삼성중공업,watchlist_summary_latest.csv,삼성중공업,23650,2050,9.49,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
011070,LG이노텍,watchlist_summary_latest.csv,LG이노텍,679000,32000,4.95,,,CLOSE,2026-07-23T16:10:16+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
012330,현대모비스,watchlist_summary_latest.csv,현대모비스,524000,11000,2.14,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
032830,삼성생명,watchlist_summary_latest.csv,삼성생명,329500,9500,2.97,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
034020,두산에너빌리티,watchlist_summary_latest.csv,두산에너빌리티,73200,4000,5.78,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
034730,SK,watchlist_summary_latest.csv,SK,655000,31000,4.97,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
036930,주성엔지니어링,watchlist_summary_latest.csv,주성엔지니어링,163900,1900,1.17,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
042660,한화오션,watchlist_summary_latest.csv,한화오션,89900,6000,7.15,,,CLOSE,2026-07-23T16:10:21+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
042700,한미반도체,watchlist_summary_latest.csv,한미반도체,216000,1000,0.47,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
051910,LG화학,watchlist_summary_latest.csv,LG화학,271500,19500,7.74,,,CLOSE,2026-07-23T16:10:22+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
060370,LS마린솔루션,watchlist_summary_latest.csv,LS마린솔루션,31000,2150,7.45,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
062040,산일전기,watchlist_summary_latest.csv,산일전기,183600,16900,10.14,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
066570,LG전자,watchlist_summary_latest.csv,LG전자,187500,4800,2.63,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
066575,LG전자우,watchlist_summary_latest.csv,LG전자우,68700,1200,1.78,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
100790,미래에셋벤처투자,watchlist_summary_latest.csv,미래에셋벤처투자,14460,920,6.79,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
261780,차백신연구소,watchlist_summary_latest.csv,아리바이오랩,2365,60,2.6,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
267260,HD현대일렉트릭,watchlist_summary_latest.csv,HD현대일렉트릭,869000,74000,9.31,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
307950,현대오토에버,watchlist_summary_latest.csv,현대오토에버,430000,28500,7.1,,,CLOSE,2026-07-23T16:10:22+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
317330,덕산테코피아,watchlist_summary_latest.csv,덕산테코피아,10350,500,5.08,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
