ticker,name,avg_daily_move_pct,baseline_status,shadow_status,baseline_missing_component_count,shadow_missing_component_count,baseline_missing_components,shadow_missing_components
002450,삼익악기,0.7699,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
002780,진흥기업,44.5291,LIMITED,LIMITED,6,5,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT
002787,진흥기업2우B,48.8760,LIMITED,LIMITED,18,17,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:OK;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:OK;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
003570,SNT다이내믹스,2.0530,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
003830,대한화섬,0.5585,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
004310,현대약품,5.6938,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
004560,현대비앤지스틸,1.0207,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
005850,에스엘,1.2704,LIMITED,LIMITED,2,1,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT
005950,이수화학,2.2846,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE
006110,삼아알미늄,3.0423,LIMITED,LIMITED,2,1,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT
