basis_date,market,ticker,name,history_rows,phase_code,phase_ko,bottom_rebound,new_20d_low,swing_trough_date,swing_trough_close,swing_peak_date,swing_peak_close,from_trough_pct,from_peak_pct,momentum_5d_pct,ma20_value,ma20_direction,ma20_slope_5d_pct,confirmed_swing_low_stop,trailing_reference_status,source_metric_contract_version
2026-09-11,KOSDAQ,263750,펄어비스,260,BOTTOM_REBOUND,저점반등,True,False,2026-08-18,30550.0,2026-06-12,41150.0,15.5483,-14.2163,2.3188,32652.5,1,0.5698,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,293490,카카오게임즈,260,BOTTOM_REBOUND,저점반등,True,False,2026-06-26,6930.0,2026-06-22,10040.0,33.189,-8.0677,2.2148,8849.0,1,1.1199,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,317330,덕산테코피아,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-29,8610.0,2026-06-16,16220.0,45.7607,-22.6264,5.3736,11702.5,1,3.9806,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,357780,솔브레인,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,224500.0,2026-06-12,441500.0,46.9933,-25.2548,1.5385,332575.0,1,1.4954,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,439960,코스모로보틱스,86,NEW_LOW,최근 신저점,False,True,2026-07-20,10400.0,2026-06-17,26500.0,15.4808,-54.6792,-5.0593,13178.5,-1,-8.3713,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000270,기아,260,EARLY_REBOUND_UNCONFIRMED,초기반등·확인부족,False,False,2026-07-29,120400.0,2026-06-16,170200.0,5.1495,-25.6169,0.0791,130025.0,-1,-1.6452,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000370,한화손해보험,260,UPTREND,상승중,False,False,2026-07-29,5270.0,2026-09-03,8950.0,59.7723,-5.9218,0.0,7943.5,1,7.0408,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000500,가온전선,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,107600.0,2026-06-18,385500.0,136.0595,-34.1115,19.8113,199285.0,1,12.4443,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000540,흥국화재,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-29,2910.0,2026-09-03,3960.0,26.2887,-7.197,-0.5413,3569.75,1,2.7266,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000640,동아쏘시오홀딩스,260,TOP_DECLINE,고점후하락,False,False,2026-06-26,75800.0,2026-08-11,97000.0,19.657,-6.4948,-2.0518,92125.0,-1,-0.5505,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
