market,asof_date,index_source,proxy_index_close,proxy_daily_return_pct,proxy_return_1m_pct,proxy_return_3m_pct,up_count,down_count,up_ratio_pct,down_ratio_pct,up_down_ratio,total_trading_value,total_trading_value_20d_avg,trading_value_vs_20d_avg,total_market_cap,top2_market_cap_ratio_pct,top10_market_cap_ratio_pct,samsung_hynix_market_cap_ratio_pct,official_asof_date,official_index_name,official_index_close,official_daily_return_pct,official_return_1m_pct,official_return_3m_pct,risk_return_source
KOSDAQ,2026-06-16,official_krx_index_if_available_else_proxy,1229.39,-1.4543,-6.23,-5.69,742,880,41.8,49.58,0.843,8824007238421,12342356794969,0.715,566715793529030,6.43,19.77,,2026-06-16,코스닥,1018.68,-1.48,-8.32,-10.51,official
KOSPI,2026-06-16,official_krx_index_if_available_else_proxy,2167.78,2.1429,16.2,56.92,504,351,54.72,38.11,1.436,40537429218934,49066960403918,0.826,7125787239440864,51.97,65.97,51.97,2026-06-16,코스피,8726.6,2.11,16.11,57.24,official
