ticker,name,operating_cash_flow_annual,ocf_margin_pct_if_promoted,source_fs_div,baseline_status,shadow_status,baseline_missing_components,shadow_missing_components,baseline_score_total,shadow_score_total
000100,유한양행,106227395422.0,4.858025,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,57.0
005850,에스엘,508540930109.0,9.705092,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,72.0
006110,삼아알미늄,-4973559699.0,-1.832161,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,36.5
013870,지엠비코리아,7097456491.0,0.901526,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,67.0
014710,사조씨푸드,-34381798575.0,-14.444933,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,66.0
120110,코오롱인더,355039451553.0,7.285252,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,70.5
271560,오리온,537328134910.0,16.124153,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,73.0
