ticker,name,corp_code,full_account_status,fs_div,account_id,account_nm,amount,exact_ifrs_operating_cashflow_id,message
000640,동아쏘시오홀딩스,00116824,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,227391724773.0,True,
000650,천일고속,00151395,OK,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,I.영업활동으로 인한 현금흐름,312011629.0,True,
000810,삼성화재,00139214,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,3413166155628.0,True,
001020,페이퍼코리아,00134723,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,20313174483.0,True,
001020,페이퍼코리아,00134723,OK,CFS,dart_NetCashflowsFromUsedInOperations,영업활동에 사용된 현금,28542131561.0,False,
001060,JW중외제약,00149947,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,96396462541.0,True,
001420,태원물산,00154055,OK,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-4937792702.0,True,
001440,대한전선,00113207,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-171279828165.0,True,
001560,제일연마,00148461,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,8084915043.0,True,
001770,SHD,00137809,OK,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-5808087508.0,True,
002210,동성제약,00116268,OK,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-12860397698.0,True,
002420,우양피앤엘,00133618,OK,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-860029289.0,True,
002450,삼익악기,00127857,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,28047301855.0,True,
002990,금호건설,00106313,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,51027952185.0,True,
003230,삼양식품,00126955,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,309287213625.0,True,
003280,흥아해운,00167208,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로인한 현금흐름,38014074656.0,True,
003280,흥아해운,00167208,OK,CFS,dart_NetCashflowsFromUsedInOperations,영업활동에서 창출된 현금,43585158844.0,False,
003490,대한항공,00113526,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,4075191178550.0,True,
003490,대한항공,00113526,OK,CFS,ifrs-full_CashFlowsFromUsedInOperations,영업활동에서 창출된 현금흐름,4238865184337.0,False,
003550,LG,00120021,OK,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,1015114000000.0,True,
003550,LG,00120021,OK,CFS,-표준계정코드 미사용-,영업활동으로 인한 현금수취액:,386221000000.0,False,
003550,LG,00120021,OK,CFS,-표준계정코드 미사용-,영업활동으로 인한 현금지급액:,-248886000000.0,False,
