name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
Cerebras Systems Inc,CBRS,US,USD,NASDAQ,OK,2026-07-28,192.72,162.42,188.51,188.51,223.57,155.99,14.02,6.39,2.0,160.81,386.34,168.52,311.07,140.25,14.15,4662851.0,898624650.0,1146538044.0,False,,,,,,,51,yfinance_close,
DB하이텍,000990,KR,KRW,KOSPI,OK,2026-07-29,84700.0,79600.0,83900.0,83900.0,103900.0,81000.0,8710.0,5.65,1.8,83500.0,230500.0,84700.0,220500.0,176.05,0.82,15680.0,1328096000.0,61302305065.0,False,,,,,,,61,pykrx_adjusted,
HD현대일렉트릭,267260,KR,KRW,KOSPI,OK,2026-07-29,653000.0,614000.0,646000.0,646000.0,744000.0,630000.0,41450.0,4.15,2.6,650000.0,1430000.0,653000.0,1420000.0,120.0,0.38,19033.0,12428549000.0,130118390150.0,False,,,,,,,61,pykrx_adjusted,
HD현대중공업,329180,KR,KRW,KOSPI,OK,2026-07-29,454500.0,441500.0,448000.0,448000.0,501000.0,424000.0,21250.0,3.45,2.5,437000.0,765000.0,448500.0,745000.0,75.06,5.34,20147.0,9156811500.0,145830700400.0,False,,,,,,,61,pykrx_adjusted,
Intel,INTC,US,USD,NASDAQ,OK,2026-07-28,86.3,83.93,84.78,84.78,97.45,80.61,5.07,4.46,1.9,83.1,142.35,86.3,140.94,71.3,5.4,148828659.0,12843913726.0,12066916316.0,False,,,,,,,62,yfinance_close,
LG에너지솔루션,373220,KR,KRW,KOSPI,OK,2026-07-29,316500.0,311000.0,312500.0,312500.0,346500.0,299000.0,13690.0,3.58,1.8,308000.0,497500.0,313500.0,483000.0,61.53,4.49,18985.0,6008752500.0,104726662750.0,False,,,,,,,61,pykrx_adjusted,
LG이노텍,011070,KR,KRW,KOSPI,OK,2026-07-29,504000.0,474000.0,499000.0,499000.0,620000.0,484000.0,52600.0,5.7,2.6,499000.0,1788000.0,504000.0,1530000.0,258.32,0.39,24946.0,12572784000.0,189119338250.0,False,,,,,,,61,pykrx_adjusted,
LG전자,066570,KR,KRW,KOSPI,OK,2026-07-29,159900.0,135900.0,155700.0,155700.0,190900.0,130600.0,14080.0,6.33,1.9,134600.0,438000.0,135800.0,392500.0,225.41,8.34,85178.0,13619962200.0,278271787705.0,False,,,,,,,61,pykrx_adjusted,
LG전자우,066575,KR,KRW,KOSPI,OK,2026-07-29,56100.0,52700.0,55500.0,55500.0,65500.0,54000.0,4275.0,5.43,2.1,55700.0,138400.0,56000.0,124400.0,148.47,0.48,13749.0,771318900.0,6921617900.0,True,,,,,,,61,pykrx_adjusted,
LG화학,051910,KR,KRW,KOSPI,OK,2026-07-29,243500.0,239000.0,240000.0,240000.0,267500.0,229500.0,11020.0,3.42,2.1,236500.0,437500.0,240500.0,429500.0,84.99,3.48,8598.0,2093613000.0,51770770325.0,False,,,,,,,61,pykrx_adjusted,
LS,006260,KR,KRW,KOSPI,OK,2026-07-29,271500.0,261500.0,265500.0,265500.0,317000.0,251000.0,20750.0,5.12,2.1,259000.0,604000.0,265500.0,553000.0,133.2,3.62,5816.0,1579044000.0,48871673825.0,False,,,,,,,61,pykrx_adjusted,
LS ELECTRIC,010120,KR,KRW,KOSPI,OK,2026-07-29,180600.0,176300.0,176700.0,176700.0,209000.0,169400.0,12980.0,5.59,2.9,174600.0,335000.0,175500.0,318500.0,91.87,3.74,56363.0,10179157800.0,201277575260.0,False,,,,,,,61,pykrx_adjusted,
LS마린솔루션,060370,KR,KRW,KOSDAQ,OK,2026-07-29,27700.0,23900.0,27250.0,27250.0,31050.0,23150.0,1522.0,4.81,2.9,22450.0,51600.0,23050.0,50100.0,129.84,18.01,2346.0,64984200.0,4244328075.0,True,,,,,,,61,pykrx_adjusted,
NVIDIA,NVDA,US,USD,NASDAQ,OK,2026-07-28,197.01,191.7,195.04,195.04,206.56,184.11,4.34,2.07,2.1,189.8,236.54,192.53,235.74,24.63,15.43,125138253.0,24653486536.0,26385336613.0,False,,,,,,,62,yfinance_close,
SK,034730,KR,KRW,KOSPI,OK,2026-07-29,534000.0,459000.0,525000.0,525000.0,600000.0,444000.0,30100.0,4.79,1.8,408500.0,883000.0,425000.0,858000.0,116.16,26.45,12913.0,6895542000.0,159343296950.0,False,,,,,,,61,pykrx_adjusted,
SK스퀘어,402340,KR,KRW,KOSPI,OK,2026-07-29,939000.0,801000.0,915000.0,915000.0,1117000.0,769000.0,80800.0,6.11,2.0,793000.0,2189000.0,830000.0,1970000.0,176.04,10.46,86658.0,81371862000.0,1315213282550.0,False,,,,,,,61,pykrx_adjusted,
SK이노베이션,096770,KR,KRW,KOSPI,OK,2026-07-29,112300.0,102800.0,111200.0,111200.0,120700.0,100900.0,3805.0,3.4,2.0,87700.0,155400.0,89500.0,149800.0,77.19,36.34,37989.0,4266164700.0,88619886610.0,False,,,,,,,61,pykrx_adjusted,
SK하이닉스,000660,KR,KRW,KOSPI,OK,2026-07-29,1598000.0,1295000.0,1562000.0,1562000.0,1864000.0,1243000.0,121000.0,5.76,2.1,1281000.0,2987000.0,1286000.0,2919000.0,133.18,18.58,579325.0,925761350000.0,11627487135400.0,False,,,,,,,61,pykrx_adjusted,
대한전선,001440,KR,KRW,KOSPI,OK,2026-07-29,25300.0,23800.0,25050.0,25050.0,30250.0,23750.0,2260.0,5.3,2.2,24500.0,75900.0,25150.0,72300.0,209.8,1.56,142426.0,3603377800.0,69367364540.0,False,,,,,,,61,pykrx_adjusted,
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-07-29,9490.0,8920.0,9400.0,9400.0,11350.0,8880.0,847.0,4.96,2.4,9150.0,33000.0,9430.0,31250.0,260.66,1.43,1852.0,17575480.0,693821463.0,True,,,,,,,61,pykrx_adjusted,
