name,ticker,market,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,target1_ref,target2_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_1m_intraday,high_1m_intraday,low_1m_close,high_1m_close,range_1m_pct,position_in_1m_range_pct,data_rows_1m,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,market_cap,listed_shares,data_rows,source_used,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
버넥트,438700,KOSDAQ,OK,2026-07-31,1596,1511.0,1567,1806,1979,1451.0,96.0,4.2,2.9,1496.0,2250.0,1517,2035,50.4,13.26,23,1496.0,3680.0,1517,3360,145.99,4.58,-21.57,-52.5,19523,30673518,42825159,True,17787244440,11144890,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1473747372,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
버킷스튜디오,066410,KOSDAQ,OK,2026-07-31,1153,1084.0,1141,1245,1326,1061.0,,0.0,,,,1153,1153,,,23,,,1153,1153,,,0.0,0.0,0,0,0,True,159637252154,138453818,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1190469787,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"상장폐지위험,최대주주변경",20260730,기타시장안내              (상장폐지 관련 이의신청서 접수),6,2026-08-01T10:30:42+09:00
범한퓨얼셀,382900,KOSDAQ,OK,2026-07-31,14130,11930.0,13680,17450,20150,11460.0,1509.0,5.96,2.5,11810.0,27600.0,12450,27500,133.7,14.69,23,11810.0,43700.0,12450,40700,270.03,7.28,-41.49,-59.91,71368,990351005,1539863725,True,123792930000,8761000,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-2145120056,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260604,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-08-01T10:30:42+09:00
베노티앤알,206400,KOSDAQ,OK,2026-07-31,855,759.0,844,939,1008,740.0,38.0,3.84,2.2,674.0,1323.0,760,1138,96.29,27.89,23,674.0,1390.0,760,1298,106.23,25.28,-10.0,-33.62,23346,19701395,244967442,True,32071185090,37510158,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1875084917,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,최대주주변경",20260710,주식등의대량보유상황보고서(일반),5,2026-08-01T10:30:42+09:00
베뉴지,019010,KOSDAQ,OK,2026-07-31,4000,3395.0,3925,4535,4970,3275.0,242.0,4.82,2.0,3315.0,6130.0,3495,5940,84.92,24.33,23,3315.0,7300.0,3495,6720,120.21,17.19,-32.66,-18.28,132261,509917760,460979788,True,192800000000,48200000,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,1920256337,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"EB,EB발행",20260720,[기재정정]주요사항보고서(교환사채권발행결정),2,2026-08-01T10:30:42+09:00
베셀,177350,KOSDAQ,OK,2026-07-31,695,599.0,683,780,849,579.0,39.0,5.23,2.6,,860.0,583,812,,80.81,23,,1325.0,531,1099,,52.45,-12.69,-33.11,0,0,230644172,True,13783032890,19831702,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-136474910,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,자사주처분",20260623,[기재정정]전환사채(해외전환사채포함)발행후만기전사채취득              (제7회차),4,2026-08-01T10:30:42+09:00
벡트,457600,KOSDAQ,OK,2026-07-31,3405,3105.0,3370,3505,3610,3045.0,120.0,5.53,2.1,1650.0,3550.0,1827,3405,115.15,92.37,23,1401.0,3550.0,1527,3405,153.39,93.25,86.37,50.66,126756,423763106,1237743127,True,46674037500,13707500,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-645444063,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,유상증자,20260722,[기재정정]주요사항보고서(유상증자결정),2,2026-08-01T10:30:42+09:00
벨로크,424760,KOSDAQ,OK,2026-07-31,1919,1670.0,1889,2140,2315,1620.0,100.0,4.3,1.8,1700.0,2345.0,1779,2250,37.94,33.95,23,,4900.0,1779,3700,,39.16,-8.4,1.7,21890,42665418,133694455,True,19294332192,10054368,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1304050500,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260526,주식등의대량보유상황보고서(일반),12,2026-08-01T10:30:42+09:00
보라티알,250000,KOSDAQ,OK,2026-07-31,5140,5000.0,5090,5370,5560,4825.0,105.0,1.64,2.6,4950.0,5700.0,5090,5620,15.15,25.33,23,4950.0,8230.0,5090,7910,66.26,5.79,-6.2,-33.68,8215,41622680,47866786,True,34698767620,6750733,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,1505595645,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
보로노이,310210,KOSDAQ,OK,2026-07-31,110900,98500.0,107900,132600,150400,94600.0,9880.0,5.02,1.8,97500.0,204000.0,100800,189600,109.23,12.58,23,97500.0,308000.0,100800,295000,215.9,6.37,-40.6,-60.95,79715,8648080400,12258045402,False,2045339013700,18443093,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-22001677521,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,대량보유,주요주주변동",20260730,[첨부정정]주요사항보고서(전환사채매수선택권행사자지정),15,2026-08-01T10:30:42+09:00
