ticker,name,market,target_year,fs_div,source_layer,source_status,depreciation_value,amortisation_value,da_total,approved_exact_fact_count,both_exact_facts_present,evidence_ref
000650,천일고속,KOSPI,2025,OFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,1975722713.0,,1975722713.0,1,FALSE,latest/investment_score_source_cache_latest.csv
001020,페이퍼코리아,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,13364613000.0,253360000.0,13617973000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
001060,JW중외제약,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,12985909000.0,2022536000.0,15008445000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
001420,태원물산,KOSPI,2025,OFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,216950728.0,,216950728.0,1,FALSE,latest/investment_score_source_cache_latest.csv
001440,대한전선,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,37696524000.0,432502000.0,38129026000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
002420,우양피앤엘,KOSPI,2025,OFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,1385037351.0,,1385037351.0,1,FALSE,latest/investment_score_source_cache_latest.csv
002990,금호건설,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,9018000000.0,1230000000.0,10248000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
003230,삼양식품,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,40005521000.0,6190127000.0,46195648000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
003280,흥아해운,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,29873729000.0,6612000.0,29880341000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
003490,대한항공,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,2737739724778.0,117424139669.0,2855163864447.0,2,TRUE,latest/investment_score_source_cache_latest.csv
003495,대한항공우,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,2737739724778.0,117424139669.0,2855163864447.0,2,TRUE,latest/investment_score_source_cache_latest.csv#PREFERRED_COMMON:003490
004170,신세계,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,439799000000.0,61693000000.0,501492000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
004370,농심,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,122151893000.0,5228903000.0,127380796000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
