ticker,name,market,target_year,fs_div,source_layer,source_status,depreciation_value,amortisation_value,da_total,approved_exact_fact_count,both_exact_facts_present,evidence_ref
012280,영화금속,KOSPI,2025,OFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,7286950218.0,,7286950218.0,1,FALSE,latest/investment_score_source_cache_latest.csv
013360,일성건설,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,4536709000.0,130525000.0,4667234000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
018260,삼성에스디에스,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,340227744000.0,30564432000.0,370792176000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
020000,한섬,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,46531350000.0,23319195000.0,69850545000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
021240,코웨이,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,404912015000.0,9794244000.0,414706259000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
028050,삼성E&A,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,47145356000.0,35011442000.0,82156798000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
029530,신도리코,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,13669414000.0,66813000.0,13736227000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
034020,두산에너빌리티,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,394115000000.0,163212000000.0,557327000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
035420,NAVER,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,490481270000.0,65259246000.0,555740516000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
035720,카카오,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,582694743000.0,257522120000.0,840216863000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
036570,NC,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,90910794605.0,4676672893.0,95587467498.0,2,TRUE,latest/investment_score_source_cache_latest.csv
047050,포스코인터내셔널,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,294998000000.0,257394000000.0,552392000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
047810,한국항공우주,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,93485075000.0,17536069000.0,111021144000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
058730,다스코,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,6217294217.0,449078138.0,6666372355.0,2,TRUE,latest/investment_score_source_cache_latest.csv
058860,KTis,KOSPI,2025,OFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,6767014000.0,761724000.0,7528738000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
063160,종근당바이오,KOSPI,2025,OFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,14639748000.0,1014862000.0,15654610000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
066570,LG전자,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,3040140000000.0,561896000000.0,3602036000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
069620,대웅제약,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,34183816000.0,13281367000.0,47465183000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
071840,롯데하이마트,KOSPI,2025,OFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,107710158000.0,4703240000.0,112413398000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
072130,유엔젤,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,1214540385.0,3430062.0,1217970447.0,2,TRUE,latest/investment_score_source_cache_latest.csv
