date,indicator_code,indicator_name,value,unit,frequency,source,source_url
2022-06-16,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,20686265.1892,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-17,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,20357337.282397,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-20,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,20030041.259764,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-21,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19854560.059242,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-22,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19530817.787658,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-23,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19216099.359069,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-24,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18891897.964915,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-27,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18044309.889468,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-28,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17715553.194627,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-29,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17752911.056215,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-06-30,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17868304.033777,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-01,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17989174.984269,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-04,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17938977.527864,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-05,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17763609.668172,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-06,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17585925.957945,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-07,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17494596.201879,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-08,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17647337.895869,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-11,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17650485.953683,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-12,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17710299.350075,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-13,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17818888.245269,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-14,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17864833.144122,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-15,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17849439.386753,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-18,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17919284.919288,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-19,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18005319.873973,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-20,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18011795.375782,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-21,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18146993.966133,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-22,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18242032.465921,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-25,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18272101.206302,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-26,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18368907.679139,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-27,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18381462.963018,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-28,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18462659.276917,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-07-29,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18561877.82877,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-01,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18629993.24736,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
