ticker,name,market,financial_sector,raw_source_mode,missing_component_count,blocker_reason,blocker_category,source_group,single_blocker_ticker,recovery_status,audit_note
002420,우양피앤엘,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,POLICY_SEMANTIC_DEFER,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 의미 blocker
002450,삼익악기,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
003230,삼양식품,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
003530,한화투자증권,KOSPI,true,DIRECT,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,20거래일 가격탄력 source 보강 필요
004170,신세계,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
004800,효성,KOSPI,true,DIRECT,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,20거래일 가격탄력 source 보강 필요
004910,조광페인트,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
005930,삼성전자,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
006260,LS,KOSPI,true,DIRECT,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,20거래일 가격탄력 source 보강 필요
006800,미래에셋증권,KOSPI,true,DIRECT,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,20거래일 가격탄력 source 보강 필요
008060,대덕,KOSPI,true,DIRECT,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,20거래일 가격탄력 source 보강 필요
009420,한올바이오파마,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
010060,OCI홀딩스,KOSPI,true,DIRECT,1,하루평균 절대등락률:MISSING_ELASTICITY,SOURCE_DATA_GAP,PRICE_ELASTICITY_20D,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,20거래일 가격탄력 source 보강 필요
010130,고려아연,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
012450,한화에어로스페이스,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_V8103_APPROVED_OFFICIAL_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
018260,삼성에스디에스,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=EMPTY_AS_ZERO, da_status=NO_EXACT_CANDIDATE"
022100,포스코DX,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_V8103_APPROVED_OFFICIAL_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
