ticker,name,avg_daily_move_pct,baseline_status,shadow_status,baseline_missing_components,shadow_missing_components,baseline_score_total,shadow_score_total
006260,LS,2.70,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,70.0
267250,HD현대,2.91,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,76.0
