ticker,name,market,single_blocker_ticker,current_blocker_reason,v888_already_promoted,v885_present,v885_report_status,v885_xbrl_status,v885_audit_result,v885_approved_exact_fact_count,v885_approved_exact_local_names,v885_all_da_local_names,v887_present,v887_source_fs_div,v887_target_member,v887_selected_local_names,v887_both_approved_facts_unique,v887_selection_classification,provenance_class,recovery_lane,safe_auto_promotion,next_action
001560,제일연마,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
001770,SHD,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
002210,동성제약,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
003580,HLB글로벌,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
004870,티웨이홀딩스,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
006370,대구백화점,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_DA_FACT_FOUND_NO_APPROVED_EXACT,0,,AGovernmentBondOfCostMeasurementFinancialAssetsAfterAmortizationOfCostMeasurementFinancialAssetsAfterAmortizationTableOfItems|AccumulatedAmortizationOfIntangibleAssetsOfIntangibleAssetsTableOfItems|AccumulatedDepreciationInvestmentProperty|AmortisationExpense|AmortizationOfDetailsOfChangesInBookValueOfDetailsOfChangesInBookValueTableOfItems|AmortizationOfDetailsOfChangesInTheCarryingAmountOfIntangibleAssetsOfDetailsOfChangesInTheCarryingAmountOfIntangibleAssetsTableOfItems|CostMeasurementFinancialAssetsAfterAmortizationCurrentOfAGovernmentBondOfCostMeasurementFinancialAssetsAfterAmortizationTableOfItems|CostMeasurementFinancialAssetsAfterAmortizationTextBlock|CostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|DepreciationExpense|DepreciationOfAccumulatedDepreciationOfDetailsOfChangesInLicenseAssetsTableOfItems|FoundationOfAccumulatedDepreciationOfDetailsOfChangesInLicenseAssetsTableOfItems|InvestmentPropertyDepreciationExpenseSellingGeneralAdministrativeExpenses|LeaseLiabilitiesNonCurrentOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|LiquidityLongTermLiabilitiesOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|LongTermBorrowingsOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|LongTermOtherFinancialLiabilitiesOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|PurchaseDebtOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|ShortTermBorrowingsOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|ShortTermOtherFinancialLiabilitiesOfCostMeasurementFinancialLiabilitiesAfterAmortizationOfDetailsOfFinancialInstrumentLiabilitiesTableOfItems|TerminationOfTheContractOfAccumulatedDepreciationOfDetailsOfChangesInLicenseAssetsTableOfItems|TheEndOfTheSemesterOfAccumulatedDepreciationOfDetailsOfChangesInLicenseAssetsTableOfItems,FALSE,,,,,,XBRL_DA_FACTS_BUT_NO_APPROVED_EXACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,D&A 관련 fact는 있으나 현재 승인 exact ID가 아님; 새 ID 자동 승인 없이 다른 공식 D&A 소스 조사
011200,HMM,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_DA_FACT_FOUND_NO_APPROVED_EXACT,0,,AdjustmentsForDepreciationAndAmortisationExpense|AllocationOfRightOfUseAssetDepreciationByFunctionTextBlock|AmortisationExpense|AmortisationIntangibleAssetsOtherThanGoodwill|DepreciationExpense|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets,FALSE,,,,,,XBRL_DA_FACTS_BUT_NO_APPROVED_EXACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,D&A 관련 fact는 있으나 현재 승인 exact ID가 아님; 새 ID 자동 승인 없이 다른 공식 D&A 소스 조사
012690,모나리자,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
020560,아시아나항공,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_DA_FACT_FOUND_NO_APPROVED_EXACT,0,,AdjustmentsForDepreciationAndAmortisationExpense|AmortisationIntangibleAssetsOtherThanGoodwill|DepreciationAndAmortisationExpense|DepreciationAndAmortisationExpenseAdvertisingExpensesOfSellingGeneralAdministrativeExpensesOfSellingGeneralAndAdministrativeExpensesTableOfItems|DepreciationInvestmentProperty|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets,FALSE,,,,,,XBRL_DA_FACTS_BUT_NO_APPROVED_EXACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,D&A 관련 fact는 있으나 현재 승인 exact ID가 아님; 새 ID 자동 승인 없이 다른 공식 D&A 소스 조사
044380,주연테크,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
