ticker,name,market,basis_date,score_status,score_total,score_band,score_financial,score_valuation,score_growth_value,score_price_position,score_liquidity_elasticity,score_supply_disclosure,missing_component_count,missing_components,warning_reasons,raw_source_mode,financial_sector,component_points_json
097955,CJ제일제당 우,KOSPI,2026-09-11,LIMITED,,,,,,,,,13,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:OK:OK;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:OK;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,PREFERRED_COMMON:097950,false,"{""영업현금흐름"":2.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":1.0,""최근 분기 실적 가속·둔화"":0.5,""1개월 가격흐름"":2.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":2.5}"
100250,진양홀딩스,KOSPI,2026-09-11,READY,68.5,관찰 후보,18.0,17.5,8.5,12.0,2.5,10.0,0,,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":3.0,""순이익 흐름"":3.0,""영업이익률"":1.0,""ROE"":3.5,""부채비율"":2.5,""영업현금흐름"":2.5,""PER"":8.0,""PBR"":5.0,""EV/EBITDA"":1.5,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":4.0,""최근 분기 실적 가속·둔화"":0.5,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.5,""1개월 가격흐름"":3.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":2.5,""수급·공시부담"":10.0}"
105560,KB금융,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SECTOR_STRUCTURAL_NONCOMPARABILITY,UNAVAILABLE,true,"{""영업이익 성장과 흑자 여부"":5.0,""순이익 흐름"":2.5,""영업이익률"":4.0,""ROE"":3.0,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":7.5,""PBR"":4.5,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 영업이익 성장률"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":6.0,""하루평균 절대등락률"":4.0,""수급·공시부담"":1.0}"
128940,한미약품,KOSPI,2026-09-11,READY,65.5,관찰 후보,27.5,8.0,9.5,12.0,7.5,1.0,0,,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":6.0,""순이익 흐름"":3.0,""영업이익률"":3.5,""ROE"":4.0,""부채비율"":3.0,""영업현금흐름"":3.5,""PER"":4.0,""PBR"":2.0,""EV/EBITDA"":1.5,""PSR 또는 대체 가치지표"":0.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":2.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":4.5,""하루평균 절대등락률"":3.0,""수급·공시부담"":1.0}"
138930,BNK금융지주,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SECTOR_STRUCTURAL_NONCOMPARABILITY,UNAVAILABLE,true,"{""영업이익 성장과 흑자 여부"":5.0,""순이익 흐름"":2.0,""영업이익률"":3.5,""ROE"":2.0,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":8.0,""PBR"":5.0,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 영업이익 성장률"":2.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":4.5,""하루평균 절대등락률"":4.0,""수급·공시부담"":4.0}"
139480,이마트,KOSPI,2026-09-11,READY,37.0,주의,9.0,9.5,4.0,7.5,6.0,1.0,0,,,DIRECT,false,"{""매출 성장과 안정성"":1.0,""영업이익 성장과 흑자 여부"":3.0,""순이익 흐름"":0.5,""영업이익률"":1.0,""ROE"":0.0,""부채비율"":2.0,""영업현금흐름"":1.5,""PER"":0.0,""PBR"":3.0,""EV/EBITDA"":3.5,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":3.0,""최근 분기 실적 가속·둔화"":0.0,""흑자 지속성과 이익 안정성"":0.5,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.5,""기간 저가·고가 대비 현재위치"":3.5,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":3.5,""하루평균 절대등락률"":2.5,""수급·공시부담"":1.0}"
214320,이노션,KOSPI,2026-09-11,READY,66.5,관찰 후보,22.5,20.0,8.0,7.5,4.5,4.0,0,,,DIRECT,false,"{""매출 성장과 안정성"":3.0,""영업이익 성장과 흑자 여부"":5.0,""순이익 흐름"":3.0,""영업이익률"":3.0,""ROE"":3.0,""부채비율"":2.0,""영업현금흐름"":3.5,""PER"":8.0,""PBR"":5.0,""EV/EBITDA"":4.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":2.0,""최근 분기 실적 가속·둔화"":0.5,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":2.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.5,""기간 저가·고가 대비 현재위치"":5.0,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":2.0,""하루평균 절대등락률"":2.5,""수급·공시부담"":4.0}"
234080,JW생명과학,KOSPI,2026-09-11,READY,68.0,관찰 후보,21.5,19.5,9.0,8.5,2.5,7.0,0,,,DIRECT,false,"{""매출 성장과 안정성"":3.0,""영업이익 성장과 흑자 여부"":4.0,""순이익 흐름"":2.0,""영업이익률"":3.0,""ROE"":3.0,""부채비율"":3.0,""영업현금흐름"":3.5,""PER"":8.0,""PBR"":4.5,""EV/EBITDA"":4.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":2.0,""최근 분기 실적 가속·둔화"":0.5,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":5.0,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":2.5,""수급·공시부담"":7.0}"
241590,화승엔터프라이즈,KOSPI,2026-09-11,READY,49.5,주의,7.5,10.0,12.5,6.0,3.5,10.0,0,,,DIRECT,false,"{""매출 성장과 안정성"":1.0,""영업이익 성장과 흑자 여부"":2.0,""순이익 흐름"":0.0,""영업이익률"":1.0,""ROE"":0.0,""부채비율"":1.0,""영업현금흐름"":2.5,""PER"":0.0,""PBR"":3.0,""EV/EBITDA"":4.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":4.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":2.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.5,""기간 저가·고가 대비 현재위치"":3.5,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":1.0,""하루평균 절대등락률"":2.5,""수급·공시부담"":10.0}"
267250,HD현대,KOSPI,2026-09-11,READY,79.5,추천 후보,25.5,16.5,12.5,12.0,9.0,4.0,0,,SECTOR_STRUCTURAL_NONCOMPARABILITY,DIRECT,true,"{""매출 성장과 안정성"":5.0,""영업이익 성장과 흑자 여부"":7.0,""순이익 흐름"":3.0,""영업이익률"":3.5,""ROE"":3.5,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":8.0,""PBR"":5.0,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":2.5,""최근 3년 영업이익 성장률"":4.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0,""수급·공시부담"":4.0}"
