ticker,name,corp_code,preferred_fs_div,classification,candidate_statement,candidate_account_id,candidate_account_name,annual_revenue_y0,annual_revenue_y1,annual_revenue_y2,h1_current_revenue,q1_current_revenue,q2_current_revenue,h1_previous_revenue,q1_previous_revenue,q2_previous_revenue,q2_revenue_yoy_pct,h1_revenue_yoy_pct,financial_cache_revenue,financial_cache_previous_revenue,financial_cache_revenue_yoy_pct,financial_cache_current_exact_match,financial_cache_previous_exact_match,financial_cache_yoy_exact_match,annual_3y_positive_complete,q2_previous_positive,all_required_periods_complete,semantic_extension_auto_approved,source_contract_changed
000810,삼성화재,00139214,CFS,EXACT_CIS_INTEREST_REVENUE_ALIGNED_WITH_FINANCIAL_CACHE,CIS,ifrs-full_RevenueFromInterest,이자수익,2371311653539.0,2251532693274.0,2104556761339.0,1259938054526.0,624241288485.0,635696766041.0,1169557495441.0,583224927013.0,586332568428.0,8.42,7.73,1259938054526.0,1169557495441.0,7.73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
005830,DB손해보험,00159102,CFS,EXACT_CIS_INTEREST_REVENUE_ALIGNED_WITH_FINANCIAL_CACHE,CIS,ifrs-full_RevenueFromInterest,이자수익,2183195000000.0,2005785000000.0,1759891000000.0,1143192000000.0,557249000000.0,585943000000.0,1078110000000.0,534838121581.0,543271878419.0,7.85,6.04,1143192000000.0,1078110000000.0,6.04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
029780,삼성카드,00126292,CFS,EXACT_CIS_INTEREST_REVENUE_ALIGNED_WITH_FINANCIAL_CACHE,CIS,ifrs-full_RevenueFromInterest,이자수익,2028939000000.0,1943450000000.0,1923807000000.0,1055956000000.0,522061000000.0,533895000000.0,988684000000.0,269571861054.0,719112138946.0,-25.76,6.8,1055956000000.0,988684000000.0,6.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
105560,KB금융,00688996,CFS,EXACT_CIS_INTEREST_REVENUE_ALIGNED_WITH_FINANCIAL_CACHE,CIS,ifrs-full_RevenueFromInterest,이자수익,29156100000000.0,30491385000000.0,29142024000000.0,14511829000000.0,7159729000000.0,7352100000000.0,14739574000000.0,7454941000000.0,7284633000000.0,0.93,-1.55,14511829000000.0,14739574000000.0,-1.55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
138930,BNK금융지주,00858364,CFS,EXACT_CIS_INTEREST_REVENUE_ALIGNED_WITH_FINANCIAL_CACHE,CIS,ifrs-full_RevenueFromInterest,이자수익,6472509546658.0,6949048148127.0,6691720979383.0,3240662170742.0,1591470898615.0,1649191272127.0,3293396510081.0,1663892554626.0,1629503955455.0,1.21,-1.6,3240662170742.0,3293396510081.0,-1.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
