rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
1,✅,237690,에스티팜,KOSDAQ,2026-08-25,106700,"95,900원~105,400원","116,200원~124,000원","약 ±4,315원 내외 (±3.79%)",1.8,93800.0,84100.0,145400.0,72.89,36.87,6.81,-23.02,197455,23354054005,False,False,123.0,1개월 추세 양호 6.8%; 매수위치 중립 36.9%; 변동성 적정 3.79%; 3개월 변동폭 유효 72.9%,29836195460,KRW,FALSE,2026 반기보고서,OK,00871833,에스티팜,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,175445466597.0,28351572695.0,848033691875.0,218962871745.0,629070820130.0,120670646763.0,13944030758.0,6076127393.0,45.39,113.97,366.61,17.01,34.81,9.01,흑자지속,2315219154200.0,20876638.0,2026-08-20,2716.11,30132.76,40.83,3.68,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"CB,주요주주변동",20260811,전환사채(해외전환사채포함)발행후만기전사채취득              ,2,2026-08-27T14:43:37+09:00
2,✅,003380,하림지주,KOSDAQ,2026-08-25,11160,"10,470원~11,050원","11,610원~12,090원",약 ±278원 내외 (±2.74%),2.0,10330.0,8500.0,12490.0,46.94,66.67,15.05,-5.18,436178,6376204427,False,False,123.0,1개월 추세 양호 15.1%; 매수위치 중립 66.7%; 변동성 적정 2.74%; 3개월 변동폭 유효 46.9%,544186000000,KRW,FALSE,2026 반기보고서,OK,00148364,하림지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,7645465000000.0,271190000000.0,19669531000000.0,12708780000000.0,6960751000000.0,6514385000000.0,458781000000.0,370189000000.0,17.36,18.62,-26.74,7.12,182.58,7.79,흑자지속,1191739807440.0,112005621.0,2026-08-18,4842.44,62146.44,2.2,0.17,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260820,주식등의대량보유상황보고서(일반),4,2026-08-27T14:43:37+09:00
3,✅,195940,HK이노엔,KOSDAQ,2026-08-25,43750,"41,050원~43,300원","45,450원~47,100원","약 ±1,081원 내외 (±2.70%)",1.7,40500.0,34800.0,48450.0,39.22,65.57,11.75,-5.51,165822,6028701096,False,False,123.0,1개월 추세 양호 11.8%; 매수위치 중립 65.6%; 변동성 적정 2.70%; 3개월 변동폭 유효 39.2%,63199630257,KRW,FALSE,2026 반기보고서,OK,01012066,HK이노엔,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,525907947639.0,39618418330.0,2022490862516.0,671783188849.0,1350707673667.0,510449535659.0,44902268042.0,29468668626.0,3.03,40.75,34.44,12.02,49.74,5.87,흑자지속,1143111101850.0,28329891.0,2026-08-18,2796.93,47677.83,14.43,0.85,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260701,주식등의대량보유상황보고서(약식),1,2026-08-27T14:43:37+09:00
4,✅,006730,서부T&D,KOSDAQ,2026-08-25,10740,"9,910원~10,630원","11,420원~11,820원",약 ±334원 내외 (±3.22%),2.0,9740.0,8850.0,12150.0,37.29,57.27,6.02,-3.59,297145,5379594859,False,False,123.0,1개월 추세 양호 6.0%; 매수위치 중립 57.3%; 변동성 적정 3.22%; 3개월 변동폭 유효 37.3%,36058168514,KRW,FALSE,2026 반기보고서,OK,00130383,서부T&D,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,153762799785.0,12120549353.0,3224698853368.0,1828596151957.0,1396102701411.0,97595239057.0,24206998820.0,-4277241746.0,57.55,48.96,383.37,23.45,130.98,1.74,흑자지속,679407076110.0,64276923.0,2026-08-18,377.14,21720.12,28.03,0.49,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,주요주주변동,최대주주변경",20260826,임원ㆍ주요주주특정증권등소유상황보고서,13,2026-08-27T14:43:37+09:00
5,✅,196170,알테오젠,KOSDAQ,2026-08-25,305500,"265,000원~300,500원","341,000원~370,000원","약 ±16,160원 내외 (±5.02%)",2.0,257000.0,253000.0,397500.0,57.11,36.33,-2.08,-16.42,318030,165056488737,False,False,120.0,매수위치 중립 36.3%; 거래대금 우수; 변동성 큼 5.02%; 3개월 변동폭 유효 57.1%; 대형주 안정성,73480904822,KRW,FALSE,2026 반기보고서,OK,00989619,알테오젠,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,140492885685.0,101332787820.0,739911311043.0,192663425267.0,547247885776.0,102339078027.0,60591275114.0,48720692608.0,37.28,21.27,107.99,52.3,35.21,37.03,흑자지속,15968730214000.0,53586343.0,2026-08-18,3782.04,10212.45,78.79,29.18,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260813,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-08-27T14:43:37+09:00
