basis_date,market,ticker,name,return_1w_pct,return_1w_start_date,return_1w_status,return_6m_pct,return_6m_start_date,return_6m_status,return_ytd_pct,return_ytd_start_date,return_ytd_status,return_52w_pct,return_52w_start_date,return_52w_status
2026-09-11,KOSPI,000270,기아,0.0791,2026-09-04,OK,-21.8519,2026-03-11,OK,3.9409,2025-12-30,OK,19.5467,2025-09-12,OK
2026-09-11,KOSPI,000370,한화손해보험,0.0,2026-09-04,OK,18.4248,2026-03-11,OK,51.4388,2025-12-30,OK,43.1973,2025-09-12,OK
2026-09-11,KOSPI,000500,가온전선,19.8113,2026-09-04,OK,166.2474,2026-03-11,OK,208.2524,2025-12-30,OK,315.0327,2025-09-12,OK
2026-09-11,KOSPI,000540,흥국화재,-0.5413,2026-09-04,OK,-23.7552,2026-03-11,OK,2.3677,2025-12-30,OK,-14.1355,2025-09-12,OK
2026-09-11,KOSPI,000640,동아쏘시오홀딩스,-2.0518,2026-09-04,OK,-14.1911,2026-03-11,OK,-17.2445,2025-12-30,OK,-16.0962,2025-09-12,OK
2026-09-11,KOSPI,000650,천일고속,-0.2784,2026-09-04,OK,-41.0288,2026-03-11,OK,-59.3475,2025-12-30,OK,249.9389,2025-09-12,OK
2026-09-11,KOSPI,000660,SK하이닉스,10.0182,2026-09-04,OK,89.7382,2026-03-11,OK,178.341,2025-12-30,OK,451.5982,2025-09-12,OK
2026-09-11,KOSPI,000810,삼성화재,3.4691,2026-09-04,OK,37.8894,2026-03-11,OK,38.0282,2025-12-30,OK,45.9574,2025-09-12,OK
2026-09-11,KOSPI,000880,한화,-0.0728,2026-09-04,OK,5.9414,2026-03-11,OK,68.2598,2025-12-30,OK,60.0233,2025-09-12,OK
2026-09-11,KOSPI,000990,DB하이텍,17.6863,2026-09-04,OK,24.4706,2026-03-11,OK,56.5089,2025-12-30,OK,105.4369,2025-09-12,OK
2026-09-11,KOSPI,001020,페이퍼코리아,-8.9431,2026-09-04,OK,206.8493,2026-03-11,OK,261.2903,2025-12-30,OK,210.2493,2025-09-12,OK
2026-09-11,KOSPI,001045,CJ우,-1.4514,2026-09-04,OK,-23.1031,2026-03-11,OK,-23.9642,2025-12-30,OK,-29.4179,2025-09-12,OK
2026-09-11,KOSPI,001060,JW중외제약,-3.2727,2026-09-04,OK,-15.8228,2026-03-11,OK,4.3137,2025-12-30,OK,18.2222,2025-09-12,OK
2026-09-11,KOSPI,001200,유진투자증권,0.0,2026-09-04,OK,-10.8495,2026-03-11,OK,26.5988,2025-12-30,OK,15.9787,2025-09-12,OK
2026-09-11,KOSPI,001210,금호전기,2.3007,2026-09-04,OK,1462.1079,2026-03-11,OK,2289.6353,2025-12-30,OK,1369.8937,2025-09-12,OK
2026-09-11,KOSPI,001290,상상인증권,325.7426,2026-09-04,OK,235.152,2026-03-11,OK,579.3049,2025-12-30,OK,459.8958,2025-09-12,OK
2026-09-11,KOSPI,001420,태원물산,3.2258,2026-09-04,OK,4.7273,2026-03-11,OK,-19.1011,2025-12-30,OK,-15.7895,2025-09-12,OK
2026-09-11,KOSPI,001440,대한전선,7.6642,2026-09-04,OK,-2.8007,2026-03-11,OK,28.821,2025-12-30,OK,79.1135,2025-09-12,OK
