ticker,name,operating_cash_flow_annual,source_fs_div,baseline_status,shadow_status,baseline_missing_components,shadow_missing_components,baseline_score_total,shadow_score_total
000080,하이트진로,232588233956.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,65.0
002710,TCC스틸,24989426838.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,40.5
007690,국도화학,9036624024.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,73.0
042700,한미반도체,228626759780.0,CFS,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,63.5
