ticker,name,source_origin,candidate_ocf_status,baseline_status,candidate_status,baseline_missing_components,candidate_missing_components,removed_reasons,added_reasons,baseline_score_total,candidate_score_total
105630,한세실업,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
112610,씨에스윈드,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
114090,GKL,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
123690,한국화장품,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
128820,대성산업,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
185750,종근당,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
227840,현대코퍼레이션홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
280360,롯데웰푸드,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
317400,자이에스앤디,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
334890,이지스밸류플러스리츠,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
365550,ESR켄달스퀘어리츠,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
395400,SK리츠,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
462520,조선내화,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
465770,STX그린로지스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
