ticker,name,source_origin,candidate_ocf_status,baseline_status,candidate_status,baseline_missing_components,candidate_missing_components,removed_reasons,added_reasons,baseline_score_total,candidate_score_total
002995,금호건설우,PREFERRED_INHERIT_EXACT_COMMON,READY,LIMITED,LIMITED,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:OK;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:OK;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
003220,대원제약,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
003620,KG모빌리티,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
004000,롯데정밀화학,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
004090,한국석유,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
004490,세방전지,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
005300,롯데칠성,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
006400,삼성SDI,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
006880,신송홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
007070,GS리테일,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
