ticker,name,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,source_files,supply_burden_checked_at_kst
038010,제일테크노스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038060,루멘스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038070,서린바이오,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038110,에코플라스틱,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038290,마크로젠,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260625,주식등의대량보유상황보고서(일반),4,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038390,레드캡투어,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038460,바이오스마트,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260409,주식등의대량보유상황보고서(약식),1,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038500,삼표시멘트,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,최대주주변경",20260430,주식등의대량보유상황보고서(일반),2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038530,케이바이오랩스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260706,주요사항보고서(유상증자결정),4,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038540,상상인,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260520,주식등의대량보유상황보고서(일반),1,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038620,위즈코프,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260604,임원ㆍ주요주주특정증권등소유상황보고서,3,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038680,에스넷,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"자사주처분,주요주주변동",20260519,임원ㆍ주요주주특정증권등소유상황보고서,7,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038870,에코심플렉스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,대량보유",20260609,주식등의대량보유상황보고서(일반),4,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038880,아이에이,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"감자,주요주주변동",20260707,임원ㆍ주요주주특정증권등소유상황보고서,7,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
038950,파인디지털,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260612,주식등의대량보유상황보고서(약식),1,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039010,현대에이치티,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260608,주식등의대량보유상황보고서(일반),1,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039020,이건홀딩스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039030,이오테크닉스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260706,주식등의대량보유상황보고서(약식),2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039130,하나투어,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260701,주식등의대량보유상황보고서(약식),3,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039200,오스코텍,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260529,주식등의대량보유상황보고서(약식),3,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039240,경남스틸,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039290,인포뱅크,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039310,세중,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260701,주식등의대량보유상황보고서(일반),2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039340,한국경제TV,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039420,케이엘넷,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
039440,에스티아이,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260701,주식등의대량보유상황보고서(약식),4,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
