ticker,name,market,corp_code,dominant_financial_period,annual_source_year,preferred_fs_div,fresh_deep_status,fresh_deep_fs_div,fresh_deep_message,v897_existing_exact_id,v897_missing_exact_id,current_cache_deep_source_year,current_cache_deep_fs_div,current_cache_exact_classification,current_cache_exact_stats_json,fresh_exact_classification,fresh_existing_exact_unique_values,fresh_missing_exact_unique_values,fresh_missing_exact_recovered,fresh_exact_stats_json,fresh_da_candidates_json
012450,한화에어로스페이스,KOSPI,00126566,2026_11012,2025,CFS,OK,CFS,,ifrs-full_AdjustmentsForAmortisationExpense,ifrs-full_AdjustmentsForDepreciationExpense,2025,CFS,NO_APPROVED_EXACT,"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",NO_APPROVED_EXACT,,,FALSE,"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
017670,SK텔레콤,KOSPI,00159023,2026_11012,2025,CFS,OK,CFS,,ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense,2025,CFS,NO_APPROVED_EXACT,"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",NO_APPROVED_EXACT,,,FALSE,"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}","[{""account_id"":""ifrs-full_DepreciationExpense"",""account_nm"":""감가상각비"",""amount"":3467134000000.0}]"
022100,포스코DX,KOSPI,00155212,2026_11012,2025,CFS,OK,CFS,,ifrs-full_AdjustmentsForAmortisationExpense,ifrs-full_AdjustmentsForDepreciationExpense,2025,CFS,NO_APPROVED_EXACT,"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",NO_APPROVED_EXACT,,,FALSE,"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
