code,title,market,value,threshold,severity,detail
MACRO_USDKRW_HIGH,원달러 환율 고공권,MACRO,1522.4,>= 1500.0,주의,원달러 환율 고공권은 외국인 수급과 위험자산 선호에 부담이 될 수 있습니다.
MACRO_USDKRW_1M_RISE,원달러 환율 1개월 급등,MACRO,3.35%,>= 3.0%,주의,환율이 단기간 상승하면 외국인 이탈과 성장주 할인율 부담이 커질 수 있습니다.
MACRO_KOREA3Y_HIGH,국고채 3년 금리 고공권,MACRO,3.904%,>= 3.7%,주의,국고채 3년 금리 상승은 단기 자금비용과 신용융자 부담을 높일 수 있습니다.
MACRO_KOREA10Y_HIGH,국고채 10년 금리 고공권,MACRO,4.3%,>= 3.8,강함,장기금리 상승은 성장주와 AI·반도체 밸류에이션 부담으로 이어질 수 있습니다.
LEVERAGE_CREDIT_BALANCE_HIGH,신용융자 잔고 고공권,LEVERAGE,37.93조원,>= 35.0조원,주의,신용융자 잔고가 높으면 조정 시 반대매매·동반매도 압력이 커질 수 있습니다.
LEVERAGE_CREDIT_DEPOSIT_RATIO_HIGH,예탁금 대비 신용융자 부담,LEVERAGE,29.15%,>= 25.0%,주의,예탁금 대비 신용융자 비중이 높아 레버리지 청산 위험이 커질 수 있습니다.
