ticker,name,source_origin,source_classification,supply_level,baseline_status,candidate_status,baseline_missing_components,candidate_missing_components,baseline_score_total,candidate_score_total
001440,대한전선,V8101_CURRENT_OVERLAP_REAUDITED_V8138,COMPLETE_180D_POSITIVE_BURDEN,위험,LIMITED,LIMITED,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,,
007540,샘표,V8137_CURRENT_SOURCE,COMPLETE_180D_NO_POSITIVE_BURDEN,없음,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,73.0
029780,삼성카드,V8137_CURRENT_SOURCE,COMPLETE_180D_POSITIVE_BURDEN,주의,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,62.5
066570,LG전자,V8101_CURRENT_OVERLAP_REAUDITED_V8138,COMPLETE_180D_POSITIVE_BURDEN,주의,LIMITED,LIMITED,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,,
071840,롯데하이마트,V8101_CURRENT_OVERLAP_REAUDITED_V8138,COMPLETE_180D_NO_POSITIVE_BURDEN,없음,LIMITED,LIMITED,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,,
084690,대상홀딩스,V8137_CURRENT_SOURCE,COMPLETE_180D_POSITIVE_BURDEN,주의,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,67.0
086280,현대글로비스,V8101_CURRENT_OVERLAP_REAUDITED_V8138,COMPLETE_180D_POSITIVE_BURDEN,주의,LIMITED,LIMITED,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,,
114090,GKL,V8137_CURRENT_SOURCE,COMPLETE_180D_NO_POSITIVE_BURDEN,없음,LIMITED,READY,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,69.5
