ticker,name,market,benchmark_ticker,prior_audit_status,raw_source_mode,corp_code,report_status,rcept_no,rcept_dt,report_nm,xbrl_status,xbrl_member_count,da_fact_count,approved_exact_fact_count,approved_exact_local_names,approved_exact_namespace_count,audit_result,all_da_local_names,sample_approved_facts_json
001020,페이퍼코리아,KOSPI,1007,NO_DA_CANDIDATE,DIRECT,00134723,OK,20260323001240,20260323,사업보고서 (2025.12),OK,6,90,8,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense,1,XBRL_APPROVED_EXACT_FACT_FOUND,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense|AmortisationExpenseSellingGeneralAdministrativeExpenses|AmortisationIntangibleAssetsOtherThanGoodwill|AmortizationIncreaseDecreaseInLiabilitiesFromFinancingActivitiesOfDisclosureOfReconciliationOfLiabilitiesArisingFromFinancingActivitiesLineItemsOfDisclosureOfReconciliationOfLiabilitiesArisingFromFinancingActivitiesTableOfItems|DepreciationAndAmortisationExpense|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationInvestmentProperty|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets,"[{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""8394976000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""215028000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""7553163000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""124083000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""12910632000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""162416000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""253360000""},{""member"":""entity00134723_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""13364613000""}]"
001060,JW중외제약,KOSPI,1009,NO_DA_CANDIDATE,DIRECT,00149947,OK,20260318001544,20260318,사업보고서 (2025.12),OK,6,185,8,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense,1,XBRL_APPROVED_EXACT_FACT_FOUND,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense|AdjustmentsForDepreciationRightofuseAssets|AmortisationExpense|AmortisationIntangibleAssetsOtherThanGoodwill|DepreciationExpense|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets|IncreaseDecreaseInLiabilitiesArisingFromFinancingActivitiesThroughAmortisationOfChangesInNonCashTransactionAbstractOfDisclosureOfReconciliationOfLiabilitiesArisingFromFinancingActivitiesTableOfItems|RemainingAmortisationPeriodOfResearchAndDevelopmentExpenseForBioindustry,"[{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""1936104000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""12090970000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""1994799000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""12165446000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""1884577000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""13362510000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""2022536000""},{""member"":""entity00149947_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""12985909000""}]"
001440,대한전선,KOSPI,1013,NO_DA_CANDIDATE,DIRECT,00113207,OK,20260318001418,20260318,사업보고서 (2025.12),OK,6,126,8,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense,1,XBRL_APPROVED_EXACT_FACT_FOUND,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense|AdjustmentsForDepreciationInvestmentProperty|AmortisationExpenseSellingGeneralAdministrativeExpenses|AmortisationIntangibleAssetsOtherThanGoodwill|AmortizationClassifiedAsAFinancingActivityNonCashTransactionsOfDisclosureOfReconciliationOfLiabilitiesArisingFromFinancingActivitiesLineItemsOfDisclosureOfReconciliationOfLiabilitiesArisingFromFinancingActivitiesTableOfItems|DepreciationAndAmortisationExpense|DepreciationExpense|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationInvestmentProperty|DepreciationPropertyPlantAndEquipment,"[{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""28797483000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""405040000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""371538000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""PFY2024dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""27452841000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""37696524000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""432502000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForAmortisationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""138812000""},{""member"":""entity00113207_2025-12-31.xbrl"",""namespace_uri"":""http://xbrl.ifrs.org/taxonomy/2021-03-24/ifrs-full"",""namespace_kind"":""IFRS_NAMESPACE"",""local_name"":""AdjustmentsForDepreciationExpense"",""context_ref"":""CFY2025dFY_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_SeparateMember_ifrs-full_CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmountAxis_dart_ReportedAmountMember"",""unit_ref"":""KRW"",""decimals"":""-3"",""value"":""35697613000""}]"
001527,동양2우B,KOSPI,1010,RAW_SOURCE_UNAVAILABLE,UNAVAILABLE,,NO_CORP_CODE,,,,,0,0,0,,0,NO_CORP_CODE,,[]
001530,DI동일,KOSPI,1016,RAW_SOURCE_UNAVAILABLE,UNAVAILABLE,,NO_CORP_CODE,,,,,0,0,0,,0,NO_CORP_CODE,,[]
001560,제일연마,KOSPI,1010,NO_DA_CANDIDATE,DIRECT,00148461,OK,20260318000296,20260318,사업보고서 (2025.12),OK,6,0,0,,0,XBRL_NO_DA_FACT,,[]
001770,SHD,KOSPI,1011,NO_DA_CANDIDATE,DIRECT,00137809,OK,20260318000401,20260318,사업보고서 (2025.12),OK,6,0,0,,0,XBRL_NO_DA_FACT,,[]
002210,동성제약,KOSPI,1009,NO_DA_CANDIDATE,DIRECT,00116268,OK,20260506000554,20260506,[기재정정]사업보고서 (2025.12),OK,6,0,0,,0,XBRL_NO_DA_FACT,,[]
002380,KCC,KOSPI,1008,RAW_SOURCE_UNAVAILABLE,UNAVAILABLE,,NO_CORP_CODE,,,,,0,0,0,,0,NO_CORP_CODE,,[]
002450,삼익악기,KOSPI,1027,NO_DA_CANDIDATE,DIRECT,00127857,OK,20260814002982,20260814,[첨부정정]사업보고서 (2025.12),NOT_ZIP,0,0,0,,0,XBRL_PARSE_FAILED,,[]
