ticker,name,activation,status_before,status_after,three_year_status_after,quarter_status_after,changed_fields,unexpected_change_count,official_values_match_v8112
000810,삼성화재,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,READY_RAW_SOURCE,READY,READY_Q2_SOURCE,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;fetched_at_kst;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct;quarter_source_status;source_cache_reason;source_cache_status;source_contract_version;three_year_source_status,0,TRUE
005830,DB손해보험,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,READY_RAW_SOURCE,READY,READY_Q2_SOURCE,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;fetched_at_kst;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct;quarter_source_status;source_cache_reason;source_cache_status;source_contract_version;three_year_source_status,0,TRUE
029780,삼성카드,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,READY_RAW_SOURCE,READY,READY_Q2_SOURCE,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;fetched_at_kst;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct;quarter_source_status;source_cache_reason;source_cache_status;source_contract_version;three_year_source_status,0,TRUE
105560,KB금융,ACTIVE_SOURCE_TARGET,LIMITED_RAW_SOURCE,READY_RAW_SOURCE,READY,READY_Q2_SOURCE,annual_revenue_y0;annual_revenue_y1;annual_revenue_y2;fetched_at_kst;q2_revenue_current;q2_revenue_previous;q2_revenue_yoy_pct;quarter_source_status;source_cache_reason;source_cache_status;source_contract_version;three_year_source_status,0,TRUE
138930,BNK금융지주,NOT_CURRENTLY_ACTIVE_TARGET,,,,,,0,HISTORICAL_EVIDENCE_PRESERVED
