ticker,name,corp_code,preferred_fs_div,dominant_financial_period,annual_source_year,fresh_deep_status,fresh_deep_fs_div,fresh_deep_message,fresh_exact_classification,recovery_lane,approved_depreciation_occurrences,approved_depreciation_values_json,approved_amortisation_occurrences,approved_amortisation_values_json,fresh_exact_stats_json,fresh_da_candidates_json
000150,두산,00117212,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
000490,대동,00109286,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
000660,SK하이닉스,00164779,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
000760,이화산업,00145686,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
001630,종근당홀딩스,00149354,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
001680,대상,00121941,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
002350,넥센타이어,00173874,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
003620,KG모빌리티,00138242,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
004490,세방전지,00133858,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
005300,롯데칠성,00120571,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
006400,삼성SDI,00126362,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
