name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
Cerebras Systems Inc,CBRS,US,USD,NASDAQ,OK,2026-09-22,212.41,184.01,209.0,209.0,237.4,178.33,11.36,5.66,2.3,160.81,265.63,168.52,262.06,65.18,49.23,6073400.0,1290050916.0,1195305854.0,False,,,,,,,63,yfinance_close,
DB하이텍,000990,KR,KRW,KOSPI,OK,2026-09-23,131700.0,119100.0,130200.0,130200.0,142800.0,116500.0,5060.0,4.82,1.9,68900.0,165700.0,71200.0,158300.0,140.49,64.88,413298.0,54431346600.0,75063667150.0,False,,,,,,,64,pykrx_adjusted,
HD현대일렉트릭,267260,KR,KRW,KOSPI,OK,2026-09-23,713000.0,641000.0,704000.0,704000.0,777000.0,626000.0,29000.0,3.71,2.1,538000.0,1084000.0,583000.0,1012000.0,101.49,32.05,70829.0,50501077000.0,87858119150.0,False,,,,,,,64,pykrx_adjusted,
HD현대중공업,329180,KR,KRW,KOSPI,OK,2026-09-23,444000.0,415500.0,439500.0,439500.0,475000.0,401500.0,14140.0,2.88,1.8,411500.0,623000.0,422000.0,615000.0,51.4,15.37,190465.0,84566460000.0,126346585350.0,False,,,,,,,64,pykrx_adjusted,
Intel,INTC,US,USD,NASDAQ,OK,2026-09-22,123.86,114.4,122.62,122.62,129.03,112.51,3.78,3.65,1.9,81.79,142.35,81.88,139.63,74.04,69.47,108379400.0,13423872550.0,10544221291.0,False,,,,,,,63,yfinance_close,
LG에너지솔루션,373220,KR,KRW,KOSPI,OK,2026-09-23,352000.0,323500.0,348500.0,348500.0,376500.0,317500.0,11480.0,3.32,1.7,290500.0,400500.0,300500.0,400500.0,37.87,55.91,222728.0,78400256000.0,114314336750.0,False,,,,,,,64,pykrx_adjusted,
LG이노텍,011070,KR,KRW,KOSPI,OK,2026-09-23,536000.0,466000.0,528000.0,528000.0,598000.0,452000.0,28000.0,4.49,2.0,416000.0,1022000.0,424000.0,981000.0,145.67,19.8,111212.0,59609632000.0,141221453800.0,False,,,,,,,64,pykrx_adjusted,
LG전자,066570,KR,KRW,KOSPI,OK,2026-09-23,210500.0,194500.0,208500.0,208500.0,212000.0,191300.0,6400.0,3.41,1.8,141900.0,231500.0,148000.0,216500.0,63.14,76.56,544074.0,114527577000.0,144439609020.0,False,,,,,,,64,pykrx_adjusted,
LG전자우,066575,KR,KRW,KOSPI,OK,2026-09-23,71300.0,66200.0,70600.0,70600.0,74600.0,65100.0,2050.0,3.05,2.0,50000.0,81500.0,53000.0,78300.0,63.0,67.62,46713.0,3330636900.0,5089451330.0,True,,,,,,,64,pykrx_adjusted,
LG화학,051910,KR,KRW,KOSPI,OK,2026-09-23,253000.0,233500.0,250500.0,250500.0,270000.0,229500.0,7800.0,2.92,1.9,224000.0,309000.0,232500.0,308000.0,37.95,34.12,142057.0,35940421000.0,54380948900.0,False,,,,,,,64,pykrx_adjusted,
