ticker,종목,corp_code,rcept_no,report_nm,rcept_dt,report_status,document_status,sector_proxy,export_mentions,fx_asset_mentions,fx_liab_mentions,hedge_mentions,import_mentions,order_mentions,sensitivity_mentions,overseas_revenue_pct,hedge_pct_proxy,text_length,공시신뢰도,confidence_reason,dollar_sales_score,won_cost_score,hedge_score,foreign_debt_score,import_cost_score,earnings_score,technical_score,risk_score,backlog_bonus,sensitivity_bonus,fx_net_benefit_score
002710,TCC스틸,00117300,20260318000366,사업보고서 (2025.12),20260318,OK,OK,기타,178,230,6,763,1998,1,85,1.15,1.15,489262,A,주석에서 환율노출 관련 수치 다수 확인,0.29,6.0,14.83,7.0,3.0,3.0,8.0,2.0,0.4,5.0,49.52
069260,TKG휴켐스,00426086,20260402002347,[기재정정]사업보고서 (2025.12),20260402,OK,OK,기타,22,166,21,262,1591,1,103,,10.0,282978,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,13.5,7.0,3.0,8.0,8.0,2.0,0.4,5.0,59.15
007980,TP,00154329,20260318001472,사업보고서 (2025.12),20260318,OK,OK,기타,118,293,43,465,1908,3,97,100.0,,491909,A,주석에서 환율노출 관련 수치 다수 확인,25.0,6.0,8.0,7.0,3.0,8.0,10.0,5.0,1.2,5.0,78.2
002900,TYM,00117230,20260318001226,사업보고서 (2025.12),20260318,OK,OK,기타,144,180,15,327,1890,6,58,30.76,5.0,437845,A,주석에서 환율노출 관련 수치 다수 확인,7.69,6.0,14.25,7.0,3.0,8.0,8.0,5.0,2.4,5.0,66.34
024070,WISCOM,00142865,20260319000477,사업보고서 (2025.12),20260319,OK,OK,기타,85,81,6,195,1039,8,82,50.0,,338811,A,주석에서 환율노출 관련 수치 다수 확인,12.5,6.0,8.0,7.0,3.0,3.0,8.0,5.0,3.2,5.0,60.7
037270,YG PLUS,00249247,20260320001330,[첨부정정]사업보고서 (2025.12),20260320,OK,OK,기타,0,0,0,0,0,0,0,,,18,D,환율노출 공시 단서 부족,6.25,6.0,11.0,8.0,5.5,8.0,8.0,5.0,0.0,0.0,57.75
139130,iM금융지주,00878915,20260515000720,[기재정정]사업보고서 (2025.12),20260515,OK,OK,기타,69,40,35,465,1558,1,47,3.3,,587208,A,주석에서 환율노출 관련 수치 다수 확인,0.82,6.0,8.0,7.0,3.0,8.0,10.0,5.0,0.4,5.0,53.23
000500,가온전선,00104768,20260316000969,사업보고서 (2025.12),20260316,OK,OK,전력기기,153,144,20,958,1890,15,138,50.0,,520617,B,주석 수치 일부와 환율노출 키워드 확인,12.5,10.5,8.0,7.0,4.5,8.0,7.0,5.0,5.0,5.0,72.5
000860,강남제비스코,00100939,20260318001400,사업보고서 (2025.12),20260318,OK,OK,기타,144,159,6,56,1795,25,94,75.0,,438457,B,주석 수치 일부와 환율노출 키워드 확인,18.75,6.0,8.0,7.0,3.0,8.0,8.0,5.0,5.0,5.0,73.75
035250,강원랜드,00255619,20260323000917,사업보고서 (2025.12),20260323,OK,OK,기타,8,34,0,80,1746,4,27,,,505599,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,8.0,3.0,8.0,8.0,5.0,1.6,5.0,58.85
011420,갤럭시아에스엠,00129554,20260320001005,사업보고서 (2025.12),20260320,OK,OK,기타,13,14,1,18,463,0,14,,,148038,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,8.0,5.0,0.0,5.0,56.25
002100,경농,00101433,20260318001176,사업보고서 (2025.12),20260318,OK,OK,기타,22,138,27,471,1967,6,83,,,449938,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,8.0,2.0,2.4,5.0,55.65
009450,경동나비엔,00101488,20260403000835,[첨부정정]사업보고서 (2025.12),20260403,OK,OK,기타,0,0,0,0,0,0,0,,,18,D,환율노출 공시 단서 부족,6.25,6.0,11.0,8.0,5.5,8.0,10.0,5.0,0.0,0.0,59.75
267290,경동도시가스,01208885,20260316000333,사업보고서 (2025.12),20260316,OK,OK,수입원가부담,2,7,0,31,1412,0,21,,,294051,C,보고서 텍스트 단서와 산업 프록시 중심,5.0,5.25,8.0,8.0,0.0,8.0,8.0,5.0,0.0,5.0,52.25
012320,경동인베스트,00143527,20260323001615,사업보고서 (2025.12),20260323,OK,OK,기타,17,68,10,40,1941,19,57,100.0,,369940,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,8.0,7.0,3.0,8.0,8.0,5.0,5.0,5.0,80.0
